,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,34710000,33460000,35980000,1260000.0
2017-06-16,40050000,38470000,41640000,1585000.0
2017-06-28,42800000,41040000,44570000,1765000.0
2017-07-10,44200000,42420000,45980000,1780000.0
2017-07-22,46970000,45230000,48710000,1740000.0
2017-08-03,45050000,43400000,46720000,1660000.0
2017-08-15,43900000,42050000,45760000,1855000.0
2017-08-27,40230000,38630000,41840000,1605000.0
2017-09-08,9230000,10000,18460000,9225000.0
2017-09-20,4300000,20000,8600000,4290000.0
2017-10-02,4600000,20000,9200000,4590000.0
2017-10-14,880000,20000,1770000,875000.0
2017-10-26,390000,20000,790000,385000.0
2017-11-07,180000,10000,370000,180000.0
2017-11-19,120000,20000,250000,115000.0
2017-12-01,130000,0,270000,135000.0
2017-12-13,80000,10000,170000,80000.0
2017-12-25,60000,0,130000,65000.0
2018-01-06,20000,0,50000,25000.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,10000,5000.0
2018-02-11,0,0,0,0.0
2018-02-23,10000,0,30000,15000.0
2018-03-07,10000,0,30000,15000.0
2018-03-19,0,0,10000,5000.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,10000,5000.0
2018-04-24,10000,0,30000,15000.0
2018-05-06,270000,90000,470000,190000.0
2018-05-18,3100000,10000,6200000,3095000.0
2018-05-30,26810000,24770000,28830000,2030000.0
2018-06-11,36430000,34630000,38230000,1800000.0
2018-06-23,40080000,38250000,41930000,1840000.0
2018-07-05,42720000,40450000,45000000,2275000.0
2018-07-17,39950000,38150000,41760000,1805000.0
2018-07-29,45820000,44210000,47440000,1615000.0
2018-08-10,44510000,42840000,46190000,1675000.0
2018-08-22,42910000,41340000,44480000,1570000.0
2018-09-03,41000000,39510000,42500000,1495000.0
2018-09-15,9270000,20000,18540000,9260000.0
2018-09-27,3810000,30000,7630000,3800000.0
2018-10-09,1240000,0,2490000,1245000.0
2018-10-21,440000,0,890000,445000.0
2018-11-02,240000,0,490000,245000.0
2018-11-14,150000,0,310000,155000.0
2018-11-26,70000,0,150000,75000.0
2018-12-08,80000,10000,170000,80000.0
2018-12-20,20000,0,50000,25000.0
2019-01-01,0,0,0,0.0
2019-01-13,10000,0,30000,15000.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,10000,5000.0
2019-02-18,0,0,0,0.0
2019-03-02,60000,0,130000,65000.0
2019-03-14,20000,0,50000,25000.0
2019-03-26,20000,0,50000,25000.0
2019-04-07,20000,0,50000,25000.0
2019-04-19,10000,0,30000,15000.0
2019-05-01,100000,0,210000,105000.0
2019-05-13,90000,20000,190000,85000.0
2019-05-25,34830000,33050000,36600000,1775000.0
2019-06-06,37290000,35480000,39110000,1815000.0
2019-06-18,41440000,39140000,43760000,2310000.0
2019-06-30,48840000,47860000,49830000,985000.0
2019-07-12,48590000,47460000,49720000,1130000.0
2019-07-24,47160000,45550000,48780000,1615000.0
2019-08-05,46370000,44780000,47930000,1575000.0
2019-08-17,46730000,45320000,48150000,1415000.0
2019-08-29,43060000,41560000,44570000,1505000.0
2019-09-10,13760000,50000,27490000,13720000.0
2019-09-22,23510000,14240000,32780000,9270000.0
2019-10-04,8870000,110000,17690000,8790000.0
2019-10-16,2720000,20000,5440000,2710000.0
2019-10-28,36210000,35450000,36980000,765000.0
2019-11-09,1170000,0,2350000,1175000.0
2019-11-21,710000,10000,1430000,710000.0
2019-12-03,460000,20000,930000,455000.0
2019-12-15,190000,0,390000,195000.0
2019-12-27,210000,20000,430000,205000.0
2020-01-08,50000,0,110000,55000.0
2020-01-20,70000,0,150000,75000.0
2020-02-01,10000,0,30000,15000.0
2020-02-13,30000,0,70000,35000.0
2020-02-25,0,0,10000,5000.0
2020-03-08,0,0,10000,5000.0
2020-03-20,0,0,0,0.0
2020-04-01,0,0,0,0.0
2020-04-13,20000,0,50000,25000.0
2020-04-25,20000,0,50000,25000.0
2020-05-07,70000,0,150000,75000.0
2020-05-19,29850000,27060000,32650000,2795000.0
2020-05-31,33840000,32700000,34990000,1145000.0
2020-06-12,36710000,35130000,38290000,1580000.0
2020-06-24,39950000,38540000,41370000,1415000.0
2020-07-06,40980000,39480000,42500000,1510000.0
2020-07-18,41730000,40140000,43330000,1595000.0
2020-07-30,43100000,41730000,44470000,1370000.0
2020-08-11,41110000,39540000,42670000,1565000.0
2020-08-23,39880000,38310000,41460000,1575000.0
2020-09-04,37990000,36460000,39510000,1525000.0
2020-09-16,36300000,34830000,37770000,1470000.0
2020-09-28,36150000,35500000,36810000,655000.0
2020-10-10,2820000,10000,5650000,2820000.0
2020-10-22,1040000,10000,2090000,1040000.0
2020-11-03,350000,0,710000,355000.0
2020-11-15,150000,0,310000,155000.0
2020-11-27,60000,0,130000,65000.0
2020-12-09,20000,0,50000,25000.0
2020-12-21,20000,0,50000,25000.0
2021-01-02,10000,0,30000,15000.0
2021-01-14,0,0,0,0.0
2021-01-26,0,0,10000,5000.0
2021-02-07,0,0,0,0.0
2021-02-19,0,0,0,0.0
2021-03-03,0,0,0,0.0
2021-03-15,0,0,10000,5000.0
2021-03-27,0,0,10000,5000.0
2021-04-08,0,0,0,0.0
2021-04-20,10000,0,30000,15000.0
2021-05-02,30000,0,70000,35000.0
2021-05-14,3430000,230000,6640000,3205000.0
2021-05-26,5610000,20000,11220000,5600000.0
2021-06-07,30860000,29290000,32450000,1580000.0
2021-06-19,38800000,37250000,40350000,1550000.0
2021-07-01,43730000,42220000,45250000,1515000.0
2021-07-13,42180000,40620000,43750000,1565000.0
