Elev_m,area_m2
1255,100000.0
1265,130000.0
1275,120000.0
1285,80000.0
1295,50000.0
1305,70000.0
1315,80000.0
1325,110000.0
1335,110000.0
1345,120000.0
1355,180000.0
1365,190000.0
1375,180000.0
1385,150000.0
1395,160000.0
1405,140000.0
1415,210000.0
1425,230000.0
1435,280000.0
1445,270000.0
1455,350000.0
1465,330000.0
1475,280000.0
1485,240000.0
1495,240000.0
1505,280000.0
1515,300000.0
1525,350000.0
1535,260000.0
1545,270000.0
1555,310000.0
1565,290000.0
1575,220000.0
1585,280000.0
1595,260000.0
1605,190000.0
1615,280000.0
1625,240000.0
1635,250000.0
1645,240000.0
1655,260000.0
1665,330000.0
1675,270000.0
1685,340000.0
1695,470000.0
1705,450000.0
1715,300000.0
1725,320000.0
1735,350000.0
1745,320000.0
1755,360000.0
1765,340000.0
1775,340000.0
1785,350000.0
1795,450000.0
1805,390000.0
1815,360000.0
1825,380000.0
1835,380000.0
1845,400000.0
1855,580000.0
1865,420000.0
1875,380000.0
1885,430000.0
1895,460000.0
1905,400000.0
1915,390000.0
1925,440000.0
1935,380000.0
1945,370000.0
1955,420000.0
1965,400000.0
1975,350000.0
1985,450000.0
1995,270000.0
2005,400000.0
2015,310000.0
2025,390000.0
2035,350000.0
2045,330000.0
2055,350000.0
2065,330000.0
2075,380000.0
2085,320000.0
2095,290000.0
2105,230000.0
2115,290000.0
2125,400000.0
2135,340000.0
2145,260000.0
2155,290000.0
2165,330000.0
2175,290000.0
2185,300000.0
2195,290000.0
2205,260000.0
2215,280000.0
2225,260000.0
2235,240000.0
2245,310000.0
2255,240000.0
2265,160000.0
2275,250000.0
2285,260000.0
2295,320000.0
2305,210000.0
2315,180000.0
2325,180000.0
2335,200000.0
2345,290000.0
2355,190000.0
2365,180000.0
2375,160000.0
2385,170000.0
2395,270000.0
2405,170000.0
2415,260000.0
2425,170000.0
2435,190000.0
2445,120000.0
2455,220000.0
2465,210000.0
2475,100000.0
2485,200000.0
2495,150000.0
2505,130000.0
2515,100000.0
2525,140000.0
2535,120000.0
2545,180000.0
2555,90000.0
2565,100000.0
2575,130000.0
2585,150000.0
2595,80000.0
2605,160000.0
2615,140000.0
2625,130000.0
2635,120000.0
2645,100000.0
2655,170000.0
2665,120000.0
2675,140000.0
2685,120000.0
2695,120000.0
2705,120000.0
2715,110000.0
2725,100000.0
2735,200000.0
2745,150000.0
2755,80000.0
2765,80000.0
2775,160000.0
2785,80000.0
2795,120000.0
2805,140000.0
2815,150000.0
2825,100000.0
2835,70000.0
2845,110000.0
2855,130000.0
2865,90000.0
2875,90000.0
2885,110000.0
2895,140000.0
2905,70000.0
2915,90000.0
2925,100000.0
2935,90000.0
2945,140000.0
2955,110000.0
2965,90000.0
2975,50000.0
2985,100000.0
2995,70000.0
3005,110000.0
3015,150000.0
3025,20000.0
3035,90000.0
3045,120000.0
3055,70000.0
3065,90000.0
3075,70000.0
3085,100000.0
3095,60000.0
3105,100000.0
3115,100000.0
3125,60000.0
3135,120000.0
3145,80000.0
3155,80000.0
3165,90000.0
3175,90000.0
3185,90000.0
3195,40000.0
3205,80000.0
3215,110000.0
3225,70000.0
3235,80000.0
3245,80000.0
3255,90000.0
3265,50000.0
3275,50000.0
3285,100000.0
3295,60000.0
3305,70000.0
3315,90000.0
3325,40000.0
3335,80000.0
3345,130000.0
3355,50000.0
3365,90000.0
3375,80000.0
3385,30000.0
3395,30000.0
3405,90000.0
3415,50000.0
3425,70000.0
3435,70000.0
3445,60000.0
3455,70000.0
3465,40000.0
3475,50000.0
3485,40000.0
3495,90000.0
3505,50000.0
3515,80000.0
3525,80000.0
3535,60000.0
3545,50000.0
3555,50000.0
3565,70000.0
3575,60000.0
3585,120000.0
3595,90000.0
3605,110000.0
3615,90000.0
3625,60000.0
3635,110000.0
3645,130000.0
3655,120000.0
3665,180000.0
3675,200000.0
3685,190000.0
3695,350000.0
3705,220000.0
3715,210000.0
3725,270000.0
3735,150000.0
3745,180000.0
3755,180000.0
3765,150000.0
3775,270000.0
3785,120000.0
3795,150000.0
3805,140000.0
3815,190000.0
3825,180000.0
3835,190000.0
3845,190000.0
3855,170000.0
3865,110000.0
3875,110000.0
3885,130000.0
3895,120000.0
3905,80000.0
3915,80000.0
3925,90000.0
3935,70000.0
3945,110000.0
3955,150000.0
3965,230000.0
3975,80000.0
3985,40000.0
3995,20000.0
4005,60000.0
4015,30000.0
4025,30000.0
4035,20000.0
4045,50000.0
4055,60000.0
4065,50000.0
4075,60000.0
4085,30000.0
4095,20000.0
4105,10000.0
4115,10000.0
