Elev_m,area_m2
1279.5,520000.0
1331.5,530000.0
1370.0,510000.0
1400.0,520000.0
1427.0,560000.0
1447.5,500000.0
1463.5,530000.0
1481.0,490000.0
1501.0,540000.0
1519.5,530000.0
1536.0,490000.0
1553.5,530000.0
1572.5,510000.0
1593.5,530000.0
1615.0,510000.0
1635.0,520000.0
1655.5,560000.0
1674.5,510000.0
1689.0,500000.0
1701.0,530000.0
1715.5,540000.0
1732.0,540000.0
1748.0,520000.0
1762.5,460000.0
1776.5,520000.0
1790.0,530000.0
1803.0,520000.0
1817.0,510000.0
1831.5,540000.0
1845.0,550000.0
1855.5,500000.0
1866.0,500000.0
1878.5,520000.0
1891.0,540000.0
1903.0,500000.0
1915.5,540000.0
1928.0,490000.0
1941.0,530000.0
1954.5,510000.0
1968.0,520000.0
1981.5,600000.0
1995.5,440000.0
2011.0,550000.0
2026.0,550000.0
2040.5,480000.0
2055.0,500000.0
2069.5,520000.0
2085.0,520000.0
2103.0,530000.0
2121.0,550000.0
2136.5,510000.0
2152.5,490000.0
2170.5,550000.0
2188.5,530000.0
2206.0,480000.0
2226.0,530000.0
2246.0,530000.0
2267.0,500000.0
2288.0,520000.0
2310.5,560000.0
2335.5,500000.0
2359.5,500000.0
2385.0,530000.0
2411.0,530000.0
2439.0,510000.0
2468.5,520000.0
2503.5,510000.0
2543.0,520000.0
2584.5,560000.0
2626.5,480000.0
2664.5,530000.0
2706.5,520000.0
2750.0,510000.0
2791.0,520000.0
2835.5,520000.0
2882.5,520000.0
2933.0,530000.0
2987.5,510000.0
3046.0,520000.0
3107.5,530000.0
3170.0,510000.0
3235.0,530000.0
3305.0,530000.0
3379.5,500000.0
3459.5,520000.0
3543.0,540000.0
3611.0,500000.0
3655.5,540000.0
3684.5,530000.0
3707.0,510000.0
3730.0,510000.0
3757.0,520000.0
3787.0,510000.0
3817.0,520000.0
3846.5,520000.0
3883.5,520000.0
3933.0,520000.0
4001.5,520000.0
4077.5,280000.0
