,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2534.0,2489.0,2583.0,47.0
2017-06-16,2668.0,2565.0,2782.0,108.5
2017-06-28,3047.0,3026.0,3070.0,22.0
2017-07-10,3292.0,3264.0,3319.0,27.5
2017-07-22,3293.0,3225.0,3386.0,80.5
2017-08-03,3240.0,3164.0,3378.0,107.0
2017-08-15,3299.0,3239.0,3362.0,61.5
2017-08-27,3255.0,3204.0,3331.0,63.5
2017-09-08,3167.0,3093.0,3306.0,106.5
2017-09-20,3074.0,2955.0,3260.0,152.5
2017-10-02,2949.0,2809.0,3129.0,160.0
2017-10-14,3198.0,3187.0,3209.0,11.0
2017-10-26,1416.0,821.0,2141.0,660.0
2017-11-07,1228.0,821.0,1392.0,285.5
2017-11-19,994.0,820.0,1131.0,155.5
2017-12-01,861.0,821.0,912.0,45.5
2017-12-13,826.0,821.0,837.0,8.0
2017-12-25,821.0,820.0,823.0,1.5
2018-01-06,820.0,820.0,821.0,0.5
2018-01-18,820.0,820.0,820.0,0.0
2018-01-30,820.0,820.0,820.0,0.0
2018-02-11,820.0,820.0,820.0,0.0
2018-02-23,820.0,820.0,820.0,0.0
2018-03-07,820.0,820.0,820.0,0.0
2018-03-19,820.0,820.0,820.0,0.0
2018-03-31,820.0,820.0,820.0,0.0
2018-04-12,820.0,820.0,820.0,0.0
2018-04-24,861.0,825.0,896.0,35.5
2018-05-06,1212.0,1131.0,1247.0,58.0
2018-05-18,1907.0,1844.0,1967.0,61.5
2018-05-30,2208.0,2137.0,2268.0,65.5
2018-06-11,2628.0,2600.0,2657.0,28.5
2018-06-23,2798.0,2772.0,2824.0,26.0
2018-07-05,3200.0,3169.0,3238.0,34.5
2018-07-17,2963.0,2941.0,2985.0,22.0
2018-07-29,3321.0,3265.0,3386.0,60.5
2018-08-10,3351.0,3325.0,3386.0,30.5
2018-08-22,3367.0,3356.0,3386.0,15.0
2018-09-03,3327.0,3301.0,3355.0,27.0
2018-09-15,3258.0,3207.0,3331.0,62.0
2018-09-27,3164.0,3088.0,3306.0,109.0
2018-10-09,3207.0,3157.0,3285.0,64.0
2018-10-21,3230.0,3210.0,3252.0,21.0
2018-11-02,3212.0,3200.0,3232.0,16.0
2018-11-14,3191.0,3173.0,3209.0,18.0
2018-11-26,3108.0,3042.0,3181.0,69.5
2018-12-08,3158.0,3150.0,3168.0,9.0
2018-12-20,1125.0,821.0,1275.0,227.0
2019-01-01,947.0,820.0,1043.0,111.5
2019-01-13,825.0,821.0,831.0,5.0
2019-01-25,824.0,821.0,828.0,3.5
2019-02-06,821.0,820.0,823.0,1.5
2019-02-18,820.0,820.0,821.0,0.5
2019-03-02,820.0,820.0,820.0,0.0
2019-03-14,821.0,820.0,822.0,1.0
2019-03-26,824.0,821.0,828.0,3.5
2019-04-07,820.0,820.0,820.0,0.0
2019-04-19,932.0,823.0,1023.0,100.0
2019-05-01,1062.0,834.0,1218.0,192.0
2019-05-13,1879.0,1794.0,1960.0,83.0
2019-05-25,2554.0,2507.0,2607.0,50.0
2019-06-06,2703.0,2677.0,2728.0,25.5
2019-06-18,2931.0,2916.0,2947.0,15.5
2019-06-30,3344.0,3311.0,3378.0,33.5
2019-07-12,3292.0,3223.0,3378.0,77.5
2019-07-24,3305.0,3238.0,3386.0,74.0
2019-08-05,3270.0,3200.0,3378.0,89.0
2019-08-17,3334.0,3291.0,3378.0,43.5
2019-08-29,3252.0,3178.0,3378.0,100.0
2019-09-10,3209.0,3125.0,3374.0,124.5
2019-09-22,3023.0,2868.0,3319.0,225.5
2019-10-04,2745.0,2570.0,2977.0,203.5
2019-10-16,3316.0,3305.0,3328.0,11.5
2019-10-28,2433.0,2291.0,2551.0,130.0
2019-11-09,3252.0,3235.0,3273.0,19.0
2019-11-21,3231.0,3219.0,3245.0,13.0
2019-12-03,964.0,820.0,1081.0,130.5
2019-12-15,904.0,820.0,987.0,83.5
2019-12-27,862.0,821.0,917.0,48.0
2020-01-08,824.0,820.0,827.0,3.5
2020-01-20,825.0,820.0,828.0,4.0
2020-02-01,822.0,820.0,824.0,2.0
2020-02-13,821.0,820.0,823.0,1.5
2020-02-25,820.0,820.0,820.0,0.0
2020-03-08,821.0,820.0,822.0,1.0
2020-03-20,821.0,820.0,823.0,1.5
2020-04-01,820.0,820.0,820.0,0.0
2020-04-13,1187.0,1173.0,1196.0,11.5
2020-04-25,1755.0,1647.0,1851.0,102.0
2020-05-07,1536.0,1407.0,1802.0,197.5
2020-05-19,2455.0,2383.0,2512.0,64.5
2020-05-31,2562.0,2529.0,2598.0,34.5
2020-06-12,2627.0,2579.0,2678.0,49.5
2020-06-24,2798.0,2766.0,2829.0,31.5
2020-07-06,3331.0,3294.0,3368.0,37.0
2020-07-18,2901.0,2877.0,2924.0,23.5
2020-07-30,3328.0,3287.0,3371.0,42.0
2020-08-11,2989.0,2961.0,3024.0,31.5
2020-08-23,2929.0,2905.0,2955.0,25.0
2020-09-04,2904.0,2886.0,2925.0,19.5
2020-09-16,2854.0,2820.0,2890.0,35.0
2020-09-28,2801.0,2750.0,2851.0,50.5
2020-10-10,2748.0,2693.0,2824.0,65.5
2020-10-22,2733.0,2694.0,2782.0,44.0
2020-11-03,2694.0,2643.0,2741.0,49.0
2020-11-15,1361.0,820.0,1893.0,536.5
2020-11-27,1232.0,821.0,1402.0,290.5
2020-12-09,1030.0,820.0,1203.0,191.5
2020-12-21,880.0,820.0,954.0,67.0
2021-01-02,824.0,820.0,827.0,3.5
2021-01-14,821.0,820.0,823.0,1.5
2021-01-26,820.0,820.0,820.0,0.0
2021-02-07,820.0,820.0,820.0,0.0
2021-02-19,820.0,820.0,820.0,0.0
2021-03-03,820.0,820.0,820.0,0.0
2021-03-15,820.0,820.0,820.0,0.0
2021-03-27,820.0,820.0,820.0,0.0
2021-04-08,820.0,820.0,820.0,0.0
2021-04-20,1372.0,1242.0,1492.0,125.0
2021-05-02,1926.0,1734.0,2094.0,180.0
2021-05-14,1942.0,1779.0,2088.0,154.5
2021-05-26,2155.0,2059.0,2257.0,99.0
2021-06-07,2289.0,2244.0,2323.0,39.5
2021-06-19,2829.0,2812.0,2846.0,17.0
2021-07-01,2949.0,2932.0,2964.0,16.0
2021-07-13,2983.0,2960.0,3007.0,23.5
2021-07-25,3319.0,3258.0,3378.0,60.0
