Elev_m,area_m2
841.0,720000.0
887.5,660000.0
938.0,680000.0
980.5,690000.0
1016.5,690000.0
1056.0,690000.0
1091.5,720000.0
1123.0,670000.0
1163.5,710000.0
1196.5,690000.0
1214.0,700000.0
1227.5,710000.0
1239.0,650000.0
1251.0,680000.0
1263.5,690000.0
1280.5,690000.0
1298.0,700000.0
1311.5,720000.0
1326.5,670000.0
1343.5,660000.0
1360.5,720000.0
1375.0,690000.0
1386.5,670000.0
1398.0,760000.0
1409.0,650000.0
1419.0,680000.0
1429.5,760000.0
1442.0,590000.0
1459.5,710000.0
1483.5,670000.0
1514.5,700000.0
1555.0,700000.0
1608.5,680000.0
1664.0,690000.0
1705.5,680000.0
1734.5,720000.0
1762.5,680000.0
1793.0,680000.0
1823.0,680000.0
1854.0,720000.0
1882.0,660000.0
1909.0,690000.0
1937.0,690000.0
1963.5,730000.0
1989.5,660000.0
2013.0,690000.0
2037.5,720000.0
2063.0,650000.0
2088.5,690000.0
2115.5,710000.0
2141.5,700000.0
2168.0,680000.0
2197.0,670000.0
2224.5,740000.0
2249.5,640000.0
2272.5,690000.0
2292.5,690000.0
2310.5,690000.0
2328.5,700000.0
2350.0,690000.0
2371.0,710000.0
2391.0,680000.0
2411.0,680000.0
2430.0,700000.0
2448.5,680000.0
2464.5,690000.0
2479.5,680000.0
2495.0,700000.0
2512.0,710000.0
2528.0,670000.0
2544.0,700000.0
2562.0,690000.0
2579.5,700000.0
2598.5,730000.0
2617.5,650000.0
2634.5,680000.0
2653.5,680000.0
2674.5,700000.0
2694.5,710000.0
2712.5,680000.0
2730.5,660000.0
2752.5,710000.0
2777.5,670000.0
2804.0,720000.0
2829.5,660000.0
2854.5,690000.0
2880.0,700000.0
2902.5,680000.0
2925.5,690000.0
2950.5,690000.0
2976.0,700000.0
3004.5,680000.0
3037.5,710000.0
3072.0,690000.0
3107.0,680000.0
3144.5,690000.0
3189.5,680000.0
3258.0,690000.0
3343.5,500000.0
