,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2797.0,2672.0,2933.0,130.5
2017-06-16,3125.0,2992.0,3281.0,144.5
2017-06-28,3337.0,3250.0,3442.0,96.0
2017-07-10,3506.0,3414.0,3610.0,98.0
2017-07-22,3641.0,3556.0,3797.0,120.5
2017-08-03,3633.0,3548.0,3786.0,119.0
2017-08-15,3518.0,3420.0,3632.0,106.0
2017-08-27,3309.0,3193.0,3438.0,122.5
2017-09-08,3168.0,3034.0,3305.0,135.5
2017-09-20,2986.0,2860.0,3159.0,149.5
2017-10-02,2906.0,2746.0,3080.0,167.0
2017-10-14,2169.0,1486.0,2697.0,605.5
2017-10-26,1173.0,522.0,2037.0,757.5
2017-11-07,844.0,436.0,1155.0,359.5
2017-11-19,628.0,427.0,773.0,173.0
2017-12-01,504.0,426.0,610.0,92.0
2017-12-13,736.0,433.0,980.0,273.5
2017-12-25,442.0,426.0,448.0,11.0
2018-01-06,438.0,427.0,443.0,8.0
2018-01-18,438.0,432.0,444.0,6.0
2018-01-30,433.0,426.0,436.0,5.0
2018-02-11,433.0,426.0,436.0,5.0
2018-02-23,433.0,426.0,436.0,5.0
2018-03-07,432.0,426.0,435.0,4.5
2018-03-19,428.0,426.0,433.0,3.5
2018-03-31,428.0,426.0,433.0,3.5
2018-04-12,441.0,432.0,448.0,8.0
2018-04-24,783.0,752.0,813.0,30.5
2018-05-06,1091.0,1069.0,1114.0,22.5
2018-05-18,2081.0,2045.0,2114.0,34.5
2018-05-30,2292.0,2225.0,2356.0,65.5
2018-06-11,2933.0,2824.0,3057.0,116.5
2018-06-23,2969.0,2896.0,3055.0,79.5
2018-07-05,3444.0,3340.0,3559.0,109.5
2018-07-17,3257.0,3155.0,3355.0,100.0
2018-07-29,3716.0,3639.0,3853.0,107.0
2018-08-10,3613.0,3544.0,3698.0,77.0
2018-08-22,3594.0,3518.0,3670.0,76.0
2018-09-03,3392.0,3288.0,3510.0,111.0
2018-09-15,3322.0,3207.0,3454.0,123.5
2018-09-27,3092.0,2935.0,3296.0,180.5
2018-10-09,2742.0,2506.0,3077.0,285.5
2018-10-21,2604.0,2375.0,2939.0,282.0
2018-11-02,2208.0,1702.0,2600.0,449.0
2018-11-14,970.0,439.0,1424.0,492.5
2018-11-26,727.0,434.0,956.0,261.0
2018-12-08,617.0,434.0,753.0,159.5
2018-12-20,508.0,432.0,615.0,91.5
2019-01-01,459.0,428.0,481.0,26.5
2019-01-13,444.0,427.0,450.0,11.5
2019-01-25,833.0,798.0,881.0,41.5
2019-02-06,436.0,426.0,439.0,6.5
2019-02-18,433.0,426.0,436.0,5.0
2019-03-02,435.0,426.0,438.0,6.0
2019-03-14,433.0,426.0,437.0,5.5
2019-03-26,574.0,451.0,682.0,115.5
2019-04-07,445.0,426.0,453.0,13.5
2019-04-19,513.0,432.0,623.0,95.5
2019-05-01,937.0,488.0,1254.0,383.0
2019-05-13,1929.0,1848.0,2009.0,80.5
2019-05-25,2732.0,2615.0,2881.0,133.0
2019-06-06,2847.0,2758.0,2932.0,87.0
2019-06-18,3239.0,3110.0,3356.0,123.0
2019-06-30,4078.0,3947.0,4240.0,146.5
2019-07-12,4174.0,4055.0,4309.0,127.0
2019-07-24,4085.0,3944.0,4269.0,162.5
2019-08-05,4073.0,3984.0,4185.0,100.5
2019-08-17,3933.0,3825.0,4022.0,98.5
2019-08-29,3521.0,3399.0,3674.0,137.5
2019-09-10,3295.0,3063.0,3552.0,244.5
2019-09-22,3000.0,2784.0,3305.0,260.5
2019-10-04,2763.0,2572.0,3017.0,222.5
2019-10-16,2173.0,1873.0,2385.0,256.0
2019-10-28,2237.0,2124.0,2347.0,111.5
2019-11-09,1641.0,1507.0,1813.0,153.0
2019-11-21,1217.0,1116.0,1370.0,127.0
2019-12-03,522.0,428.0,634.0,103.0
2019-12-15,468.0,433.0,500.0,33.5
2019-12-27,451.0,432.0,467.0,17.5
2020-01-08,441.0,428.0,447.0,9.5
2020-01-20,439.0,431.0,445.0,7.0
2020-02-01,436.0,426.0,439.0,6.5
2020-02-13,434.0,426.0,437.0,5.5
2020-02-25,433.0,426.0,436.0,5.0
2020-03-08,434.0,426.0,437.0,5.5
2020-03-20,432.0,426.0,435.0,4.5
2020-04-01,427.0,426.0,432.0,3.0
2020-04-13,1023.0,1010.0,1029.0,9.5
2020-04-25,1811.0,1744.0,1867.0,61.5
2020-05-07,1684.0,1543.0,1839.0,148.0
2020-05-19,2406.0,2272.0,2576.0,152.0
2020-05-31,2754.0,2644.0,2885.0,120.5
2020-06-12,2918.0,2788.0,3057.0,134.5
2020-06-24,3152.0,3042.0,3260.0,109.0
2020-07-06,3411.0,3299.0,3536.0,118.5
2020-07-18,3309.0,3205.0,3424.0,109.5
2020-07-30,3528.0,3431.0,3636.0,102.5
2020-08-11,3217.0,3082.0,3336.0,127.0
2020-08-23,3167.0,3014.0,3323.0,154.5
2020-09-04,3089.0,2995.0,3213.0,109.0
2020-09-16,2978.0,2891.0,3085.0,97.0
2020-09-28,2848.0,2730.0,2962.0,116.0
2020-10-10,2746.0,2639.0,2875.0,118.0
2020-10-22,2533.0,2378.0,2720.0,171.0
2020-11-03,2513.0,2393.0,2655.0,131.0
2020-11-15,1037.0,446.0,1636.0,595.0
2020-11-27,779.0,432.0,1040.0,304.0
2020-12-09,579.0,428.0,701.0,136.5
2020-12-21,475.0,432.0,517.0,42.5
2021-01-02,444.0,432.0,452.0,10.0
2021-01-14,437.0,432.0,441.0,4.5
2021-01-26,434.0,426.0,437.0,5.5
