Elev_m,area_m2
440.5,2080000.0
464.5,1940000.0
483.0,2000000.0
503.5,2010000.0
532.0,1970000.0
566.5,2030000.0
596.0,1950000.0
616.5,2060000.0
636.0,2040000.0
657.5,1950000.0
680.0,2010000.0
699.5,2060000.0
714.0,1990000.0
729.0,1970000.0
745.0,1970000.0
760.0,1950000.0
775.0,2040000.0
789.5,1970000.0
804.0,1990000.0
821.5,2040000.0
843.5,1970000.0
868.5,2010000.0
888.5,2050000.0
904.0,2010000.0
922.0,2030000.0
939.0,1920000.0
953.5,1990000.0
972.0,2010000.0
992.0,2020000.0
1007.5,1980000.0
1019.5,2240000.0
1027.5,1770000.0
1034.0,2230000.0
1041.5,1930000.0
1050.0,1950000.0
1062.0,1850000.0
1076.5,2040000.0
1091.5,2050000.0
1105.5,1940000.0
1123.5,1980000.0
1144.5,2030000.0
1160.0,2040000.0
1173.0,1970000.0
1187.0,2040000.0
1202.0,1930000.0
1216.0,2120000.0
1228.5,1930000.0
1246.5,1980000.0
1269.0,1980000.0
1292.5,2000000.0
1321.0,1990000.0
1355.0,1990000.0
1385.5,2000000.0
1406.5,2010000.0
1424.5,1980000.0
1445.0,2080000.0
1464.5,1920000.0
1478.5,2120000.0
1493.0,1970000.0
1510.5,1950000.0
1528.0,2010000.0
1546.0,1960000.0
1567.5,2030000.0
1592.0,2040000.0
1614.0,1920000.0
1639.5,2060000.0
1668.5,1980000.0
1693.0,2000000.0
1718.5,1990000.0
1747.0,2010000.0
1775.0,1980000.0
1803.0,1980000.0
1829.5,2010000.0
1854.0,1990000.0
1880.0,2060000.0
1907.5,1970000.0
1934.5,2010000.0
1961.0,2010000.0
1986.5,2000000.0
2010.0,1970000.0
2031.0,2000000.0
2051.0,2070000.0
2069.5,2000000.0
2086.5,1910000.0
2103.5,2080000.0
2120.5,1940000.0
2137.5,1980000.0
2155.5,2070000.0
2173.5,2060000.0
2188.5,1940000.0
2202.0,2060000.0
2216.5,1940000.0
2231.5,1950000.0
2246.5,2100000.0
2261.5,1990000.0
2277.5,1960000.0
2293.5,1930000.0
2309.5,2090000.0
2325.5,1920000.0
2339.5,2030000.0
2353.0,2060000.0
2368.0,1930000.0
2384.0,2000000.0
2399.5,2080000.0
2414.5,1970000.0
2431.5,1980000.0
2452.0,1960000.0
2471.5,2080000.0
2489.5,1950000.0
2509.0,1980000.0
2530.0,1990000.0
2552.0,2030000.0
2573.5,1960000.0
2593.5,2040000.0
2614.0,2070000.0
2635.0,1910000.0
2657.5,2050000.0
2681.0,1950000.0
2706.0,1990000.0
2735.0,2040000.0
2765.5,1960000.0
2797.0,2020000.0
2829.0,1990000.0
2860.0,1980000.0
2891.0,2020000.0
2921.0,1990000.0
2951.0,1990000.0
2983.5,2030000.0
3017.5,1960000.0
3056.0,2020000.0
3100.5,2010000.0
3148.0,1970000.0
3197.5,2050000.0
3244.5,1980000.0
3288.0,2000000.0
3332.5,1990000.0
3381.5,1980000.0
3434.0,2010000.0
3487.0,1990000.0
3545.0,2010000.0
3606.0,2000000.0
3680.0,2010000.0
3808.5,1980000.0
3981.0,2000000.0
4181.0,2000000.0
4522.5,2000000.0
4860.0,450000.0
