,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,76580000,68180000,119850000,25835000.0
2017-06-16,85890000,76020000,149780000,36880000.0
2017-06-28,98090000,87960000,114580000,13310000.0
2017-07-10,106910000,93600000,124430000,15415000.0
2017-07-22,118860000,105090000,134920000,14915000.0
2017-08-03,141670000,124240000,160510000,18135000.0
2017-08-15,106120000,90550000,126880000,18165000.0
2017-08-27,97610000,81790000,141000000,29605000.0
2017-09-08,113990000,94960000,186720000,45880000.0
2017-09-20,129990000,103820000,210280000,53230000.0
2017-10-02,0,0,210950000,105475000.0
2017-10-14,990000,760000,61790000,30515000.0
2017-10-26,0,0,8280000,4140000.0
2017-11-07,0,0,150000,75000.0
2017-11-19,0,0,0,0.0
2017-12-01,0,0,0,0.0
2017-12-13,80000,80000,80000,0.0
2017-12-25,0,0,0,0.0
2018-01-06,20000,20000,20000,0.0
2018-01-18,60000,60000,60000,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,60000,60000,60000,0.0
2018-04-24,0,0,15300000,7650000.0
2018-05-06,45210000,31770000,63040000,15635000.0
2018-05-18,38610000,36290000,69980000,16845000.0
2018-05-30,47880000,45480000,88570000,21545000.0
2018-06-11,76770000,70240000,114320000,22040000.0
2018-06-23,90450000,84080000,117370000,16645000.0
2018-07-05,109850000,103460000,123200000,9870000.0
2018-07-17,109120000,103330000,134720000,15695000.0
2018-07-29,134490000,121940000,149190000,13625000.0
2018-08-10,130310000,121080000,143530000,11225000.0
2018-08-22,142120000,134800000,152210000,8705000.0
2018-09-03,124800000,111760000,160970000,24605000.0
2018-09-15,132210000,120100000,203540000,41720000.0
2018-09-27,130940000,118120000,228430000,55155000.0
2018-10-09,1260000,1180000,206140000,102480000.0
2018-10-21,270000,250000,186610000,93180000.0
2018-11-02,260000,210000,131240000,65515000.0
2018-11-14,360000,330000,360000,15000.0
2018-11-26,90000,60000,90000,15000.0
2018-12-08,120000,120000,120000,0.0
2018-12-20,40000,30000,50000,10000.0
2019-01-01,30000,30000,30000,0.0
2019-01-13,20000,20000,20000,0.0
2019-01-25,1500000,1320000,14780000,6730000.0
2019-02-06,0,0,0,0.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,1520000,1500000,1520000,10000.0
2019-04-07,0,0,0,0.0
2019-04-19,60000,60000,60000,0.0
2019-05-01,5580000,5570000,5580000,5000.0
2019-05-13,50720000,48190000,84980000,18395000.0
2019-05-25,69140000,61750000,133770000,36010000.0
2019-06-06,79190000,67860000,133570000,32855000.0
2019-06-18,94940000,86490000,137730000,25620000.0
2019-06-30,127920000,114570000,149530000,17480000.0
2019-07-12,139860000,126560000,153670000,13555000.0
2019-07-24,126830000,115060000,140700000,12820000.0
2019-08-05,154860000,141940000,169360000,13710000.0
2019-08-17,136130000,126490000,152040000,12775000.0
2019-08-29,142080000,114830000,247840000,66505000.0
2019-09-10,0,0,218690000,109345000.0
2019-09-22,112340000,100470000,194520000,47025000.0
2019-10-04,410000,300000,200280000,99990000.0
2019-10-16,0,0,136920000,68460000.0
2019-10-28,99260000,59830000,160270000,50220000.0
2019-11-09,0,0,104390000,52195000.0
2019-11-21,49580000,47690000,57840000,5075000.0
2019-12-03,0,0,0,0.0
2019-12-15,0,0,10000,5000.0
2019-12-27,0,0,40000,20000.0
2020-01-08,20000,20000,30000,5000.0
2020-01-20,50000,50000,50000,0.0
2020-02-01,0,0,0,0.0
2020-02-13,0,0,0,0.0
2020-02-25,0,0,0,0.0
2020-03-08,0,0,0,0.0
2020-03-20,0,0,0,0.0
2020-04-01,0,0,0,0.0
2020-04-13,5170000,2290000,10320000,4015000.0
2020-04-25,25340000,21190000,48250000,13530000.0
2020-05-07,40040000,38690000,64930000,13120000.0
2020-05-19,55630000,51480000,91250000,19885000.0
