,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,1740000,870000,5390000,2260000.0
2017-06-16,7020000,6150000,12100000,2975000.0
2017-06-28,8660000,7970000,12640000,2335000.0
2017-07-10,10810000,9320000,13120000,1900000.0
2017-07-22,14500000,11310000,17750000,3220000.0
2017-08-03,17510000,13450000,21600000,4075000.0
2017-08-15,17610000,12720000,22520000,4900000.0
2017-08-27,9940000,9370000,23890000,7260000.0
2017-09-08,15280000,13680000,30800000,8560000.0
2017-09-20,40000,40000,400000,180000.0
2017-10-02,0,0,0,0.0
2017-10-14,0,0,0,0.0
2017-10-26,0,0,0,0.0
2017-11-07,0,0,0,0.0
2017-11-19,0,0,0,0.0
2017-12-01,0,0,0,0.0
2017-12-13,0,0,0,0.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,0,0.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,0,0,0,0.0
2018-05-06,0,0,0,0.0
2018-05-18,0,0,960000,480000.0
2018-05-30,1120000,720000,2360000,820000.0
2018-06-11,2410000,2160000,5770000,1805000.0
2018-06-23,4730000,4240000,7940000,1850000.0
2018-07-05,6350000,5450000,7880000,1215000.0
2018-07-17,8220000,6930000,10770000,1920000.0
2018-07-29,10590000,9630000,16250000,3310000.0
2018-08-10,7050000,5200000,11050000,2925000.0
2018-08-22,11050000,10170000,15260000,2545000.0
2018-09-03,10260000,9660000,24270000,7305000.0
2018-09-15,30000,0,29820000,14910000.0
2018-09-27,20000,20000,32200000,16090000.0
2018-10-09,20000,20000,33210000,16595000.0
2018-10-21,40000,30000,60000,15000.0
2018-11-02,0,0,0,0.0
2018-11-14,0,0,0,0.0
2018-11-26,0,0,0,0.0
2018-12-08,0,0,0,0.0
2018-12-20,0,0,0,0.0
2019-01-01,0,0,0,0.0
2019-01-13,0,0,0,0.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,0,0.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,0,0.0
2019-04-07,0,0,0,0.0
2019-04-19,0,0,0,0.0
2019-05-01,0,0,0,0.0
2019-05-13,40000,40000,40000,0.0
2019-05-25,2710000,2290000,6500000,2105000.0
2019-06-06,5560000,4310000,8690000,2190000.0
2019-06-18,7370000,6040000,9560000,1760000.0
2019-06-30,10940000,9070000,15720000,3325000.0
2019-07-12,15830000,12180000,20030000,3925000.0
2019-07-24,15190000,11950000,18420000,3235000.0
2019-08-05,17150000,13790000,21210000,3710000.0
2019-08-17,13630000,10570000,17140000,3285000.0
2019-08-29,10000,10000,28170000,14080000.0
2019-09-10,30000,10000,29600000,14795000.0
2019-09-22,0,0,12960000,6480000.0
2019-10-04,0,0,31320000,15660000.0
2019-10-16,30000,0,33200000,16600000.0
2019-10-28,20000,20000,12340000,6160000.0
2019-11-09,10000,10000,33560000,16775000.0
2019-11-21,10000,10000,33590000,16790000.0
2019-12-03,60000,40000,33690000,16825000.0
2019-12-15,20000,20000,40000,10000.0
2019-12-27,0,0,0,0.0
2020-01-08,0,0,0,0.0
2020-01-20,0,0,0,0.0
2020-02-01,0,0,0,0.0
2020-02-13,0,0,0,0.0
2020-02-25,0,0,0,0.0
2020-03-08,0,0,0,0.0
2020-03-20,0,0,0,0.0
2020-04-01,0,0,0,0.0
2020-04-13,0,0,0,0.0
2020-04-25,0,0,0,0.0
2020-05-07,110000,80000,160000,40000.0
2020-05-19,70000,50000,5160000,2555000.0
2020-05-31,2400000,2170000,5160000,1495000.0
2020-06-12,3510000,3070000,6880000,1905000.0
2020-06-24,0,0,7760000,3880000.0
2020-07-06,5810000,5440000,8080000,1320000.0
2020-07-18,90000,20000,9590000,4785000.0
2020-07-30,11380000,8560000,14230000,2835000.0
2020-08-11,8940000,8200000,13610000,2705000.0
2020-08-23,9350000,8400000,12010000,1805000.0
2020-09-04,0,0,10460000,5230000.0
2020-09-16,110000,70000,23220000,11575000.0
2020-09-28,0,0,4130000,2065000.0
2020-10-10,80000,70000,1780000,855000.0
2020-10-22,170000,130000,220000,45000.0
2020-11-03,0,0,0,0.0
2020-11-15,0,0,0,0.0
2020-11-27,0,0,0,0.0
2020-12-09,0,0,0,0.0
2020-12-21,0,0,0,0.0
2021-01-02,0,0,0,0.0
2021-01-14,0,0,0,0.0
2021-01-26,210000,210000,33700000,16745000.0
2021-02-07,0,0,0,0.0
2021-02-19,0,0,0,0.0
2021-03-03,0,0,0,0.0
2021-03-15,0,0,0,0.0
2021-03-27,0,0,0,0.0
2021-04-08,0,0,0,0.0
2021-04-20,0,0,0,0.0
2021-05-02,0,0,0,0.0
2021-05-14,690000,320000,1750000,715000.0
2021-05-26,1940000,1440000,3010000,785000.0
2021-06-07,2010000,1570000,4520000,1475000.0
2021-06-19,4820000,3930000,6370000,1220000.0
2021-07-01,70000,60000,8930000,4435000.0
2021-07-13,9590000,7870000,14490000,3310000.0
2021-07-25,9350000,8220000,13420000,2600000.0
2021-08-06,9550000,8660000,14720000,3030000.0
2021-08-18,130000,60000,10860000,5400000.0
2021-08-30,40000,10000,14250000,7120000.0
2021-09-11,11030000,9580000,18170000,4295000.0
2021-09-23,10960000,10480000,26220000,7870000.0
2021-10-05,0,0,480000,240000.0
2021-10-17,20000,20000,40000,10000.0
2021-10-29,0,0,0,0.0
2021-11-10,0,0,0,0.0
2021-11-22,0,0,0,0.0
2021-12-16,0,0,0,0.0
2021-12-28,20000,20000,20000,0.0
2022-01-09,0,0,0,0.0
2022-01-21,0,0,0,0.0
2022-02-02,0,0,0,0.0
2022-02-14,0,0,0,0.0
2022-02-26,0,0,0,0.0
2022-03-10,0,0,0,0.0
2022-03-22,0,0,0,0.0
2022-04-03,0,0,0,0.0
2022-04-15,0,0,0,0.0
2022-04-27,0,0,0,0.0
2022-05-09,0,0,0,0.0
2022-05-21,110000,70000,350000,140000.0
2022-06-02,1060000,590000,6960000,3185000.0
2022-06-14,4150000,2910000,6570000,1830000.0
2022-06-26,5220000,4740000,8130000,1695000.0
2022-07-08,11670000,8530000,15020000,3245000.0
2022-07-20,80000,50000,11290000,5620000.0
2022-08-01,0,0,13820000,6910000.0
2022-08-13,12670000,9750000,15780000,3015000.0
2022-08-25,30000,0,14000000,7000000.0
2022-09-06,10000,10000,20760000,10375000.0
2022-09-18,110000,40000,23520000,11740000.0
2022-09-30,10330000,9260000,26480000,8610000.0
2022-10-12,2430000,1700000,6420000,2360000.0
2022-10-24,100000,100000,1630000,765000.0
2022-11-05,80000,60000,230000,85000.0
2022-11-17,30000,20000,30000,5000.0
2022-11-29,0,0,0,0.0
2022-12-11,0,0,0,0.0
2022-12-23,0,0,0,0.0
2023-01-04,0,0,0,0.0
2023-01-16,0,0,0,0.0
2023-01-28,0,0,0,0.0
2023-02-09,0,0,0,0.0
2023-02-21,0,0,0,0.0
2023-03-05,0,0,0,0.0
2023-03-17,0,0,0,0.0
2023-03-29,0,0,0,0.0
2023-04-10,0,0,0,0.0
2023-04-22,0,0,0,0.0
2023-05-04,0,0,0,0.0
2023-05-16,150000,120000,410000,145000.0
2023-05-28,590000,280000,2970000,1345000.0
2023-06-09,1840000,1410000,5070000,1830000.0
2023-06-21,3920000,2820000,5210000,1195000.0
2023-07-03,150000,100000,6420000,3160000.0
2023-07-15,70000,50000,9900000,4925000.0
2023-07-27,0,0,12530000,6265000.0
2023-08-08,11090000,9350000,14860000,2755000.0
2023-09-01,6600000,5870000,9340000,1735000.0
2023-09-13,7890000,7200000,14180000,3490000.0
2023-09-25,10420000,9210000,26250000,8520000.0
2023-10-07,5530000,4600000,27550000,11475000.0
2023-10-19,110000,80000,32210000,16065000.0
2023-10-31,20000,20000,30000,5000.0
2023-11-12,90000,90000,90000,0.0
2023-11-24,20000,20000,20000,0.0
2023-12-06,20000,20000,20000,0.0
2023-12-18,20000,20000,20000,0.0
2023-12-30,0,0,0,0.0
2024-01-11,0,0,0,0.0
2024-02-16,210000,210000,33770000,16780000.0
2024-02-28,0,0,0,0.0
2024-03-11,0,0,0,0.0
2024-03-23,0,0,0,0.0
2024-04-04,0,0,0,0.0
2024-04-16,0,0,0,0.0
2024-04-28,0,0,110000,55000.0
2024-05-10,90000,80000,100000,10000.0
2024-05-22,40000,30000,2290000,1130000.0
2024-06-03,2180000,1740000,3740000,1000000.0
2024-06-15,3230000,2620000,6310000,1845000.0
2024-06-27,6950000,5460000,8800000,1670000.0
2024-07-09,10510000,7860000,13650000,2895000.0
