,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2467.0,2370.0,2610.0,120.0
2017-06-16,2571.0,2490.0,2699.0,104.5
2017-06-28,2864.0,2813.0,2917.0,52.0
2017-07-10,2908.0,2881.0,3027.0,73.0
2017-07-22,2961.0,2926.0,3042.0,58.0
2017-08-03,2932.0,2907.0,3030.0,61.5
2017-08-15,2903.0,2873.0,3027.0,77.0
2017-08-27,2881.0,2844.0,2934.0,45.0
2017-09-08,2992.0,2961.0,3024.0,31.5
2017-09-20,1934.0,1500.0,2209.0,354.5
2017-10-02,1776.0,1461.0,2033.0,286.0
2017-10-14,1685.0,1460.0,1812.0,176.0
2017-10-26,1609.0,1460.0,1690.0,115.0
2017-11-07,1541.0,1460.0,1595.0,67.5
2017-11-19,1476.0,1460.0,1512.0,26.0
2017-12-01,1465.0,1460.0,1476.0,8.0
2017-12-13,1461.0,1460.0,1463.0,1.5
2017-12-25,1460.0,1460.0,1461.0,0.5
2018-01-06,1460.0,1460.0,1462.0,1.0
2018-01-18,1460.0,1460.0,1460.0,0.0
2018-01-30,1460.0,1460.0,1460.0,0.0
2018-02-11,1460.0,1460.0,1460.0,0.0
2018-02-23,1460.0,1460.0,1460.0,0.0
2018-03-07,1460.0,1460.0,1460.0,0.0
2018-03-19,1460.0,1460.0,1460.0,0.0
2018-03-31,1460.0,1460.0,1460.0,0.0
2018-04-12,1460.0,1460.0,1460.0,0.0
2018-04-24,1460.0,1460.0,1460.0,0.0
2018-05-06,1462.0,1460.0,1465.0,2.5
2018-05-18,1680.0,1642.0,1721.0,39.5
2018-05-30,1994.0,1945.0,2035.0,45.0
2018-06-11,2533.0,2450.0,2663.0,106.5
2018-06-23,2733.0,2599.0,2868.0,134.5
2018-07-05,2841.0,2737.0,2961.0,112.0
2018-07-17,2661.0,2529.0,2854.0,162.5
2018-07-29,2939.0,2912.0,3042.0,65.0
2018-08-10,2932.0,2903.0,3065.0,81.0
2018-08-22,2908.0,2880.0,3045.0,82.5
2018-09-03,2887.0,2854.0,2939.0,42.5
2018-09-15,3030.0,3012.0,3055.0,21.5
2018-09-27,2941.0,2932.0,2992.0,30.0
2018-10-09,3010.0,3005.0,3012.0,3.5
2018-10-21,1777.0,1464.0,2035.0,285.5
2018-11-02,1704.0,1460.0,1836.0,188.0
2018-11-14,1630.0,1460.0,1724.0,132.0
2018-11-26,1547.0,1460.0,1605.0,72.5
2018-12-08,1489.0,1460.0,1535.0,37.5
2018-12-20,1463.0,1460.0,1469.0,4.5
2019-01-01,1462.0,1460.0,1465.0,2.5
2019-01-13,1460.0,1460.0,1462.0,1.0
2019-01-25,1460.0,1460.0,1460.0,0.0
2019-02-06,1460.0,1460.0,1462.0,1.0
2019-02-18,1460.0,1460.0,1461.0,0.5
2019-03-02,1460.0,1460.0,1462.0,1.0
2019-03-14,1460.0,1460.0,1460.0,0.0
2019-03-26,1460.0,1460.0,1462.0,1.0
2019-04-07,1460.0,1460.0,1460.0,0.0
2019-04-19,1460.0,1460.0,1460.0,0.0
2019-05-01,1460.0,1460.0,1460.0,0.0
2019-05-13,1617.0,1462.0,1703.0,120.5
2019-05-25,2568.0,2464.0,2737.0,136.5
2019-06-06,2559.0,2452.0,2718.0,133.0
2019-06-18,2680.0,2545.0,2862.0,158.5
2019-06-30,2930.0,2898.0,3045.0,73.5
2019-07-12,2939.0,2914.0,3034.0,60.0
2019-07-24,2927.0,2895.0,3045.0,75.0
2019-08-05,2931.0,2904.0,3030.0,63.0
2019-08-17,2934.0,2907.0,3045.0,69.0
2019-08-29,2884.0,2852.0,2939.0,43.5
2019-09-10,2898.0,2881.0,2938.0,28.5
2019-09-22,2384.0,2236.0,2598.0,181.0
2019-10-04,3012.0,3005.0,3027.0,11.0
2019-10-16,3034.0,3030.0,3042.0,6.0
2019-10-28,2292.0,2202.0,2381.0,89.5
2019-11-09,3030.0,3030.0,3034.0,2.0
2019-11-21,3012.0,3010.0,3024.0,7.0
2019-12-03,3030.0,3030.0,3034.0,2.0
2019-12-15,1465.0,1462.0,1480.0,9.0
2019-12-27,1465.0,1460.0,1471.0,5.5
2020-01-08,1464.0,1460.0,1471.0,5.5
2020-01-20,1463.0,1460.0,1469.0,4.5
2020-02-01,1460.0,1460.0,1460.0,0.0
2020-02-13,1464.0,1460.0,1471.0,5.5
2020-02-25,1460.0,1460.0,1461.0,0.5
2020-03-08,1460.0,1460.0,1460.0,0.0
2020-03-20,1460.0,1460.0,1460.0,0.0
2020-04-01,1461.0,1460.0,1463.0,1.5
2020-04-13,1462.0,1460.0,1465.0,2.5
2020-04-25,1492.0,1460.0,1537.0,38.5
2020-05-07,1558.0,1474.0,1607.0,66.5
2020-05-19,2343.0,2227.0,2477.0,125.0
2020-05-31,2431.0,2357.0,2525.0,84.0
2020-06-12,2544.0,2449.0,2704.0,127.5
2020-06-24,2661.0,2533.0,2844.0,155.5
2020-07-06,2748.0,2601.0,2890.0,144.5
2020-07-18,2678.0,2528.0,2886.0,179.0
2020-07-30,2992.0,2934.0,3055.0,60.5
2020-08-11,2882.0,2854.0,2918.0,32.0
2020-08-23,2852.0,2798.0,2904.0,53.0
2020-09-04,2518.0,2376.0,2798.0,211.0
2020-09-16,3030.0,3030.0,3034.0,2.0
2020-09-28,2124.0,1723.0,2426.0,351.5
2020-10-10,2042.0,1616.0,2329.0,356.5
2020-10-22,1911.0,1478.0,2190.0,356.0
2020-11-03,1794.0,1460.0,2064.0,302.0
2020-11-15,1743.0,1460.0,1961.0,250.5
2020-11-27,1697.0,1460.0,1828.0,184.0
2020-12-09,1647.0,1460.0,1746.0,143.0
2020-12-21,1570.0,1460.0,1634.0,87.0
2021-01-02,1466.0,1460.0,1489.0,14.5
2021-01-14,1461.0,1460.0,1463.0,1.5
2021-01-26,3010.0,3010.0,3012.0,1.0
2021-02-07,1460.0,1460.0,1460.0,0.0
2021-02-19,1460.0,1460.0,1460.0,0.0
2021-03-03,1460.0,1460.0,1460.0,0.0
2021-03-15,1460.0,1460.0,1461.0,0.5
2021-03-27,1460.0,1460.0,1460.0,0.0
2021-04-08,1460.0,1460.0,1462.0,1.0
2021-04-20,1471.0,1460.0,1498.0,19.0
2021-05-02,1462.0,1460.0,1465.0,2.5
2021-05-14,1822.0,1786.0,1861.0,37.5
2021-05-26,1870.0,1820.0,1941.0,60.5
2021-06-07,2267.0,2199.0,2331.0,66.0
2021-06-19,2836.0,2750.0,2907.0,78.5
2021-07-01,2704.0,2526.0,3005.0,239.5
2021-07-13,2862.0,2812.0,2914.0,51.0
2021-07-25,3005.0,2940.0,3055.0,57.5
2021-08-06,3005.0,2939.0,3065.0,63.0
2021-08-18,2835.0,2726.0,2944.0,109.0
2021-08-30,2839.0,2741.0,2926.0,92.5
2021-09-11,2840.0,2754.0,2907.0,76.5
2021-09-23,2992.0,2971.0,3012.0,20.5
2021-10-05,2020.0,1524.0,2328.0,402.0
2021-10-17,1881.0,1462.0,2172.0,355.0
2021-10-29,1798.0,1460.0,2068.0,304.0
2021-11-10,1725.0,1460.0,1905.0,222.5
2021-11-22,1658.0,1460.0,1769.0,154.5
2021-12-16,1492.0,1460.0,1539.0,39.5
2021-12-28,1465.0,1461.0,1480.0,9.5
2022-01-09,1460.0,1460.0,1460.0,0.0
2022-01-21,1460.0,1460.0,1461.0,0.5
2022-02-02,1460.0,1460.0,1462.0,1.0
2022-02-14,1460.0,1460.0,1460.0,0.0
2022-02-26,1460.0,1460.0,1460.0,0.0
2022-03-10,1460.0,1460.0,1460.0,0.0
2022-03-22,1460.0,1460.0,1460.0,0.0
2022-04-03,1460.0,1460.0,1460.0,0.0
2022-04-15,1460.0,1460.0,1460.0,0.0
2022-04-27,1475.0,1461.0,1503.0,21.0
2022-05-09,1466.0,1460.0,1489.0,14.5
2022-05-21,1641.0,1560.0,1700.0,70.0
2022-06-02,2549.0,2433.0,2764.0,165.5
2022-06-14,2704.0,2562.0,2873.0,155.5
2022-06-26,2751.0,2581.0,2971.0,195.0
2022-07-08,2932.0,2904.0,3034.0,65.0
2022-07-20,2878.0,2821.0,3034.0,106.5
2022-08-01,3005.0,2939.0,3055.0,58.0
2022-08-13,2967.0,2926.0,3065.0,69.5
2022-08-25,2918.0,2888.0,3045.0,78.5
2022-09-06,2887.0,2852.0,2967.0,57.5
2022-09-18,2857.0,2817.0,2901.0,42.0
2022-09-30,2834.0,2773.0,2881.0,54.0
2022-10-12,2278.0,2121.0,2443.0,161.0
2022-10-24,1977.0,1606.0,2228.0,311.0
2022-11-05,1899.0,1484.0,2179.0,347.5
2022-11-17,1819.0,1462.0,2101.0,319.5
2022-11-29,1779.0,1460.0,2038.0,289.0
2022-12-11,1738.0,1460.0,1945.0,242.5
2022-12-23,1668.0,1460.0,1783.0,161.5
