,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,26930000,23940000,29900000,2980000.0
2017-06-16,29220000,27500000,30940000,1720000.0
2017-06-28,32870000,32230000,33510000,640000.0
2017-07-10,33450000,33120000,33770000,325000.0
2017-07-22,33680000,33560000,33800000,120000.0
2017-08-03,33610000,33440000,33780000,170000.0
2017-08-15,33390000,33010000,33770000,380000.0
2017-08-27,33110000,32590000,33620000,515000.0
2017-09-08,33720000,33680000,33760000,40000.0
2017-09-20,9270000,420000,18130000,8855000.0
2017-10-02,5920000,40000,11840000,5900000.0
2017-10-14,3450000,10000,6910000,3450000.0
2017-10-26,1770000,0,3550000,1775000.0
2017-11-07,750000,0,1510000,755000.0
2017-11-19,250000,0,510000,255000.0
2017-12-01,120000,10000,250000,120000.0
2017-12-13,40000,10000,90000,40000.0
2017-12-25,10000,10000,30000,10000.0
2018-01-06,20000,20000,50000,15000.0
2018-01-18,0,0,10000,5000.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,10000,5000.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,0,0,0,0.0
2018-05-06,50000,0,110000,55000.0
2018-05-18,3340000,2430000,4250000,910000.0
2018-05-30,10710000,9500000,11940000,1220000.0
2018-06-11,28530000,26490000,30570000,2040000.0
2018-06-23,31340000,29710000,32960000,1625000.0
2018-07-05,32550000,31400000,33680000,1140000.0
2018-07-17,30550000,28380000,32740000,2180000.0
2018-07-29,33640000,33480000,33800000,160000.0
2018-08-10,33610000,33390000,33830000,220000.0
2018-08-22,33450000,33090000,33810000,360000.0
2018-09-03,33200000,32740000,33640000,450000.0
2018-09-15,33780000,33750000,33820000,35000.0
2018-09-27,33660000,33610000,33720000,55000.0
2018-10-09,33740000,33730000,33750000,10000.0
2018-10-21,5980000,100000,11900000,5900000.0
2018-11-02,3830000,10000,7660000,3825000.0
2018-11-14,2160000,10000,4330000,2160000.0
2018-11-26,850000,0,1710000,855000.0
2018-12-08,330000,0,670000,335000.0
2018-12-20,90000,0,190000,95000.0
2019-01-01,50000,0,110000,55000.0
2019-01-13,20000,20000,50000,15000.0
2019-01-25,0,0,0,0.0
2019-02-06,20000,20000,50000,15000.0
2019-02-18,10000,10000,30000,10000.0
2019-03-02,20000,20000,50000,15000.0
2019-03-14,0,0,10000,5000.0
2019-03-26,20000,20000,50000,15000.0
2019-04-07,0,0,10000,5000.0
2019-04-19,0,0,10000,5000.0
2019-05-01,10000,10000,20000,5000.0
2019-05-13,1930000,50000,3820000,1885000.0
2019-05-25,29130000,26860000,31390000,2265000.0
2019-06-06,28910000,26610000,31200000,2295000.0
2019-06-18,30800000,28760000,32830000,2035000.0
2019-06-30,33580000,33350000,33810000,230000.0
2019-07-12,33640000,33490000,33790000,150000.0
2019-07-24,33570000,33330000,33810000,240000.0
2019-08-05,33590000,33400000,33780000,190000.0
2019-08-17,33620000,33440000,33810000,185000.0
2019-08-29,33170000,32710000,33640000,465000.0
2019-09-10,33360000,33110000,33630000,260000.0
2019-09-22,24350000,19010000,29690000,5340000.0
2019-10-04,33750000,33730000,33770000,20000.0
2019-10-16,33790000,33780000,33800000,10000.0
2019-10-28,21100000,17900000,24280000,3190000.0
2019-11-09,33780000,33780000,33790000,5000.0
2019-11-21,33750000,33740000,33760000,10000.0
2019-12-03,33780000,33780000,33790000,5000.0
2019-12-15,150000,50000,290000,120000.0
2019-12-27,110000,10000,210000,100000.0
2020-01-08,100000,10000,200000,95000.0
2020-01-20,90000,0,190000,95000.0
2020-02-01,0,0,0,0.0
2020-02-13,100000,0,210000,105000.0
2020-02-25,10000,10000,30000,10000.0
2020-03-08,0,0,10000,5000.0
2020-03-20,0,0,10000,5000.0
2020-04-01,40000,10000,90000,40000.0
2020-04-13,50000,0,110000,55000.0
2020-04-25,350000,0,710000,355000.0
2020-05-07,980000,230000,1740000,755000.0
2020-05-19,22970000,18760000,27190000,4215000.0
2020-05-31,25880000,23470000,28260000,2395000.0
2020-06-12,28730000,26450000,31000000,2275000.0
2020-06-24,30550000,28530000,32590000,2030000.0
2020-07-06,31510000,29750000,33270000,1760000.0
2020-07-18,30760000,28340000,33180000,2420000.0
2020-07-30,33720000,33620000,33820000,100000.0
2020-08-11,33140000,32740000,33520000,390000.0
2020-08-23,32720000,32040000,33400000,680000.0
2020-09-04,28100000,24150000,32040000,3945000.0
2020-09-16,33780000,33780000,33790000,5000.0
2020-09-28,15020000,4300000,25750000,10725000.0
2020-10-10,12150000,1890000,22420000,10265000.0
2020-10-22,8830000,270000,17410000,8570000.0
2020-11-03,6420000,10000,12850000,6420000.0
2020-11-15,4920000,10000,9850000,4920000.0
2020-11-27,3700000,0,7410000,3705000.0
2020-12-09,2500000,0,5010000,2505000.0
2020-12-21,1130000,0,2270000,1135000.0
2021-01-02,160000,0,330000,165000.0
2021-01-14,40000,10000,90000,40000.0
2021-01-26,33740000,33740000,33750000,5000.0
2021-02-07,0,0,10000,5000.0
2021-02-19,0,0,10000,5000.0
2021-03-03,0,0,10000,5000.0
2021-03-15,10000,10000,30000,10000.0
2021-03-27,0,0,0,0.0
2021-04-08,20000,20000,50000,15000.0
2021-04-20,200000,0,400000,200000.0
2021-05-02,60000,10000,130000,60000.0
2021-05-14,7190000,6190000,8180000,995000.0
2021-05-26,8300000,7160000,9450000,1145000.0
2021-06-07,20130000,17730000,22510000,2390000.0
2021-06-19,32480000,31530000,33430000,950000.0
2021-07-01,31010000,28290000,33730000,2720000.0
2021-07-13,32850000,32210000,33490000,640000.0
2021-07-25,33730000,33650000,33820000,85000.0
2021-08-06,33730000,33640000,33830000,95000.0
2021-08-18,32470000,31270000,33670000,1200000.0
2021-08-30,32500000,31440000,33560000,1060000.0
2021-09-11,32520000,31580000,33440000,930000.0
2021-09-23,33720000,33700000,33750000,25000.0
2021-10-05,11460000,570000,22390000,10910000.0
2021-10-17,8390000,60000,16730000,8335000.0
2021-10-29,6500000,20000,12990000,6485000.0
2021-11-10,4360000,20000,8730000,4355000.0
2021-11-22,2830000,20000,5670000,2825000.0
2021-12-16,360000,10000,730000,360000.0
2021-12-28,140000,30000,290000,130000.0
2022-01-09,0,0,10000,5000.0
2022-01-21,10000,10000,30000,10000.0
2022-02-02,20000,20000,50000,15000.0
2022-02-14,0,0,0,0.0
2022-02-26,0,0,10000,5000.0
2022-03-10,0,0,0,0.0
2022-03-22,0,0,0,0.0
2022-04-03,10000,10000,10000,0.0
2022-04-15,0,0,0,0.0
2022-04-27,240000,40000,440000,200000.0
2022-05-09,160000,0,330000,165000.0
2022-05-21,2390000,1000000,3790000,1395000.0
2022-06-02,28810000,25940000,31670000,2865000.0
2022-06-14,31010000,29010000,33010000,2000000.0
2022-06-26,31540000,29370000,33700000,2165000.0
2022-07-08,33600000,33400000,33790000,195000.0
2022-07-20,33050000,32310000,33790000,740000.0
2022-08-01,33730000,33640000,33820000,90000.0
2022-08-13,33690000,33550000,33830000,140000.0
2022-08-25,33520000,33240000,33810000,285000.0
2022-09-06,33210000,32730000,33690000,480000.0
2022-09-18,32810000,32260000,33380000,560000.0
2022-09-30,32460000,31800000,33120000,660000.0
2022-10-12,20540000,14870000,26190000,5660000.0
2022-10-24,10240000,1730000,18800000,8535000.0
2022-11-05,8620000,300000,16950000,8325000.0
2022-11-17,7130000,60000,14240000,7090000.0
2022-11-29,6020000,0,12050000,6025000.0
2022-12-11,4750000,20000,9500000,4740000.0
2022-12-23,3040000,0,6090000,3045000.0
2023-01-04,2110000,10000,4230000,2110000.0
2023-01-16,560000,0,1130000,565000.0
2023-01-28,130000,20000,270000,125000.0
2023-02-09,0,0,0,0.0
