,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2427.0,2341.0,2594.0,126.5
2017-06-16,2909.0,2877.0,3038.0,80.5
2017-06-28,2670.0,2596.0,3038.0,221.0
2017-07-10,2670.0,2594.0,3044.0,225.0
2017-07-22,2873.0,2703.0,3044.0,170.5
2017-08-03,2813.0,2638.0,3086.0,224.0
2017-08-15,2830.0,2654.0,3044.0,195.0
2017-08-27,2688.0,2607.0,2968.0,180.5
2017-09-08,2636.0,2564.0,2968.0,202.0
2017-09-20,2900.0,2830.0,3038.0,104.0
2017-10-02,2873.0,2813.0,2909.0,48.0
2017-10-14,1591.0,1517.0,1630.0,56.5
2017-10-26,1546.0,1516.0,1564.0,24.0
2017-11-07,1523.0,1513.0,1537.0,12.0
2017-11-19,1513.0,1513.0,1513.0,0.0
2017-12-01,1520.0,1513.0,1531.0,9.0
2017-12-13,1513.0,1513.0,1513.0,0.0
2017-12-25,1513.0,1513.0,1513.0,0.0
2018-01-06,1513.0,1513.0,1516.0,1.5
2018-01-18,1513.0,1513.0,1513.0,0.0
2018-01-30,1513.0,1513.0,1513.0,0.0
2018-02-11,1513.0,1513.0,1513.0,0.0
2018-02-23,1513.0,1513.0,1516.0,1.5
2018-03-07,1513.0,1513.0,1513.0,0.0
2018-03-19,1513.0,1513.0,1513.0,0.0
2018-03-31,1516.0,1513.0,1517.0,2.0
2018-04-12,1513.0,1513.0,1513.0,0.0
2018-04-24,1513.0,1513.0,1516.0,1.5
2018-05-06,1513.0,1513.0,1513.0,0.0
2018-05-18,1670.0,1613.0,1721.0,54.0
2018-05-30,1960.0,1892.0,2010.0,59.0
2018-06-11,2428.0,2357.0,2552.0,97.5
2018-06-23,2603.0,2514.0,3038.0,262.0
2018-07-05,2784.0,2622.0,3086.0,232.0
2018-07-17,2569.0,2478.0,2946.0,234.0
2018-07-29,2623.0,2542.0,3044.0,251.0
2018-08-10,2813.0,2638.0,3086.0,224.0
2018-08-22,2654.0,2584.0,3086.0,251.0
2018-09-03,2798.0,2638.0,2968.0,165.0
2018-09-15,2654.0,2596.0,2922.0,163.0
2018-09-27,2589.0,2525.0,2813.0,144.0
2018-10-09,2702.0,2659.0,2784.0,62.5
2018-10-21,2659.0,2653.0,2702.0,24.5
2018-11-02,2905.0,2900.0,2909.0,4.5
2018-11-14,1593.0,1519.0,1634.0,57.5
2018-11-26,1545.0,1513.0,1561.0,24.0
2018-12-08,1520.0,1513.0,1531.0,9.0
2018-12-20,1523.0,1513.0,1537.0,12.0
2019-01-01,1517.0,1516.0,1522.0,3.0
2019-01-13,1517.0,1513.0,1520.0,3.5
2019-01-25,1513.0,1513.0,1513.0,0.0
2019-02-06,1516.0,1513.0,1517.0,2.0
2019-02-18,1517.0,1513.0,1520.0,3.5
2019-03-02,1516.0,1513.0,1517.0,2.0
2019-03-14,1519.0,1513.0,1526.0,6.5
2019-03-26,1516.0,1513.0,1517.0,2.0
2019-04-07,1513.0,1513.0,1513.0,0.0
2019-04-19,1513.0,1513.0,1516.0,1.5
2019-05-01,1517.0,1513.0,1520.0,3.5
2019-05-13,1564.0,1517.0,1603.0,43.0
2019-05-25,2323.0,2238.0,2514.0,138.0
2019-06-06,2455.0,2379.0,2588.0,104.5
2019-06-18,2594.0,2510.0,2922.0,206.0
2019-06-30,2649.0,2564.0,3086.0,261.0
2019-07-12,2584.0,2492.0,2968.0,238.0
2019-07-24,2589.0,2506.0,3044.0,269.0
2019-08-05,2595.0,2509.0,3044.0,267.5
2019-08-17,2900.0,2811.0,3044.0,116.5
2019-08-29,2760.0,2622.0,3038.0,208.0
2019-09-10,2654.0,2586.0,2968.0,191.0
2019-09-22,2922.0,2883.0,3044.0,80.5
2019-10-04,2883.0,2813.0,2968.0,77.5
2019-10-16,2905.0,2872.0,3038.0,83.0
2019-10-28,2854.0,2811.0,2877.0,33.0
2019-11-09,2946.0,2946.0,2946.0,0.0
2019-11-21,2813.0,2811.0,2854.0,21.5
2019-12-03,2922.0,2922.0,2922.0,0.0
2019-12-15,1532.0,1513.0,1546.0,16.5
2019-12-27,1520.0,1513.0,1531.0,9.0
2020-01-08,1520.0,1516.0,1533.0,8.5
2020-01-20,1517.0,1516.0,1522.0,3.0
2020-02-01,1516.0,1513.0,1517.0,2.0
2020-02-13,1513.0,1513.0,1516.0,1.5
2020-02-25,1513.0,1513.0,1516.0,1.5
2020-03-08,1519.0,1513.0,1526.0,6.5
2020-03-20,1516.0,1513.0,1517.0,2.0
2020-04-01,1513.0,1513.0,1516.0,1.5
2020-04-13,1517.0,1513.0,1520.0,3.5
2020-04-25,1533.0,1513.0,1547.0,17.0
2020-05-07,1543.0,1516.0,1558.0,21.0
2020-05-19,2217.0,2146.0,2329.0,91.5
2020-05-31,2412.0,2343.0,2541.0,99.0
2020-06-12,2461.0,2386.0,2596.0,105.0
2020-06-24,2564.0,2490.0,2813.0,161.5
2020-07-06,2760.0,2615.0,3086.0,235.5
2020-07-18,2854.0,2659.0,3044.0,192.5
2020-07-30,2811.0,2636.0,3044.0,204.0
2020-08-11,2703.0,2613.0,3038.0,212.5
2020-08-23,2798.0,2635.0,3044.0,204.5
2020-09-04,2477.0,2370.0,2784.0,207.0
2020-09-16,2558.0,2486.0,2798.0,156.0
2020-09-28,2703.0,2654.0,2813.0,79.5
2020-10-10,2531.0,2492.0,2588.0,48.0
2020-10-22,2654.0,2653.0,2659.0,3.0
2020-11-03,1700.0,1516.0,1801.0,142.5
2020-11-15,1670.0,1517.0,1748.0,115.5
2020-11-27,1644.0,1520.0,1707.0,93.5
2020-12-09,1596.0,1513.0,1637.0,62.0
2020-12-21,1552.0,1516.0,1580.0,32.0
2021-01-02,1520.0,1516.0,1533.0,8.5
2021-01-14,1513.0,1513.0,1513.0,0.0
2021-01-26,1517.0,1513.0,1520.0,3.5
2021-02-07,1516.0,1513.0,1517.0,2.0
2021-02-19,1522.0,1513.0,1534.0,10.5
2021-03-03,1513.0,1513.0,1513.0,0.0
2021-03-15,1513.0,1513.0,1516.0,1.5
2021-03-27,1513.0,1513.0,1513.0,0.0
2021-04-08,1517.0,1516.0,1522.0,3.0
2021-04-20,1531.0,1526.0,1533.0,3.5
2021-05-02,1513.0,1513.0,1513.0,0.0
