,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1700.0,1658.0,1802.0,72.0
2017-06-16,1900.0,1850.0,2056.0,103.0
2017-06-28,1996.0,1952.0,2046.0,47.0
2017-07-10,2009.0,1982.0,2057.0,37.5
2017-07-22,2124.0,2065.0,2178.0,56.5
2017-08-03,2093.0,2067.0,2206.0,69.5
2017-08-15,2142.0,2069.0,2227.0,79.0
2017-08-27,2063.0,2050.0,2219.0,84.5
2017-09-08,2171.0,2142.0,2346.0,102.0
2017-09-20,2197.0,2195.0,2622.0,213.5
2017-10-02,1801.0,1801.0,2619.0,409.0
2017-10-14,1516.0,1516.0,1516.0,0.0
2017-10-26,1513.0,1513.0,1513.0,0.0
2017-11-07,1513.0,1513.0,1513.0,0.0
2017-11-19,1513.0,1513.0,1513.0,0.0
2017-12-01,1513.0,1513.0,1513.0,0.0
2017-12-13,1513.0,1513.0,1513.0,0.0
2017-12-25,1513.0,1513.0,1513.0,0.0
2018-01-06,1513.0,1513.0,1513.0,0.0
2018-01-18,1513.0,1513.0,1513.0,0.0
2018-01-30,1513.0,1513.0,1513.0,0.0
2018-02-11,1513.0,1513.0,1513.0,0.0
2018-02-23,1513.0,1513.0,1513.0,0.0
2018-03-07,1513.0,1513.0,1513.0,0.0
2018-03-19,1513.0,1513.0,1513.0,0.0
2018-03-31,1513.0,1513.0,1513.0,0.0
2018-04-12,1513.0,1513.0,1513.0,0.0
2018-04-24,1513.0,1513.0,1513.0,0.0
2018-05-06,1513.0,1513.0,1513.0,0.0
2018-05-18,1593.0,1575.0,1603.0,14.0
2018-05-30,1676.0,1647.0,1719.0,36.0
2018-06-11,1700.0,1665.0,1758.0,46.5
2018-06-23,1808.0,1780.0,1874.0,47.0
2018-07-05,1852.0,1824.0,1890.0,33.0
2018-07-17,1871.0,1865.0,1952.0,43.5
2018-07-29,2023.0,1999.0,2128.0,64.5
2018-08-10,1913.0,1810.0,2028.0,109.0
2018-08-22,2073.0,2045.0,2142.0,48.5
2018-09-03,2118.0,2089.0,2222.0,66.5
2018-09-15,2132.0,2116.0,2294.0,89.0
2018-09-27,2146.0,2136.0,2379.0,121.5
2018-10-09,2151.0,2145.0,2547.0,201.0
2018-10-21,1734.0,1734.0,2594.0,430.0
2018-11-02,1790.0,1789.0,2760.0,485.5
2018-11-14,1517.0,1517.0,1517.0,0.0
2018-11-26,1513.0,1513.0,1513.0,0.0
2018-12-08,1513.0,1513.0,1513.0,0.0
2018-12-20,1513.0,1513.0,1513.0,0.0
2019-01-01,1513.0,1513.0,1513.0,0.0
2019-01-13,1513.0,1513.0,1513.0,0.0
2019-01-25,1513.0,1513.0,1513.0,0.0
2019-02-06,1513.0,1513.0,1513.0,0.0
2019-02-18,1513.0,1513.0,1513.0,0.0
2019-03-02,1513.0,1513.0,1513.0,0.0
2019-03-14,1513.0,1513.0,1513.0,0.0
2019-03-26,1513.0,1513.0,1513.0,0.0
2019-04-07,1513.0,1513.0,1513.0,0.0
2019-04-19,1513.0,1513.0,1513.0,0.0
2019-05-01,1513.0,1513.0,1513.0,0.0
2019-05-13,1516.0,1516.0,1516.0,0.0
2019-05-25,1767.0,1711.0,1887.0,88.0
2019-06-06,1801.0,1760.0,1867.0,53.5
2019-06-18,1892.0,1866.0,1940.0,37.0
2019-06-30,1980.0,1970.0,2074.0,52.0
2019-07-12,2057.0,2036.0,2172.0,68.0
