,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,4170000,2820000,8320000,2750000.0
2017-06-16,11100000,9850000,16700000,3425000.0
2017-06-28,14100000,12490000,16280000,1895000.0
2017-07-10,14610000,13640000,16740000,1550000.0
2017-07-22,19210000,17070000,21370000,2150000.0
2017-08-03,18070000,17150000,22340000,2595000.0
2017-08-15,19910000,17230000,22990000,2880000.0
2017-08-27,16960000,16460000,22760000,3150000.0
2017-09-08,21080000,19910000,25560000,2825000.0
2017-09-20,22030000,21970000,27620000,2825000.0
2017-10-02,8310000,8310000,27600000,9645000.0
2017-10-14,10000,10000,10000,0.0
2017-10-26,0,0,0,0.0
2017-11-07,0,0,0,0.0
2017-11-19,0,0,0,0.0
2017-12-01,0,0,0,0.0
2017-12-13,0,0,0,0.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,0,0.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,0,0,0,0.0
2018-05-06,0,0,0,0.0
2018-05-18,880000,690000,1050000,180000.0
2018-05-30,3320000,2340000,4950000,1305000.0
2018-06-11,4160000,3000000,6590000,1795000.0
2018-06-23,8570000,7430000,10490000,1530000.0
2018-07-05,9900000,9110000,10890000,890000.0
2018-07-17,10450000,10240000,12490000,1125000.0
2018-07-29,15240000,14190000,19360000,2585000.0
2018-08-10,11410000,8660000,15490000,3415000.0
2018-08-22,17360000,16270000,19910000,1820000.0
2018-09-03,19020000,17900000,22830000,2465000.0
2018-09-15,19590000,18900000,24700000,2900000.0
2018-09-27,20090000,19730000,25970000,3120000.0
2018-10-09,20280000,20060000,27300000,3620000.0
2018-10-21,5750000,5740000,27500000,10880000.0
2018-11-02,7790000,7770000,27790000,10010000.0
2018-11-14,30000,30000,30000,0.0
2018-11-26,0,0,0,0.0
2018-12-08,0,0,0,0.0
2018-12-20,0,0,0,0.0
