,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,118930000,114330000,123510000,4590000.0
2017-06-16,121700000,117950000,125440000,3745000.0
2017-06-28,124920000,121070000,128780000,3855000.0
2017-07-10,129800000,125570000,134040000,4235000.0
2017-07-22,135320000,130080000,140570000,5245000.0
2017-08-03,134390000,129280000,139500000,5110000.0
2017-08-15,131160000,126500000,135820000,4660000.0
2017-08-27,125170000,120470000,129880000,4705000.0
2017-09-08,120780000,116000000,125540000,4770000.0
2017-09-20,45060000,270000,89920000,44825000.0
2017-10-02,35710000,70000,71420000,35675000.0
2017-10-14,27290000,7730000,46860000,19565000.0
2017-10-26,8650000,40000,17310000,8635000.0
2017-11-07,4280000,0,8570000,4285000.0
2017-11-19,2360000,20000,4730000,2355000.0
2017-12-01,1160000,10000,2330000,1160000.0
2017-12-13,550000,10000,1110000,550000.0
2017-12-25,120000,0,250000,125000.0
2018-01-06,130000,10000,270000,130000.0
2018-01-18,50000,0,110000,55000.0
2018-01-30,40000,20000,90000,35000.0
2018-02-11,50000,0,110000,55000.0
2018-02-23,100000,0,210000,105000.0
2018-03-07,30000,10000,70000,30000.0
2018-03-19,40000,20000,90000,35000.0
2018-03-31,30000,10000,70000,30000.0
2018-04-12,20000,0,50000,25000.0
2018-04-24,60000,10000,120000,55000.0
2018-05-06,1910000,20000,3820000,1900000.0
2018-05-18,78940000,74320000,83540000,4610000.0
2018-05-30,85390000,79780000,91010000,5615000.0
2018-06-11,113380000,108320000,118440000,5060000.0
2018-06-23,120740000,118500000,122990000,2245000.0
2018-07-05,131250000,127450000,135070000,3810000.0
2018-07-17,123500000,119630000,127360000,3865000.0
2018-07-29,137910000,134400000,141410000,3505000.0
2018-08-10,135530000,132340000,138720000,3190000.0
2018-08-22,132460000,129990000,134940000,2475000.0
2018-09-03,127680000,124480000,130890000,3205000.0
2018-09-15,126010000,123040000,128960000,2960000.0
2018-09-27,47190000,560000,93840000,46640000.0
2018-10-09,29900000,40000,59810000,29885000.0
2018-10-21,19060000,50000,38110000,19030000.0
2018-11-02,8210000,90000,16410000,8160000.0
2018-11-14,4070000,10000,8150000,4070000.0
2018-11-26,1580000,0,3170000,1585000.0
2018-12-08,890000,10000,1790000,890000.0
2018-12-20,350000,0,710000,355000.0
2019-01-01,190000,0,390000,195000.0
2019-01-13,110000,10000,220000,105000.0
2019-01-25,60000,0,130000,65000.0
2019-02-06,40000,20000,90000,35000.0
2019-02-18,40000,20000,90000,35000.0
2019-03-02,30000,10000,70000,30000.0
2019-03-14,10000,0,30000,15000.0
2019-03-26,40000,20000,90000,35000.0
2019-04-07,40000,20000,90000,35000.0
2019-04-19,120000,0,250000,125000.0
2019-05-01,1710000,10000,3430000,1710000.0
2019-05-13,13910000,30000,27820000,13895000.0
2019-05-25,111420000,105680000,117160000,5740000.0
2019-06-06,116880000,113350000,120430000,3540000.0
2019-06-18,124180000,120570000,127790000,3610000.0
2019-06-30,143990000,141450000,146510000,2530000.0
2019-07-12,144370000,141660000,147080000,2710000.0
2019-07-24,144330000,141320000,147340000,3010000.0
2019-08-05,144400000,142280000,146530000,2125000.0
2019-08-17,142330000,139450000,145210000,2880000.0
2019-08-29,126620000,119030000,134210000,7590000.0
2019-09-10,129380000,125270000,133490000,4110000.0
2019-09-22,119580000,113760000,125380000,5810000.0
2019-10-04,111820000,104350000,119270000,7460000.0
2019-10-16,19790000,90000,39570000,19740000.0
2019-10-28,104100000,98300000,109900000,5800000.0
2019-11-09,4660000,40000,9330000,4645000.0
2019-11-21,2450000,70000,4910000,2420000.0
2019-12-03,1250000,10000,2510000,1250000.0
2019-12-15,670000,20000,1350000,665000.0
2019-12-27,450000,0,910000,455000.0
2020-01-08,220000,10000,440000,215000.0
2020-01-20,270000,30000,550000,260000.0
2020-02-01,200000,10000,410000,200000.0
2020-02-13,110000,0,230000,115000.0
2020-02-25,50000,0,110000,55000.0
2020-03-08,130000,10000,270000,130000.0
2020-03-20,20000,0,50000,25000.0
2020-04-01,30000,10000,70000,30000.0
2020-04-13,5590000,4090000,7050000,1480000.0
2020-04-25,44840000,40010000,49700000,4845000.0
2020-05-07,22180000,4410000,39950000,17770000.0
2020-05-19,103050000,95580000,110510000,7465000.0
