,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,48980000,45310000,64220000,9455000.0
2017-06-16,57280000,54010000,74160000,10075000.0
2017-06-28,57660000,54920000,62990000,4035000.0
2017-07-10,61290000,57690000,67850000,5080000.0
2017-07-22,69400000,62580000,77680000,7550000.0
2017-08-03,72350000,65320000,82670000,8675000.0
2017-08-15,64220000,59300000,73780000,7240000.0
2017-08-27,63040000,58880000,80840000,10980000.0
2017-09-08,71530000,64660000,103060000,19200000.0
2017-09-20,220000,210000,220000,5000.0
2017-10-02,40000,30000,50000,10000.0
2017-10-14,70000,50000,2030000,990000.0
2017-10-26,0,0,10000,5000.0
2017-11-07,0,0,0,0.0
2017-11-19,0,0,10000,5000.0
2017-12-01,0,0,0,0.0
2017-12-13,0,0,0,0.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,0,0.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,10000,5000.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,10000,5000.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,0,0,0,0.0
2018-05-06,0,0,10000,5000.0
2018-05-18,26190000,23330000,41380000,9025000.0
2018-05-30,38660000,34600000,52010000,8705000.0
2018-06-11,44870000,41110000,57940000,8415000.0
2018-06-23,55800000,53160000,64930000,5885000.0
2018-07-05,62370000,58130000,69400000,5635000.0
2018-07-17,62490000,58750000,70710000,5980000.0
2018-07-29,70060000,64260000,78060000,6900000.0
2018-08-10,66740000,62210000,74330000,6060000.0
2018-08-22,69450000,64440000,77790000,6675000.0
2018-09-03,75980000,66210000,95850000,14820000.0
2018-09-15,87980000,81550000,112600000,15525000.0
2018-09-27,540000,530000,540000,5000.0
2018-10-09,0,0,10000,5000.0
2018-10-21,30000,20000,30000,5000.0
2018-11-02,30000,20000,40000,10000.0
2018-11-14,0,0,0,0.0
2018-11-26,0,0,0,0.0
2018-12-08,0,0,0,0.0
2018-12-20,0,0,0,0.0
2019-01-01,0,0,0,0.0
2019-01-13,0,0,0,0.0
2019-01-25,0,0,0,0.0
2019-02-06,10000,10000,10000,0.0
2019-02-18,10000,10000,10000,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,10000,5000.0
2019-04-07,10000,10000,10000,0.0
2019-04-19,0,0,0,0.0
2019-05-01,0,0,0,0.0
2019-05-13,0,0,10000,5000.0
2019-05-25,48710000,45900000,72140000,13120000.0
2019-06-06,53440000,50480000,69640000,9580000.0
2019-06-18,53360000,51250000,61510000,5130000.0
2019-06-30,69730000,64150000,79070000,7460000.0
2019-07-12,75140000,66870000,84140000,8635000.0
2019-07-24,67540000,62020000,75990000,6985000.0
2019-08-05,76980000,69680000,86630000,8475000.0
2019-08-17,70030000,64310000,78900000,7295000.0
2019-08-29,74210000,67340000,111070000,21865000.0
2019-09-10,85990000,72570000,115980000,21705000.0
2019-09-22,54060000,47530000,83830000,18150000.0
2019-10-04,62640000,61510000,99840000,19165000.0
2019-10-16,40000,30000,50000,10000.0
2019-10-28,42330000,21600000,72200000,25300000.0
2019-11-09,10000,10000,10000,0.0
2019-11-21,40000,30000,50000,10000.0
2019-12-03,0,0,0,0.0
2019-12-15,10000,10000,10000,0.0
2019-12-27,0,0,0,0.0
2020-01-08,0,0,0,0.0
2020-01-20,10000,10000,10000,0.0
2020-02-01,0,0,0,0.0
2020-02-13,0,0,0,0.0
2020-02-25,0,0,0,0.0
2020-03-08,0,0,0,0.0
2020-03-20,0,0,0,0.0
2020-04-01,0,0,0,0.0
2020-04-13,70000,40000,1290000,625000.0
2020-04-25,11370000,8440000,15410000,3485000.0
2020-05-07,4380000,4360000,4380000,10000.0
2020-05-19,32730000,29400000,50210000,10405000.0
2020-05-31,39390000,35520000,51930000,8205000.0
2020-06-12,49610000,46950000,62580000,7815000.0
2020-06-24,52840000,50400000,61280000,5440000.0
2020-07-06,57650000,55420000,65900000,5240000.0
2020-07-18,63000000,59310000,70780000,5735000.0
2020-07-30,67910000,62800000,75090000,6145000.0
2020-08-11,66450000,61880000,74890000,6505000.0
2020-08-23,65400000,61660000,75920000,7130000.0
2020-09-04,58630000,54690000,72390000,8850000.0
2020-09-16,77320000,72930000,106320000,16695000.0
2020-09-28,65080000,53500000,95060000,20780000.0
2020-10-10,220000,210000,220000,5000.0
2020-10-22,0,0,10000,5000.0
2020-11-03,50000,50000,50000,0.0
2020-11-15,50000,50000,50000,0.0
2020-11-27,0,0,0,0.0
2020-12-09,10000,10000,10000,0.0
2020-12-21,0,0,0,0.0
2021-01-02,0,0,0,0.0
2021-01-14,0,0,0,0.0
2021-01-26,0,0,0,0.0
2021-02-07,0,0,0,0.0
2021-02-19,0,0,0,0.0
2021-03-03,10000,10000,10000,0.0
2021-03-15,0,0,0,0.0
2021-03-27,0,0,0,0.0
2021-04-08,0,0,0,0.0
2021-04-20,690000,170000,4100000,1965000.0
2021-05-02,2190000,2150000,2220000,35000.0
2021-05-14,14470000,14290000,14650000,180000.0
2021-05-26,3600000,3590000,3600000,5000.0
2021-06-07,44220000,41240000,59300000,9030000.0
2021-06-19,53820000,49970000,60620000,5325000.0
2021-07-01,58300000,54980000,66270000,5645000.0
2021-07-13,57180000,54740000,65480000,5370000.0
2021-07-25,64480000,59710000,71330000,5810000.0
2021-08-06,69550000,63130000,78400000,7635000.0
2021-08-18,62390000,58960000,71160000,6100000.0
2021-08-30,64450000,59650000,80200000,10275000.0
2021-09-11,63330000,59390000,76940000,8775000.0
2021-09-23,75070000,69650000,98180000,14265000.0
2021-10-05,110000,80000,140000,30000.0
2021-10-17,20000,0,20000,10000.0
2021-10-29,30000,20000,30000,5000.0
2021-11-10,10000,10000,10000,0.0
2021-11-22,10000,10000,10000,0.0
2021-12-16,0,0,0,0.0
2021-12-28,0,0,0,0.0
2022-01-09,0,0,0,0.0
2022-01-21,0,0,0,0.0
2022-02-02,0,0,0,0.0
2022-02-14,0,0,0,0.0
2022-02-26,0,0,0,0.0
2022-03-10,0,0,0,0.0
2022-03-22,0,0,0,0.0
2022-04-03,0,0,0,0.0
2022-04-15,0,0,0,0.0
2022-04-27,1360000,1130000,1580000,225000.0
2022-05-09,320000,30000,3200000,1585000.0
2022-05-21,15640000,9880000,21430000,5775000.0
2022-06-02,40650000,36710000,64530000,13910000.0
2022-06-14,43810000,42800000,56690000,6945000.0
2022-06-26,58590000,54480000,66060000,5790000.0
2022-07-08,61940000,57740000,70140000,6200000.0
2022-07-20,61560000,58330000,68420000,5045000.0
2022-08-01,65040000,60790000,74600000,6905000.0
2022-08-13,65880000,61170000,72590000,5710000.0
2022-08-25,64050000,59380000,74340000,7480000.0
2022-09-06,64850000,59570000,85780000,13105000.0
