,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1762.0,1739.0,1816.0,38.5
2017-06-16,1869.0,1852.0,1980.0,64.0
2017-06-28,1943.0,1919.0,2020.0,50.5
2017-07-10,1992.0,1955.0,2085.0,65.0
2017-07-22,2008.0,1959.0,2108.0,74.5
2017-08-03,2035.0,1988.0,2149.0,80.5
2017-08-15,2138.0,2022.0,2400.0,189.0
2017-08-27,2242.0,2026.0,2656.0,315.0
2017-09-08,2489.0,2448.0,2524.0,38.0
2017-09-20,1248.0,1248.0,1248.0,0.0
2017-10-02,1248.0,1248.0,1248.0,0.0
2017-10-14,1318.0,1317.0,1318.0,0.5
2017-10-26,1254.0,1254.0,1254.0,0.0
2017-11-07,1237.0,1237.0,1237.0,0.0
2017-11-19,1237.0,1237.0,1237.0,0.0
2017-12-01,1237.0,1237.0,1237.0,0.0
2017-12-13,1237.0,1237.0,1237.0,0.0
2017-12-25,1237.0,1237.0,1237.0,0.0
2018-01-06,1237.0,1237.0,1237.0,0.0
2018-01-18,1237.0,1237.0,1237.0,0.0
2018-01-30,1237.0,1237.0,1237.0,0.0
2018-02-11,1237.0,1237.0,1237.0,0.0
2018-02-23,1237.0,1237.0,1237.0,0.0
2018-03-07,1237.0,1237.0,1237.0,0.0
2018-03-19,1237.0,1237.0,1237.0,0.0
2018-03-31,1237.0,1237.0,1237.0,0.0
2018-04-12,1237.0,1237.0,1237.0,0.0
2018-04-24,1237.0,1237.0,1237.0,0.0
2018-05-06,1237.0,1237.0,1237.0,0.0
2018-05-18,1248.0,1248.0,1248.0,0.0
2018-05-30,1248.0,1248.0,1248.0,0.0
2018-06-11,1524.0,1490.0,1572.0,41.0
2018-06-23,1894.0,1859.0,1954.0,47.5
2018-07-05,1958.0,1933.0,2061.0,64.0
2018-07-17,1884.0,1873.0,1923.0,25.0
2018-07-29,2000.0,1959.0,2066.0,53.5
2018-08-10,1984.0,1952.0,2045.0,46.5
2018-08-22,2009.0,1980.0,2055.0,37.5
2018-09-03,2542.0,2395.0,2746.0,175.5
2018-09-15,2489.0,2457.0,2510.0,26.5
2018-09-27,1248.0,1248.0,1248.0,0.0
2018-10-09,1237.0,1237.0,1237.0,0.0
2018-10-21,1248.0,1248.0,1248.0,0.0
2018-11-02,1237.0,1237.0,1237.0,0.0
2018-11-14,1237.0,1237.0,1237.0,0.0
2018-11-26,1237.0,1237.0,1237.0,0.0
2018-12-08,1237.0,1237.0,1237.0,0.0
2018-12-20,1237.0,1237.0,1237.0,0.0
2019-01-01,1237.0,1237.0,1237.0,0.0
2019-01-13,1237.0,1237.0,1237.0,0.0
2019-01-25,1237.0,1237.0,1237.0,0.0
2019-02-06,1237.0,1237.0,1237.0,0.0
2019-02-18,1237.0,1237.0,1237.0,0.0
2019-03-02,1237.0,1237.0,1237.0,0.0
2019-03-14,1237.0,1237.0,1237.0,0.0
2019-03-26,1237.0,1237.0,1237.0,0.0
2019-04-07,1237.0,1237.0,1237.0,0.0
2019-04-19,1237.0,1237.0,1237.0,0.0
2019-05-01,1237.0,1237.0,1237.0,0.0
2019-05-13,1237.0,1237.0,1237.0,0.0
2019-05-25,1869.0,1823.0,1942.0,59.5
2019-06-06,1859.0,1841.0,1955.0,57.0
2019-06-18,1820.0,1808.0,1884.0,38.0
2019-06-30,1990.0,1952.0,2365.0,206.5
2019-07-12,2019.0,1977.0,2083.0,53.0
2019-07-24,2041.0,1995.0,2175.0,90.0
2019-08-05,2060.0,2007.0,2126.0,59.5
2019-08-17,2077.0,1988.0,2359.0,185.5
