Elev_m,area_m2
675,260000.0
685,560000.0
695,810000.0
705,710000.0
715,690000.0
725,310000.0
735,380000.0
745,250000.0
755,140000.0
765,140000.0
775,150000.0
785,270000.0
795,160000.0
805,180000.0
815,210000.0
825,160000.0
835,120000.0
845,200000.0
855,230000.0
865,240000.0
875,240000.0
885,380000.0
895,250000.0
905,300000.0
915,240000.0
925,320000.0
935,320000.0
945,390000.0
955,500000.0
965,870000.0
975,770000.0
985,1060000.0
995,920000.0
1005,750000.0
1015,710000.0
1025,830000.0
1035,1050000.0
1045,830000.0
1055,930000.0
1065,840000.0
1075,820000.0
1085,740000.0
1095,900000.0
1105,770000.0
1115,730000.0
1125,800000.0
1135,670000.0
1145,760000.0
1155,860000.0
1165,680000.0
1175,720000.0
1185,670000.0
1195,570000.0
1205,590000.0
1215,720000.0
1225,540000.0
1235,460000.0
1245,440000.0
1255,580000.0
1265,380000.0
1275,430000.0
1285,240000.0
1295,200000.0
1305,140000.0
1315,170000.0
1325,270000.0
1335,190000.0
1345,200000.0
1355,190000.0
1365,220000.0
1375,260000.0
1385,210000.0
1395,280000.0
1405,220000.0
1415,260000.0
1425,150000.0
1435,110000.0
1445,230000.0
1455,140000.0
1465,150000.0
1475,200000.0
1485,110000.0
1495,130000.0
1505,70000.0
1515,110000.0
1525,120000.0
1535,80000.0
1545,120000.0
1555,120000.0
1565,140000.0
1575,140000.0
1585,80000.0
1595,100000.0
1605,70000.0
1615,140000.0
1625,70000.0
1635,160000.0
1645,130000.0
1655,170000.0
1665,200000.0
1675,150000.0
1685,180000.0
1695,270000.0
1705,270000.0
1715,270000.0
1725,270000.0
1735,180000.0
1745,180000.0
1755,210000.0
1765,290000.0
1775,230000.0
1785,260000.0
1795,320000.0
1805,200000.0
1815,230000.0
1825,280000.0
1835,320000.0
1845,220000.0
1855,270000.0
1865,320000.0
1875,220000.0
1885,230000.0
1895,240000.0
1905,260000.0
1915,220000.0
1925,250000.0
1935,200000.0
1945,230000.0
1955,310000.0
1965,220000.0
1975,240000.0
1985,220000.0
1995,330000.0
2005,240000.0
2015,220000.0
2025,170000.0
2035,140000.0
2045,180000.0
2055,170000.0
2065,190000.0
2075,200000.0
2085,170000.0
2095,230000.0
2105,220000.0
2115,160000.0
2125,240000.0
2135,220000.0
2145,190000.0
2155,250000.0
2165,220000.0
2175,270000.0
2185,290000.0
2195,300000.0
2205,360000.0
2215,290000.0
2225,370000.0
2235,280000.0
2245,360000.0
2255,270000.0
2265,370000.0
2275,270000.0
2285,300000.0
2295,360000.0
2305,270000.0
2315,510000.0
2325,290000.0
2335,360000.0
2345,280000.0
2355,390000.0
2365,370000.0
2375,360000.0
2385,360000.0
2395,340000.0
2405,360000.0
2415,390000.0
2425,310000.0
2435,390000.0
2445,330000.0
2455,410000.0
2465,370000.0
2475,380000.0
2485,440000.0
2495,430000.0
2505,480000.0
2515,370000.0
2525,420000.0
2535,420000.0
2545,460000.0
2555,410000.0
2565,400000.0
2575,430000.0
2585,470000.0
2595,400000.0
2605,400000.0
2615,310000.0
2625,450000.0
2635,450000.0
2645,420000.0
2655,490000.0
2665,380000.0
2675,400000.0
2685,470000.0
2695,450000.0
2705,350000.0
2715,450000.0
2725,320000.0
2735,460000.0
2745,430000.0
2755,400000.0
2765,400000.0
2775,400000.0
2785,380000.0
2795,380000.0
2805,410000.0
2815,290000.0
2825,430000.0
2835,270000.0
2845,270000.0
2855,300000.0
2865,230000.0
2875,290000.0
2885,290000.0
2895,240000.0
2905,330000.0
2915,250000.0
2925,270000.0
2935,220000.0
2945,140000.0
2955,250000.0
2965,260000.0
2975,200000.0
2985,250000.0
2995,280000.0
3005,250000.0
3015,250000.0
3025,230000.0
3035,230000.0
3045,170000.0
3055,320000.0
3065,210000.0
3075,250000.0
3085,240000.0
3095,220000.0
3105,230000.0
3115,210000.0
3125,250000.0
3135,290000.0
3145,160000.0
3155,230000.0
3165,190000.0
3175,240000.0
3185,190000.0
3195,230000.0
3205,190000.0
3215,190000.0
3225,190000.0
3235,190000.0
3245,240000.0
3255,180000.0
3265,160000.0
3275,210000.0
3285,180000.0
3295,120000.0
3305,150000.0
3315,270000.0
3325,170000.0
3335,150000.0
3345,200000.0
3355,270000.0
3365,230000.0
3375,190000.0
3385,230000.0
3395,210000.0
3405,190000.0
3415,290000.0
3425,210000.0
3435,270000.0
3445,240000.0
3455,350000.0
3465,220000.0
3475,280000.0
3485,300000.0
3495,290000.0
3505,330000.0
3515,240000.0
3525,230000.0
3535,210000.0
3545,180000.0
3555,160000.0
3565,200000.0
3575,130000.0
3585,140000.0
3595,120000.0
3605,170000.0
3615,180000.0
3625,110000.0
3635,190000.0
3645,130000.0
3655,100000.0
3665,170000.0
3675,140000.0
3685,110000.0
3695,150000.0
3705,150000.0
3715,130000.0
3725,150000.0
3735,190000.0
3745,110000.0
3755,150000.0
3765,150000.0
3775,120000.0
3785,120000.0
3795,140000.0
3805,140000.0
3815,100000.0
3825,90000.0
3835,100000.0
3845,60000.0
3855,140000.0
3865,40000.0
3875,120000.0
3885,70000.0
3895,80000.0
3905,90000.0
3915,40000.0
3925,90000.0
3935,30000.0
3945,80000.0
3955,20000.0
3965,20000.0
3975,0.0
3985,0.0
3995,10000.0
4005,10000.0
4015,0.0
4025,10000.0
4035,0.0
4045,0.0
4055,0.0
4065,0.0
4075,10000.0
4085,10000.0
