,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2843.0,2662.0,3011.0,174.5
2017-06-16,3078.0,2976.0,3142.0,83.0
2017-06-28,3139.0,3102.0,3190.0,44.0
2017-07-10,3437.0,3374.0,3477.0,51.5
2017-07-22,3440.0,3374.0,3485.0,55.5
2017-08-03,3345.0,3242.0,3421.0,89.5
2017-08-15,3387.0,3345.0,3420.0,37.5
2017-08-27,3269.0,3208.0,3349.0,70.5
2017-09-08,3180.0,3127.0,3269.0,71.0
2017-09-20,3087.0,2890.0,3208.0,159.0
2017-10-02,2873.0,2531.0,3127.0,298.0
2017-10-14,2496.0,2252.0,2873.0,310.5
2017-10-26,2123.0,1729.0,2391.0,331.0
2017-11-07,1895.0,1574.0,2087.0,256.5
2017-11-19,1009.0,859.0,1064.0,102.5
2017-12-01,978.0,848.0,1032.0,92.0
2017-12-13,942.0,859.0,977.0,59.0
2017-12-25,917.0,848.0,947.0,49.5
2018-01-06,911.0,848.0,936.0,44.0
2018-01-18,897.0,859.0,914.0,27.5
2018-01-30,911.0,865.0,938.0,36.5
2018-02-11,900.0,859.0,922.0,31.5
2018-02-23,935.0,848.0,966.0,59.0
2018-03-07,960.0,848.0,999.0,75.5
2018-03-19,962.0,865.0,1000.0,67.5
2018-03-31,962.0,875.0,1009.0,67.0
2018-04-12,970.0,848.0,1019.0,85.5
2018-04-24,991.0,897.0,1042.0,72.5
2018-05-06,1156.0,1114.0,1213.0,49.5
2018-05-18,2106.0,1957.0,2236.0,139.5
2018-05-30,2247.0,2073.0,2435.0,181.0
2018-06-11,3024.0,2732.0,3143.0,205.5
2018-06-23,3123.0,2963.0,3354.0,195.5
2018-07-05,3510.0,3421.0,3596.0,87.5
2018-07-17,3339.0,3114.0,3514.0,200.0
2018-07-29,3617.0,3564.0,3726.0,81.0
2018-08-10,3523.0,3507.0,3558.0,25.5
2018-08-22,3635.0,3586.0,3717.0,65.5
2018-09-03,3453.0,3416.0,3483.0,33.5
2018-09-15,3303.0,3204.0,3408.0,102.0
2018-09-27,3137.0,3042.0,3295.0,126.5
2018-10-09,3025.0,2619.0,3213.0,297.0
2018-10-21,2471.0,2124.0,3014.0,445.0
2018-11-02,2296.0,1933.0,2647.0,357.0
2018-11-14,2087.0,1634.0,2363.0,364.5
2018-11-26,1057.0,872.0,1143.0,135.5
2018-12-08,986.0,865.0,1040.0,87.5
2018-12-20,959.0,859.0,997.0,69.0
2019-01-01,899.0,848.0,917.0,34.5
2019-01-13,873.0,848.0,884.0,18.0
2019-01-25,902.0,859.0,922.0,31.5
2019-02-06,876.0,848.0,896.0,24.0
2019-02-18,867.0,848.0,876.0,14.0
2019-03-02,876.0,848.0,896.0,24.0
2019-03-14,867.0,848.0,876.0,14.0
