,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1613.0,1574.0,1890.0,158.0
2017-06-16,1841.0,1768.0,2074.0,153.0
2017-06-28,1756.0,1709.0,1821.0,56.0
2017-07-10,1841.0,1808.0,1870.0,31.0
2017-07-22,1953.0,1899.0,2018.0,59.5
2017-08-03,1977.0,1913.0,2045.0,66.0
2017-08-15,1913.0,1838.0,1989.0,75.5
2017-08-27,1860.0,1801.0,1967.0,83.0
2017-09-08,2110.0,2026.0,2178.0,76.0
2017-09-20,2040.0,1997.0,2093.0,48.0
2017-10-02,2245.0,2206.0,3003.0,398.5
2017-10-14,1662.0,1649.0,1697.0,24.0
2017-10-26,1801.0,1800.0,2931.0,565.5
2017-11-07,1431.0,1431.0,1431.0,0.0
2017-11-19,1797.0,1794.0,3269.0,737.5
2017-12-01,1420.0,1420.0,1420.0,0.0
2017-12-13,1420.0,1420.0,1420.0,0.0
2017-12-25,1420.0,1420.0,1420.0,0.0
2018-01-06,1420.0,1420.0,1420.0,0.0
2018-01-18,1420.0,1420.0,1420.0,0.0
2018-01-30,1420.0,1420.0,1420.0,0.0
2018-02-11,1420.0,1420.0,1420.0,0.0
2018-02-23,1420.0,1420.0,1420.0,0.0
2018-03-07,1420.0,1420.0,1420.0,0.0
2018-03-19,1420.0,1420.0,1420.0,0.0
2018-03-31,1420.0,1420.0,1420.0,0.0
2018-04-12,1420.0,1420.0,1420.0,0.0
2018-04-24,1420.0,1420.0,1420.0,0.0
2018-05-06,1420.0,1420.0,1420.0,0.0
2018-05-18,1574.0,1424.0,1806.0,191.0
2018-05-30,1431.0,1420.0,1768.0,174.0
2018-06-11,1510.0,1504.0,1837.0,166.5
2018-06-23,1720.0,1672.0,1868.0,98.0
2018-07-05,1835.0,1800.0,1886.0,43.0
2018-07-17,1860.0,1842.0,2003.0,80.5
2018-07-29,2000.0,1977.0,2031.0,27.0
2018-08-10,2018.0,1989.0,2088.0,49.5
2018-08-22,1980.0,1915.0,2065.0,75.0
2018-09-03,2068.0,2022.0,2120.0,49.0
2018-09-15,2113.0,2100.0,2637.0,268.5
2018-09-27,1989.0,1986.0,1993.0,3.5
2018-10-09,2369.0,2348.0,3197.0,424.5
2018-10-21,2173.0,2172.0,3150.0,489.0
2018-11-02,2293.0,2293.0,2918.0,312.5
2018-11-14,1637.0,1637.0,3011.0,687.0
2018-11-26,1637.0,1637.0,3182.0,772.5
2018-12-08,1420.0,1420.0,1420.0,0.0
2018-12-20,1420.0,1420.0,1420.0,0.0
2019-01-01,1420.0,1420.0,1420.0,0.0
2019-01-13,1420.0,1420.0,1420.0,0.0
2019-01-25,1420.0,1420.0,1420.0,0.0
2019-02-06,1420.0,1420.0,1420.0,0.0
2019-02-18,1420.0,1420.0,1420.0,0.0
2019-03-02,1420.0,1420.0,1420.0,0.0
2019-03-14,1420.0,1420.0,1420.0,0.0
2019-03-26,1420.0,1420.0,1420.0,0.0
2019-04-07,1420.0,1420.0,1420.0,0.0
2019-04-19,1483.0,1483.0,1483.0,0.0
2019-05-01,1469.0,1440.0,1504.0,32.0
2019-05-13,1573.0,1493.0,1678.0,92.5
2019-05-25,1573.0,1539.0,2004.0,232.5
2019-06-06,1666.0,1623.0,1866.0,121.5
2019-06-18,1733.0,1707.0,1869.0,81.0
2019-06-30,2000.0,1966.0,2079.0,56.5
2019-07-12,2047.0,1999.0,2100.0,50.5
