,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,24880000,24420000,25340000,460000.0
2017-06-16,26030000,25610000,26460000,425000.0
2017-06-28,27370000,27330000,27410000,40000.0
2017-07-10,27570000,27470000,27670000,100000.0
2017-07-22,27740000,27650000,27830000,90000.0
2017-08-03,27710000,27520000,27900000,190000.0
2017-08-15,27670000,27510000,27830000,160000.0
2017-08-27,27560000,27370000,27750000,190000.0
2017-09-08,27380000,27160000,27600000,220000.0
2017-09-20,27190000,26920000,27460000,270000.0
2017-10-02,26700000,26100000,27300000,600000.0
2017-10-14,11160000,1400000,20930000,9765000.0
2017-10-26,25710000,25230000,26190000,480000.0
2017-11-07,1640000,30000,3280000,1625000.0
2017-11-19,26990000,26990000,27000000,5000.0
2017-12-01,180000,10000,370000,180000.0
2017-12-13,20000,0,50000,25000.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,10000,5000.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,0,0,0,0.0
2018-05-06,0,0,0,0.0
2018-05-18,7500000,7040000,7990000,475000.0
2018-05-30,11680000,11070000,12330000,630000.0
2018-06-11,25490000,25190000,25790000,300000.0
2018-06-23,24520000,24170000,24870000,350000.0
2018-07-05,27460000,27380000,27550000,85000.0
2018-07-17,26790000,26650000,26920000,135000.0
2018-07-29,27840000,27800000,27880000,40000.0
2018-08-10,26790000,25670000,27900000,1115000.0
2018-08-22,27780000,27770000,27790000,10000.0
2018-09-03,27540000,27500000,27580000,40000.0
2018-09-15,27270000,27110000,27430000,160000.0
2018-09-27,27140000,27040000,27230000,95000.0
2018-10-09,27040000,26980000,27100000,60000.0
2018-10-21,26830000,26630000,27030000,200000.0
2018-11-02,25940000,25130000,26740000,805000.0
2018-11-14,26270000,25890000,26650000,380000.0
2018-11-26,26740000,26720000,26770000,25000.0
2018-12-08,640000,10000,1290000,640000.0
2018-12-20,140000,0,290000,145000.0
2019-01-01,10000,0,30000,15000.0
2019-01-13,0,0,10000,5000.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,0,0.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,0,0.0
2019-04-07,0,0,0,0.0
2019-04-19,140000,130000,150000,10000.0
2019-05-01,410000,180000,650000,235000.0
2019-05-13,4160000,3820000,4490000,335000.0
2019-05-25,23410000,22850000,23970000,560000.0
2019-06-06,24040000,23690000,24390000,350000.0
2019-06-18,26560000,26410000,26710000,150000.0
2019-06-30,27850000,27810000,27890000,40000.0
2019-07-12,27850000,27780000,27920000,70000.0
2019-07-24,27780000,27640000,27920000,140000.0
2019-08-05,27640000,27360000,27920000,280000.0
2019-08-17,27670000,27420000,27920000,250000.0
2019-08-29,27840000,27780000,27900000,60000.0
2019-09-10,27680000,27510000,27850000,170000.0
2019-09-22,26480000,25410000,27550000,1070000.0
2019-10-04,22900000,20490000,25310000,2410000.0
2019-10-16,6530000,1520000,11550000,5015000.0
2019-10-28,19610000,18850000,20380000,765000.0
2019-11-09,700000,170000,1240000,535000.0
2019-11-21,210000,10000,420000,205000.0
2019-12-03,40000,0,90000,45000.0
2019-12-15,0,0,0,0.0
2019-12-27,0,0,10000,5000.0
2020-01-08,0,0,10000,5000.0
2020-01-20,20000,0,50000,25000.0
2020-02-01,0,0,0,0.0
2020-02-13,0,0,0,0.0
2020-02-25,0,0,0,0.0
2020-03-08,0,0,10000,5000.0
2020-03-20,0,0,0,0.0
2020-04-01,0,0,0,0.0
2020-04-13,0,0,0,0.0
2020-04-25,4840000,4660000,5050000,195000.0
2020-05-07,1270000,780000,1780000,500000.0
2020-05-19,20980000,20070000,21900000,915000.0
2020-05-31,23380000,23030000,23740000,355000.0
2020-06-12,24540000,24200000,24880000,340000.0
2020-06-24,26130000,25920000,26350000,215000.0
2020-07-06,27370000,27290000,27460000,85000.0
2020-07-18,27010000,26910000,27120000,105000.0
2020-07-30,27590000,27440000,27740000,150000.0
2020-08-11,27000000,26930000,27070000,70000.0
2020-08-23,26760000,26610000,26910000,150000.0
2020-09-04,26690000,26600000,26780000,90000.0
2020-09-16,26470000,26290000,26650000,180000.0
2020-09-28,26170000,25880000,26480000,300000.0
2020-10-10,25520000,24990000,26050000,530000.0
2020-10-22,25280000,24920000,25650000,365000.0
2020-11-03,24540000,23910000,25160000,625000.0
2020-11-15,23620000,22770000,24470000,850000.0
2020-11-27,22390000,21430000,23360000,965000.0
2020-12-09,3970000,50000,7930000,3940000.0
