,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,10070000,9310000,12390000,1540000.0
2017-06-16,12350000,12220000,16500000,2140000.0
2017-06-28,14300000,13490000,17850000,2180000.0
2017-07-10,15450000,14190000,18210000,2010000.0
2017-07-22,16990000,15660000,18600000,1470000.0
2017-08-03,18190000,17010000,19600000,1295000.0
2017-08-15,15610000,13900000,19850000,2975000.0
2017-08-27,9540000,8130000,14440000,3155000.0
2017-09-08,16940000,16380000,22870000,3245000.0
2017-09-20,19760000,19310000,21730000,1210000.0
2017-10-02,20070000,19920000,20910000,495000.0
2017-10-14,140000,140000,140000,0.0
2017-10-26,30000,30000,30000,0.0
2017-11-07,0,0,0,0.0
2017-11-19,0,0,0,0.0
2017-12-01,0,0,0,0.0
2017-12-13,0,0,0,0.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,0,0.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,0,0,0,0.0
2018-05-06,0,0,0,0.0
2018-05-18,60000,60000,60000,0.0
2018-05-30,7680000,7150000,9020000,935000.0
2018-06-11,4900000,2820000,8580000,2880000.0
2018-06-23,12000000,11100000,14220000,1560000.0
2018-07-05,14810000,13820000,17380000,1780000.0
2018-07-17,11760000,11100000,14410000,1655000.0
2018-07-29,16780000,15740000,18190000,1225000.0
2018-08-10,16080000,14960000,17470000,1255000.0
2018-08-22,17440000,16070000,19110000,1520000.0
2018-09-03,19150000,18480000,23620000,2570000.0
2018-09-15,19740000,19550000,22890000,1670000.0
2018-09-27,20140000,19980000,21570000,795000.0
2018-10-09,0,0,0,0.0
2018-10-21,0,0,0,0.0
2018-11-02,0,0,0,0.0
2018-11-14,0,0,0,0.0
2018-11-26,0,0,0,0.0
2018-12-08,0,0,0,0.0
2018-12-20,0,0,0,0.0
2019-01-01,0,0,0,0.0
2019-01-13,0,0,0,0.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,0,0.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,0,0.0
2019-04-07,0,0,0,0.0
2019-04-19,0,0,0,0.0
2019-05-01,0,0,0,0.0
2019-05-13,0,0,0,0.0
2019-05-25,9710000,9220000,12720000,1750000.0
2019-06-06,11750000,11440000,13840000,1200000.0
2019-06-18,12290000,11270000,15450000,2090000.0
2019-06-30,16880000,15900000,18070000,1085000.0
2019-07-12,16160000,14220000,18500000,2140000.0
2019-07-24,16670000,14540000,19020000,2240000.0
2019-08-05,17430000,15860000,19230000,1685000.0
2019-08-17,9210000,6510000,12430000,2960000.0
2019-08-29,130000,130000,24210000,12040000.0
2019-09-10,19420000,18920000,22990000,2035000.0
2019-09-22,130000,130000,8640000,4255000.0
