,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1711.0,1671.0,1838.0,83.5
2017-06-16,1835.0,1828.0,2042.0,107.0
2017-06-28,1920.0,1880.0,2144.0,132.0
2017-07-10,1980.0,1914.0,2168.0,127.0
2017-07-22,2083.0,1994.0,2199.0,102.5
2017-08-03,2168.0,2085.0,2291.0,103.0
2017-08-15,1991.0,1901.0,2315.0,207.0
2017-08-27,1685.0,1578.0,1925.0,173.5
2017-09-08,2078.0,2031.0,2790.0,379.5
2017-09-20,2305.0,2259.0,2629.0,185.0
2017-10-02,2343.0,2326.0,2494.0,84.0
2017-10-14,1099.0,1099.0,1099.0,0.0
2017-10-26,1093.0,1093.0,1093.0,0.0
2017-11-07,1093.0,1093.0,1093.0,0.0
2017-11-19,1093.0,1093.0,1093.0,0.0
2017-12-01,1093.0,1093.0,1093.0,0.0
2017-12-13,1093.0,1093.0,1093.0,0.0
2017-12-25,1093.0,1093.0,1093.0,0.0
2018-01-06,1093.0,1093.0,1093.0,0.0
2018-01-18,1093.0,1093.0,1093.0,0.0
2018-01-30,1093.0,1093.0,1093.0,0.0
2018-02-11,1093.0,1093.0,1093.0,0.0
2018-02-23,1093.0,1093.0,1093.0,0.0
2018-03-07,1093.0,1093.0,1093.0,0.0
2018-03-19,1093.0,1093.0,1093.0,0.0
2018-03-31,1093.0,1093.0,1093.0,0.0
2018-04-12,1093.0,1093.0,1093.0,0.0
2018-04-24,1093.0,1093.0,1093.0,0.0
2018-05-06,1093.0,1093.0,1093.0,0.0
2018-05-18,1094.0,1094.0,1094.0,0.0
2018-05-30,1540.0,1491.0,1651.0,80.0
2018-06-11,1365.0,1241.0,1619.0,189.0
2018-06-23,1818.0,1768.0,1917.0,74.5
2018-07-05,1946.0,1892.0,2111.0,109.5
2018-07-17,1805.0,1768.0,1924.0,78.0
2018-07-29,2065.0,1996.0,2168.0,86.0
2018-08-10,2012.0,1953.0,2116.0,81.5
2018-08-22,2115.0,2012.0,2241.0,114.5
2018-09-03,2246.0,2191.0,2898.0,353.5
2018-09-15,2302.0,2282.0,2795.0,256.5
2018-09-27,2349.0,2331.0,2608.0,138.5
2018-10-09,1093.0,1093.0,1093.0,0.0
2018-10-21,1093.0,1093.0,1093.0,0.0
2018-11-02,1093.0,1093.0,1093.0,0.0
2018-11-14,1093.0,1093.0,1093.0,0.0
2018-11-26,1093.0,1093.0,1093.0,0.0
2018-12-08,1093.0,1093.0,1093.0,0.0
2018-12-20,1093.0,1093.0,1093.0,0.0
2019-01-01,1093.0,1093.0,1093.0,0.0
2019-01-13,1093.0,1093.0,1093.0,0.0
2019-01-25,1093.0,1093.0,1093.0,0.0
2019-02-06,1093.0,1093.0,1093.0,0.0
2019-02-18,1093.0,1093.0,1093.0,0.0
2019-03-02,1093.0,1093.0,1093.0,0.0
2019-03-14,1093.0,1093.0,1093.0,0.0
2019-03-26,1093.0,1093.0,1093.0,0.0
2019-04-07,1093.0,1093.0,1093.0,0.0
2019-04-19,1093.0,1093.0,1093.0,0.0
2019-05-01,1093.0,1093.0,1093.0,0.0
2019-05-13,1093.0,1093.0,1093.0,0.0
2019-05-25,1693.0,1664.0,1853.0,94.5
2019-06-06,1805.0,1789.0,1893.0,52.0
2019-06-18,1831.0,1776.0,1980.0,102.0
2019-06-30,2073.0,2004.0,2157.0,76.5
2019-07-12,2019.0,1917.0,2192.0,137.5
2019-07-24,2054.0,1932.0,2237.0,152.5
2019-08-05,2114.0,2001.0,2251.0,125.0
2019-08-17,1663.0,1449.0,1839.0,195.0
2019-08-29,1098.0,1098.0,2991.0,946.5
2019-09-10,2268.0,2227.0,2806.0,289.5
2019-09-22,1098.0,1098.0,1625.0,263.5
2019-10-04,1093.0,1093.0,1093.0,0.0
2019-10-16,1093.0,1093.0,1093.0,0.0
2019-10-28,1404.0,1371.0,1719.0,174.0
2019-11-09,1093.0,1093.0,1093.0,0.0
2019-11-21,1093.0,1093.0,1093.0,0.0
2019-12-03,1093.0,1093.0,1093.0,0.0
2019-12-15,1093.0,1093.0,1093.0,0.0
2019-12-27,1093.0,1093.0,1093.0,0.0
2020-01-08,1093.0,1093.0,1093.0,0.0
2020-01-20,1093.0,1093.0,1093.0,0.0
2020-02-01,1093.0,1093.0,1093.0,0.0
2020-02-13,1093.0,1093.0,1093.0,0.0
2020-02-25,1093.0,1093.0,1093.0,0.0
2020-03-08,1093.0,1093.0,1093.0,0.0
2020-03-20,1093.0,1093.0,1093.0,0.0
2020-04-01,1093.0,1093.0,1093.0,0.0
2020-04-13,1093.0,1093.0,1093.0,0.0
2020-04-25,1132.0,1121.0,1179.0,29.0
2020-05-07,1098.0,1098.0,1098.0,0.0
2020-05-19,1453.0,1369.0,1635.0,133.0
2020-05-31,1569.0,1474.0,1737.0,131.5
2020-06-12,1697.0,1677.0,1807.0,65.0
2020-06-24,1704.0,1651.0,1835.0,92.0
2020-07-06,1869.0,1834.0,1951.0,58.5
2020-07-18,1944.0,1906.0,2019.0,56.5
2020-07-30,1994.0,1954.0,2080.0,63.0
2020-08-11,1913.0,1840.0,2049.0,104.5
2020-08-23,2057.0,2013.0,2202.0,94.5
2020-09-04,1972.0,1917.0,2270.0,176.5
2020-09-16,1098.0,1098.0,2506.0,704.0
2020-09-28,1098.0,1098.0,2599.0,750.5
2020-10-10,1099.0,1099.0,2488.0,694.5
2020-10-22,1093.0,1093.0,2436.0,671.5
2020-11-03,1093.0,1093.0,1093.0,0.0
2020-11-15,1093.0,1093.0,1093.0,0.0
2020-11-27,1093.0,1093.0,1093.0,0.0
2020-12-09,1093.0,1093.0,1093.0,0.0
2020-12-21,1093.0,1093.0,1093.0,0.0
2021-01-02,1093.0,1093.0,1093.0,0.0
2021-01-14,1093.0,1093.0,1093.0,0.0
2021-01-26,1093.0,1093.0,1093.0,0.0
2021-02-07,1093.0,1093.0,1093.0,0.0
2021-02-19,1093.0,1093.0,1093.0,0.0
2021-03-03,1093.0,1093.0,1093.0,0.0
2021-03-15,1093.0,1093.0,1093.0,0.0
2021-03-27,1093.0,1093.0,1093.0,0.0
2021-04-08,1093.0,1093.0,1093.0,0.0
2021-04-20,1093.0,1093.0,1093.0,0.0
2021-05-02,1093.0,1093.0,1093.0,0.0
2021-05-14,1093.0,1093.0,1093.0,0.0
2021-05-26,1631.0,1559.0,1707.0,74.0
2021-06-07,1641.0,1592.0,1761.0,84.5
2021-06-19,1747.0,1703.0,1859.0,78.0
2021-07-01,1912.0,1877.0,2034.0,78.5
2021-07-13,1856.0,1806.0,1962.0,78.0
2021-07-25,1932.0,1859.0,2088.0,114.5
2021-08-06,2024.0,1932.0,2152.0,110.0
2021-08-18,1792.0,1711.0,1956.0,122.5
2021-08-30,1919.0,1882.0,2234.0,176.0
2021-09-11,1754.0,1645.0,2082.0,218.5
2021-09-23,1098.0,1098.0,2581.0,741.5
2021-10-05,1098.0,1098.0,2518.0,710.0
2021-10-17,1093.0,1093.0,1093.0,0.0
2021-10-29,1093.0,1093.0,1093.0,0.0
2021-11-10,1093.0,1093.0,1093.0,0.0
2021-11-22,1093.0,1093.0,1093.0,0.0
2021-12-16,1093.0,1093.0,1093.0,0.0
2021-12-28,1093.0,1093.0,1093.0,0.0
