,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2640.0,2503.0,2768.0,132.5
2017-06-16,3066.0,2956.0,3173.0,108.5
2017-06-28,3497.0,3391.0,3594.0,101.5
2017-07-10,3502.0,3386.0,3623.0,118.5
2017-07-22,3690.0,3581.0,3794.0,106.5
2017-08-03,3687.0,3579.0,3786.0,103.5
2017-08-15,3568.0,3428.0,3688.0,130.0
2017-08-27,3215.0,3047.0,3419.0,186.0
2017-09-08,2991.0,2857.0,3138.0,140.5
2017-09-20,2773.0,2633.0,2917.0,142.0
2017-10-02,2614.0,2500.0,2716.0,108.0
2017-10-14,1171.0,1100.0,1276.0,88.0
2017-10-26,1118.0,1094.0,1135.0,20.5
2017-11-07,1102.0,1093.0,1114.0,10.5
2017-11-19,1100.0,1093.0,1111.0,9.0
2017-12-01,1093.0,1093.0,1095.0,1.0
2017-12-13,1094.0,1093.0,1098.0,2.5
2017-12-25,1094.0,1093.0,1098.0,2.5
2018-01-06,1094.0,1093.0,1098.0,2.5
2018-01-18,1093.0,1093.0,1094.0,0.5
2018-01-30,1093.0,1093.0,1094.0,0.5
2018-02-11,1093.0,1093.0,1093.0,0.0
2018-02-23,1094.0,1093.0,1098.0,2.5
2018-03-07,1094.0,1093.0,1096.0,1.5
2018-03-19,1093.0,1093.0,1093.0,0.0
2018-03-31,1093.0,1093.0,1093.0,0.0
2018-04-12,1093.0,1093.0,1094.0,0.5
2018-04-24,1093.0,1093.0,1093.0,0.0
2018-05-06,1097.0,1093.0,1102.0,4.5
2018-05-18,1416.0,1095.0,1792.0,348.5
2018-05-30,2064.0,2007.0,2127.0,60.0
2018-06-11,2771.0,2648.0,2897.0,124.5
2018-06-23,3002.0,2911.0,3107.0,98.0
2018-07-05,3330.0,3188.0,3454.0,133.0
2018-07-17,3105.0,2972.0,3245.0,136.5
2018-07-29,3622.0,3497.0,3740.0,121.5
2018-08-10,3622.0,3504.0,3735.0,115.5
2018-08-22,3431.0,3317.0,3550.0,116.5
2018-09-03,3200.0,3086.0,3332.0,123.0
2018-09-15,2955.0,2813.0,3119.0,153.0
2018-09-27,2761.0,2610.0,2918.0,154.0
2018-10-09,1139.0,1093.0,1208.0,57.5
2018-10-21,1112.0,1093.0,1124.0,15.5
2018-11-02,1095.0,1093.0,1100.0,3.5
2018-11-14,1093.0,1093.0,1093.0,0.0
2018-11-26,1094.0,1093.0,1096.0,1.5
2018-12-08,1093.0,1093.0,1093.0,0.0
2018-12-20,1093.0,1093.0,1093.0,0.0
2019-01-01,1093.0,1093.0,1093.0,0.0
2019-01-13,1093.0,1093.0,1093.0,0.0
2019-01-25,1093.0,1093.0,1093.0,0.0
2019-02-06,1093.0,1093.0,1093.0,0.0
2019-02-18,1093.0,1093.0,1093.0,0.0
2019-03-02,1093.0,1093.0,1093.0,0.0
2019-03-14,1094.0,1093.0,1096.0,1.5
2019-03-26,1093.0,1093.0,1093.0,0.0
2019-04-07,1093.0,1093.0,1095.0,1.0
2019-04-19,1094.0,1093.0,1096.0,1.5
2019-05-01,1101.0,1093.0,1113.0,10.0
2019-05-13,1165.0,1093.0,1263.0,85.0
2019-05-25,2648.0,2513.0,2761.0,124.0
2019-06-06,2737.0,2619.0,2858.0,119.5
2019-06-18,3225.0,3077.0,3399.0,161.0
2019-06-30,3837.0,3732.0,3954.0,111.0
2019-07-12,3758.0,3635.0,3878.0,121.5
2019-07-24,3718.0,3581.0,3841.0,130.0
2019-08-05,3658.0,3546.0,3761.0,107.5
2019-08-17,3607.0,3496.0,3719.0,111.5
2019-08-29,3306.0,3138.0,3467.0,164.5
2019-09-10,3020.0,2840.0,3239.0,199.5
2019-09-22,2734.0,2506.0,2946.0,220.0
2019-10-04,1499.0,1094.0,1924.0,415.0
2019-10-16,1184.0,1094.0,1307.0,106.5
2019-10-28,2776.0,2670.0,2898.0,114.0
2019-11-09,1133.0,1093.0,1196.0,51.5
2019-11-21,1124.0,1093.0,1156.0,31.5
2019-12-03,1118.0,1094.0,1137.0,21.5
2019-12-15,1101.0,1093.0,1113.0,10.0
2019-12-27,1100.0,1093.0,1112.0,9.5
2020-01-08,1098.0,1093.0,1104.0,5.5
2020-01-20,1094.0,1093.0,1096.0,1.5
2020-02-01,1093.0,1093.0,1093.0,0.0
2020-02-13,1093.0,1093.0,1094.0,0.5
2020-02-25,1093.0,1093.0,1093.0,0.0
2020-03-08,1093.0,1093.0,1093.0,0.0
2020-03-20,1093.0,1093.0,1093.0,0.0
2020-04-01,1093.0,1093.0,1093.0,0.0
2020-04-13,1093.0,1093.0,1093.0,0.0
2020-04-25,1450.0,1414.0,1508.0,47.0
2020-05-07,1246.0,1099.0,1410.0,155.5
2020-05-19,2291.0,2164.0,2518.0,177.0
2020-05-31,2503.0,2393.0,2607.0,107.0
2020-06-12,2803.0,2694.0,2919.0,112.5
2020-06-24,3020.0,2917.0,3137.0,110.0
2020-07-06,3141.0,3032.0,3258.0,113.0
2020-07-18,3225.0,3111.0,3357.0,123.0
2020-07-30,3421.0,3338.0,3499.0,80.5
2020-08-11,3188.0,3094.0,3308.0,107.0
2020-08-23,3090.0,2969.0,3212.0,121.5
2020-09-04,2919.0,2814.0,3035.0,110.5
2020-09-16,2793.0,2671.0,2924.0,126.5
2020-09-28,2731.0,2631.0,2825.0,97.0
2020-10-10,2589.0,2504.0,2654.0,75.0
2020-10-22,2490.0,2463.0,2512.0,24.5
2020-11-03,1104.0,1093.0,1115.0,11.0
2020-11-15,1098.0,1093.0,1104.0,5.5
2020-11-27,1094.0,1093.0,1096.0,1.5
2020-12-09,1093.0,1093.0,1095.0,1.0
2020-12-21,1093.0,1093.0,1095.0,1.0
2021-01-02,1093.0,1093.0,1094.0,0.5
2021-01-14,1093.0,1093.0,1093.0,0.0
2021-01-26,1093.0,1093.0,1093.0,0.0
2021-02-07,1093.0,1093.0,1093.0,0.0
2021-02-19,1093.0,1093.0,1093.0,0.0
2021-03-03,1093.0,1093.0,1093.0,0.0
2021-03-15,1093.0,1093.0,1093.0,0.0
2021-03-27,1093.0,1093.0,1093.0,0.0
2021-04-08,1093.0,1093.0,1093.0,0.0
2021-04-20,1098.0,1093.0,1105.0,6.0
2021-05-02,1110.0,1093.0,1122.0,14.5
2021-05-14,1235.0,1094.0,1401.0,153.5
2021-05-26,1972.0,1892.0,2067.0,87.5
2021-06-07,2349.0,2240.0,2549.0,154.5
2021-06-19,2986.0,2876.0,3111.0,117.5
2021-07-01,3421.0,3334.0,3502.0,84.0
2021-07-13,3358.0,3243.0,3483.0,120.0
2021-07-25,3570.0,3483.0,3654.0,85.5
2021-08-06,3599.0,3497.0,3693.0,98.0
2021-08-18,3439.0,3343.0,3539.0,98.0
2021-08-30,3337.0,3220.0,3443.0,111.5
2021-09-11,3173.0,3064.0,3298.0,117.0
2021-09-23,2872.0,2712.0,3048.0,168.0
2021-10-05,2688.0,2559.0,2819.0,130.0
2021-10-17,1166.0,1093.0,1270.0,88.5
2021-10-29,1124.0,1093.0,1155.0,31.0
2021-11-10,1101.0,1093.0,1113.0,10.0
2021-11-22,1094.0,1093.0,1096.0,1.5
2021-12-16,1093.0,1093.0,1093.0,0.0
2021-12-28,1098.0,1093.0,1104.0,5.5
2022-01-09,1093.0,1093.0,1093.0,0.0
2022-01-21,1093.0,1093.0,1093.0,0.0
2022-02-02,1093.0,1093.0,1093.0,0.0
2022-02-14,1093.0,1093.0,1093.0,0.0
2022-02-26,1093.0,1093.0,1093.0,0.0
2022-03-10,1093.0,1093.0,1093.0,0.0
2022-03-22,1093.0,1093.0,1093.0,0.0
2022-04-03,1093.0,1093.0,1093.0,0.0
2022-04-15,1093.0,1093.0,1093.0,0.0
2022-04-27,1094.0,1093.0,1096.0,1.5
2022-05-09,1114.0,1094.0,1128.0,17.0
2022-05-21,2588.0,2495.0,2662.0,83.5
2022-06-02,2994.0,2842.0,3170.0,164.0
2022-06-14,3086.0,2934.0,3254.0,160.0
2022-06-26,3466.0,3387.0,3543.0,78.0
2022-07-08,3677.0,3595.0,3758.0,81.5
2022-07-20,3553.0,3433.0,3660.0,113.5
2022-08-01,3488.0,3391.0,3577.0,93.0
2022-08-13,3466.0,3384.0,3553.0,84.5
2022-08-25,3308.0,3205.0,3411.0,103.0
2022-09-06,3103.0,2958.0,3247.0,144.5
2022-09-18,2934.0,2790.0,3094.0,152.0
2022-09-30,2832.0,2700.0,2964.0,132.0
2022-10-12,2668.0,2551.0,2771.0,110.0
2022-10-24,1204.0,1102.0,1331.0,114.5
2022-11-05,1119.0,1093.0,1138.0,22.5
2022-11-17,1111.0,1094.0,1122.0,14.0
2022-11-29,1098.0,1093.0,1106.0,6.5
2022-12-11,1095.0,1093.0,1100.0,3.5
2022-12-23,1094.0,1093.0,1098.0,2.5
2023-01-04,1093.0,1093.0,1095.0,1.0
2023-01-16,1093.0,1093.0,1094.0,0.5
2023-01-28,1093.0,1093.0,1093.0,0.0
2023-02-09,1093.0,1093.0,1093.0,0.0
2023-02-21,1093.0,1093.0,1093.0,0.0
2023-03-05,1093.0,1093.0,1093.0,0.0
2023-03-17,1093.0,1093.0,1093.0,0.0
2023-03-29,1093.0,1093.0,1093.0,0.0
2023-04-10,1093.0,1093.0,1095.0,1.0
2023-04-22,1096.0,1093.0,1100.0,3.5
2023-05-04,1100.0,1093.0,1107.0,7.0
2023-05-16,1189.0,1096.0,1309.0,106.5
2023-05-28,2243.0,2144.0,2396.0,126.0
2023-06-09,2822.0,2700.0,2948.0,124.0
2023-06-21,3175.0,3078.0,3273.0,97.5
2023-07-03,3542.0,3443.0,3628.0,92.5
2023-07-15,3638.0,3545.0,3735.0,95.0
2023-07-27,3709.0,3606.0,3797.0,95.5
2023-08-08,3697.0,3595.0,3798.0,101.5
2023-09-01,3609.0,3499.0,3716.0,108.5
2023-09-13,3339.0,3188.0,3496.0,154.0
2023-09-25,3114.0,2948.0,3308.0,180.0
2023-10-07,1711.0,1418.0,1923.0,252.5
2023-10-19,1201.0,1104.0,1322.0,109.0
2023-10-31,4750.0,4750.0,4754.0,2.0
2023-11-12,1120.0,1094.0,1138.0,22.0
2023-11-24,1113.0,1093.0,1125.0,16.0
2023-12-06,1098.0,1093.0,1104.0,5.5
2023-12-18,4750.0,4750.0,4754.0,2.0
2023-12-30,1097.0,1093.0,1102.0,4.5
2024-01-11,1098.0,1093.0,1104.0,5.5
2024-02-16,1094.0,1093.0,1098.0,2.5
2024-02-28,1093.0,1093.0,1093.0,0.0
2024-03-11,1094.0,1093.0,1096.0,1.5
2024-03-23,1093.0,1093.0,1095.0,1.0
2024-04-04,1093.0,1093.0,1093.0,0.0
2024-04-16,4754.0,4750.0,4767.0,8.5
2024-04-28,1117.0,1094.0,1130.0,18.0
2024-05-10,1138.0,1094.0,1201.0,53.5
2024-05-22,2024.0,1942.0,2136.0,97.0
2024-06-03,2354.0,2251.0,2534.0,141.5
2024-06-15,2919.0,2803.0,3040.0,118.5
2024-06-27,3519.0,3421.0,3628.0,103.5
2024-07-09,3636.0,3522.0,3736.0,107.0
2024-07-21,3553.0,3421.0,3680.0,129.5
2024-08-02,3546.0,3420.0,3666.0,123.0
2024-08-14,3663.0,3576.0,3758.0,91.0
2024-08-26,3542.0,3431.0,3645.0,107.0
2024-09-07,3293.0,3150.0,3439.0,144.5
2024-09-19,2963.0,2703.0,3266.0,281.5
2024-10-01,2977.0,2803.0,3173.0,185.0
2024-10-25,4750.0,4750.0,4754.0,2.0
2024-11-06,4767.0,4767.0,4769.0,1.0
2024-11-18,4750.0,4750.0,4754.0,2.0
2024-11-30,1102.0,1093.0,1115.0,11.0
2024-12-12,1104.0,1093.0,1115.0,11.0
2024-12-24,4750.0,4750.0,4754.0,2.0
