,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,21020000,20750000,21290000,270000.0
2017-06-16,21070000,20710000,21440000,365000.0
2017-06-28,21270000,21010000,21530000,260000.0
2017-07-10,21340000,20960000,21720000,380000.0
2017-07-22,21490000,21160000,21820000,330000.0
2017-08-03,21340000,20850000,21830000,490000.0
2017-08-15,21170000,20740000,21600000,430000.0
2017-08-27,20840000,20390000,21290000,450000.0
2017-09-08,20590000,20050000,21130000,540000.0
2017-09-20,19600000,18580000,20620000,1020000.0
2017-10-02,19130000,18170000,20090000,960000.0
2017-10-14,18090000,17480000,18710000,615000.0
2017-10-26,630000,0,1270000,635000.0
2017-11-07,240000,0,490000,245000.0
2017-11-19,190000,10000,390000,190000.0
2017-12-01,120000,0,250000,125000.0
2017-12-13,17400000,17390000,17420000,15000.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,0,0.0
2018-01-18,0,0,10000,5000.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,10000,5000.0
2018-03-31,0,0,10000,5000.0
2018-04-12,0,0,0,0.0
2018-04-24,30000,0,70000,35000.0
2018-05-06,110000,0,230000,115000.0
2018-05-18,16400000,16130000,16680000,275000.0
2018-05-30,17860000,17370000,18360000,495000.0
2018-06-11,21190000,21030000,21350000,160000.0
2018-06-23,21120000,20950000,21300000,175000.0
2018-07-05,21540000,21290000,21790000,250000.0
2018-07-17,21170000,20980000,21360000,190000.0
2018-07-29,21370000,21030000,21720000,345000.0
2018-08-10,21420000,21180000,21670000,245000.0
2018-08-22,21450000,21310000,21590000,140000.0
2018-09-03,21040000,20760000,21320000,280000.0
2018-09-15,21020000,20620000,21420000,400000.0
2018-09-27,19850000,18880000,20820000,970000.0
2018-10-09,19550000,18540000,20560000,1010000.0
2018-10-21,18350000,17550000,19160000,805000.0
2018-11-02,940000,80000,1820000,870000.0
2018-11-14,400000,10000,810000,400000.0
2018-11-26,170000,10000,350000,170000.0
2018-12-08,40000,0,90000,45000.0
2018-12-20,20000,0,50000,25000.0
2019-01-01,0,0,0,0.0
2019-01-13,0,0,0,0.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,10000,5000.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,10000,5000.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,0,0.0
2019-04-07,40000,0,90000,45000.0
2019-04-19,110000,0,230000,115000.0
2019-05-01,900000,20000,1810000,895000.0
2019-05-13,15990000,15580000,16410000,415000.0
2019-05-25,20700000,20230000,21170000,470000.0
2019-06-06,20640000,20310000,20990000,340000.0
2019-06-18,21170000,20990000,21350000,180000.0
2019-06-30,21680000,21440000,21910000,235000.0
2019-07-12,21380000,20840000,21920000,540000.0
2019-07-24,21560000,21200000,21920000,360000.0
2019-08-05,21310000,20770000,21860000,545000.0
2019-08-17,21590000,21260000,21920000,330000.0
2019-08-29,20880000,20090000,21670000,790000.0
2019-09-10,21300000,20870000,21730000,430000.0
2019-09-22,21090000,20670000,21510000,420000.0
2019-10-04,19970000,19240000,20710000,735000.0
2019-10-16,18470000,17910000,19040000,565000.0
2019-10-28,18390000,18080000,18700000,310000.0
2019-11-09,790000,80000,1590000,755000.0
2019-11-21,420000,10000,850000,420000.0
2019-12-03,190000,10000,390000,190000.0
2019-12-15,230000,10000,460000,225000.0
2019-12-27,200000,0,410000,205000.0
2020-01-08,60000,0,130000,65000.0
2020-01-20,100000,0,210000,105000.0
2020-02-01,100000,0,210000,105000.0
2020-02-13,50000,10000,110000,50000.0
2020-02-25,20000,0,50000,25000.0
2020-03-08,60000,0,130000,65000.0
2020-03-20,20000,0,50000,25000.0
2020-04-01,0,0,0,0.0
2020-04-13,20000,0,50000,25000.0
2020-04-25,14330000,13940000,14730000,395000.0
2020-05-07,17970000,17690000,18250000,280000.0
2020-05-19,20510000,20010000,21010000,500000.0
2020-05-31,21020000,20750000,21290000,270000.0
2020-06-12,21080000,20810000,21350000,270000.0
2020-06-24,21280000,21190000,21370000,90000.0
2020-07-06,21530000,21280000,21780000,250000.0
2020-07-18,21440000,21200000,21690000,245000.0
2020-07-30,21570000,21350000,21790000,220000.0
2020-08-11,21160000,20840000,21480000,320000.0
2020-08-23,21420000,21140000,21710000,285000.0
2020-09-04,21080000,20840000,21320000,240000.0
2020-09-16,20710000,20290000,21140000,425000.0
2020-09-28,19530000,18520000,20550000,1015000.0
2020-10-10,19100000,17980000,20230000,1125000.0
2020-10-22,18310000,17580000,19050000,735000.0
2020-11-03,18960000,18660000,19290000,315000.0
2020-11-15,360000,0,730000,365000.0
2020-11-27,210000,10000,430000,210000.0
2020-12-09,140000,0,290000,145000.0
2020-12-21,60000,0,130000,65000.0
2021-01-02,0,0,10000,5000.0
2021-01-14,20000,0,50000,25000.0
2021-01-26,0,0,10000,5000.0
2021-02-07,0,0,10000,5000.0
2021-02-19,20000,0,50000,25000.0
2021-03-03,0,0,0,0.0
2021-03-15,0,0,10000,5000.0
2021-03-27,0,0,10000,5000.0
2021-04-08,0,0,10000,5000.0
2021-04-20,1550000,80000,3060000,1490000.0
2021-05-02,17500000,16630000,18370000,870000.0
2021-05-14,17580000,16860000,18310000,725000.0
2021-05-26,18670000,17790000,19550000,880000.0
2021-06-07,19640000,19140000,20140000,500000.0
2021-06-19,21430000,21290000,21570000,140000.0
2021-07-01,21200000,20980000,21420000,220000.0
2021-07-13,21220000,21090000,21350000,130000.0
2021-07-25,21470000,21040000,21900000,430000.0
