,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1642.0,1622.0,1847.0,112.5
2017-06-16,1835.0,1712.0,2234.0,261.0
2017-06-28,1752.0,1720.0,1844.0,62.0
2017-07-10,1894.0,1821.0,1975.0,77.0
2017-07-22,1929.0,1865.0,2086.0,110.5
2017-08-03,2012.0,1926.0,2286.0,180.0
2017-08-15,1928.0,1847.0,2143.0,148.0
2017-08-27,1870.0,1780.0,2161.0,190.5
2017-09-08,2064.0,1947.0,2499.0,276.0
2017-09-20,2064.0,1937.0,2292.0,177.5
2017-10-02,2066.0,1945.0,2184.0,119.5
2017-10-14,1926.0,1831.0,2048.0,108.5
2017-10-26,981.0,981.0,981.0,0.0
2017-11-07,981.0,981.0,981.0,0.0
2017-11-19,981.0,981.0,981.0,0.0
2017-12-01,981.0,981.0,981.0,0.0
2017-12-13,1436.0,1436.0,2028.0,296.0
2017-12-25,981.0,981.0,981.0,0.0
2018-01-06,981.0,981.0,981.0,0.0
2018-01-18,981.0,981.0,981.0,0.0
2018-01-30,981.0,981.0,981.0,0.0
2018-02-11,981.0,981.0,981.0,0.0
2018-02-23,981.0,981.0,981.0,0.0
2018-03-07,981.0,981.0,981.0,0.0
2018-03-19,981.0,981.0,981.0,0.0
2018-03-31,981.0,981.0,981.0,0.0
2018-04-12,981.0,981.0,981.0,0.0
2018-04-24,981.0,981.0,981.0,0.0
2018-05-06,981.0,981.0,981.0,0.0
2018-05-18,1312.0,1300.0,1342.0,21.0
2018-05-30,1380.0,1363.0,1452.0,44.5
2018-06-11,1394.0,1392.0,1451.0,29.5
2018-06-23,1821.0,1732.0,2167.0,217.5
2018-07-05,1868.0,1798.0,1943.0,72.5
2018-07-17,1800.0,1757.0,1939.0,91.0
2018-07-29,1959.0,1893.0,2155.0,131.0
2018-08-10,1943.0,1894.0,2064.0,85.0
2018-08-22,1729.0,1714.0,1764.0,25.0
2018-09-03,1804.0,1752.0,2128.0,188.0
2018-09-15,2103.0,2030.0,2464.0,217.0
2018-09-27,2176.0,2150.0,2386.0,118.0
2018-10-09,2212.0,2206.0,2301.0,47.5
2018-10-21,2009.0,1998.0,2064.0,33.0
2018-11-02,999.0,999.0,999.0,0.0
2018-11-14,981.0,981.0,981.0,0.0
