,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1942.0,1831.0,2021.0,95.0
2017-06-16,2038.0,1999.0,2204.0,102.5
2017-06-28,2090.0,2069.0,2223.0,77.0
2017-07-10,2129.0,2091.0,2169.0,39.0
2017-07-22,2242.0,2212.0,2279.0,33.5
2017-08-03,2320.0,2270.0,2412.0,71.0
2017-08-15,2576.0,2437.0,2718.0,140.5
2017-08-27,2674.0,2593.0,2747.0,77.0
2017-09-08,2520.0,2504.0,2943.0,219.5
2017-09-20,2013.0,2013.0,2944.0,465.5
2017-10-02,1977.0,1977.0,2974.0,498.5
2017-10-14,1575.0,1575.0,1575.0,0.0
2017-10-26,1575.0,1575.0,1575.0,0.0
2017-11-07,1575.0,1575.0,1575.0,0.0
2017-11-19,1575.0,1575.0,1575.0,0.0
2017-12-01,1575.0,1575.0,1575.0,0.0
2017-12-13,1575.0,1575.0,1575.0,0.0
2017-12-25,1575.0,1575.0,1575.0,0.0
2018-01-06,1575.0,1575.0,1575.0,0.0
2018-01-18,1575.0,1575.0,1575.0,0.0
2018-01-30,1575.0,1575.0,1575.0,0.0
2018-02-11,1575.0,1575.0,1575.0,0.0
2018-02-23,1575.0,1575.0,1575.0,0.0
2018-03-07,1575.0,1575.0,1575.0,0.0
2018-03-19,1575.0,1575.0,1575.0,0.0
2018-03-31,1575.0,1575.0,1575.0,0.0
2018-04-12,1575.0,1575.0,1575.0,0.0
2018-04-24,1575.0,1575.0,1575.0,0.0
2018-05-06,1575.0,1575.0,1575.0,0.0
2018-05-18,1742.0,1705.0,1786.0,40.5
2018-05-30,1809.0,1761.0,1857.0,48.0
2018-06-11,1823.0,1793.0,1974.0,90.5
2018-06-23,1962.0,1906.0,2102.0,98.0
2018-07-05,2000.0,1956.0,2064.0,54.0
2018-07-17,2071.0,2052.0,2225.0,86.5
2018-07-29,2201.0,2168.0,2249.0,40.5
2018-08-10,2213.0,2166.0,2275.0,54.5
2018-08-22,2228.0,2209.0,2418.0,104.5
2018-09-03,2520.0,2478.0,2727.0,124.5
2018-09-15,2511.0,2488.0,2900.0,206.0
2018-09-27,2520.0,2503.0,2930.0,213.5
2018-10-09,2069.0,2068.0,2950.0,441.0
2018-10-21,2651.0,2648.0,3007.0,179.5
2018-11-02,2533.0,2530.0,3009.0,239.5
2018-11-14,1575.0,1575.0,1575.0,0.0
2018-11-26,2064.0,2064.0,3009.0,472.5
2018-12-08,1575.0,1575.0,1575.0,0.0
2018-12-20,1575.0,1575.0,1575.0,0.0
2019-01-01,1575.0,1575.0,1575.0,0.0
2019-01-13,1575.0,1575.0,1575.0,0.0
2019-01-25,1575.0,1575.0,1575.0,0.0
2019-02-06,1575.0,1575.0,1575.0,0.0
2019-02-18,1575.0,1575.0,1575.0,0.0
2019-03-02,1575.0,1575.0,1575.0,0.0
2019-03-14,1575.0,1575.0,1575.0,0.0
2019-03-26,1575.0,1575.0,1575.0,0.0
2019-04-07,1575.0,1575.0,1575.0,0.0
2019-04-19,1575.0,1575.0,1575.0,0.0
2019-05-01,1575.0,1575.0,1575.0,0.0
2019-05-13,1575.0,1575.0,1575.0,0.0
2019-05-25,1906.0,1847.0,2033.0,93.0
2019-06-06,1970.0,1915.0,2094.0,89.5
2019-06-18,2067.0,2028.0,2152.0,62.0
2019-06-30,2243.0,2202.0,2294.0,46.0
2019-07-12,2256.0,2206.0,2326.0,60.0
