,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2301.0,2187.0,2502.0,157.5
2017-06-16,2642.0,2585.0,2695.0,55.0
2017-06-28,2922.0,2897.0,3006.0,54.5
2017-07-10,2955.0,2931.0,3055.0,62.0
2017-07-22,2964.0,2935.0,3055.0,60.0
2017-08-03,2938.0,2912.0,3055.0,71.5
2017-08-15,2923.0,2896.0,3029.0,66.5
2017-08-27,2848.0,2758.0,2979.0,110.5
2017-09-08,3014.0,3007.0,3029.0,11.0
2017-09-20,2997.0,2972.0,3029.0,28.5
2017-10-02,3027.0,3027.0,3029.0,1.0
2017-10-14,1828.0,1575.0,1931.0,178.0
2017-10-26,1731.0,1575.0,1851.0,138.0
2017-11-07,1627.0,1575.0,1660.0,42.5
2017-11-19,1602.0,1575.0,1628.0,26.5
2017-12-01,1581.0,1575.0,1595.0,10.0
2017-12-13,1577.0,1575.0,1582.0,3.5
2017-12-25,1575.0,1575.0,1578.0,1.5
2018-01-06,1575.0,1575.0,1575.0,0.0
2018-01-18,1575.0,1575.0,1578.0,1.5
2018-01-30,1575.0,1575.0,1575.0,0.0
2018-02-11,1575.0,1575.0,1575.0,0.0
2018-02-23,1575.0,1575.0,1578.0,1.5
2018-03-07,1575.0,1575.0,1575.0,0.0
2018-03-19,1575.0,1575.0,1575.0,0.0
2018-03-31,1575.0,1575.0,1575.0,0.0
2018-04-12,1575.0,1575.0,1575.0,0.0
2018-04-24,1575.0,1575.0,1575.0,0.0
2018-05-06,1575.0,1575.0,1575.0,0.0
2018-05-18,1852.0,1809.0,1883.0,37.0
2018-05-30,1998.0,1973.0,2021.0,24.0
2018-06-11,2530.0,2429.0,2619.0,95.0
2018-06-23,2838.0,2780.0,2902.0,61.0
2018-07-05,2950.0,2923.0,3055.0,66.0
2018-07-17,2830.0,2772.0,2902.0,65.0
2018-07-29,2938.0,2912.0,3055.0,71.5
2018-08-10,2970.0,2939.0,3055.0,58.0
