,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,60530000,55790000,65290000,4750000.0
2017-06-16,71410000,65990000,76800000,5405000.0
2017-06-28,81120000,79900000,82350000,1225000.0
2017-07-10,83640000,83220000,84060000,420000.0
2017-07-22,83850000,83530000,84170000,320000.0
2017-08-03,84010000,83880000,84140000,130000.0
2017-08-15,83510000,83110000,83910000,400000.0
2017-08-27,80260000,78330000,82180000,1925000.0
2017-09-08,37510000,4310000,70710000,33200000.0
2017-09-20,26220000,1080000,51400000,25160000.0
2017-10-02,21080000,370000,41820000,20725000.0
2017-10-14,14450000,50000,28890000,14420000.0
2017-10-26,11770000,50000,23530000,11740000.0
2017-11-07,8510000,30000,17020000,8495000.0
2017-11-19,5650000,30000,11300000,5635000.0
2017-12-01,3410000,0,6830000,3415000.0
2017-12-13,1160000,20000,2330000,1155000.0
2017-12-25,180000,0,370000,185000.0
2018-01-06,80000,10000,170000,80000.0
2018-01-18,0,0,10000,5000.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,10000,10000,30000,10000.0
2018-03-07,10000,10000,30000,10000.0
2018-03-19,0,0,10000,5000.0
2018-03-31,0,0,10000,5000.0
2018-04-12,10000,10000,30000,10000.0
2018-04-24,20000,20000,50000,15000.0
2018-05-06,0,0,0,0.0
2018-05-18,1910000,610000,3220000,1305000.0
2018-05-30,9180000,4950000,13420000,4235000.0
2018-06-11,59600000,54110000,65130000,5510000.0
2018-06-23,75720000,72590000,78870000,3140000.0
2018-07-05,82410000,81420000,83390000,985000.0
2018-07-17,79490000,77560000,81400000,1920000.0
2018-07-29,83640000,83120000,84160000,520000.0
2018-08-10,83390000,82750000,84030000,640000.0
2018-08-22,83640000,83150000,84130000,490000.0
2018-09-03,77860000,73600000,82110000,4255000.0
2018-09-15,40250000,7130000,73310000,33090000.0
2018-09-27,31430000,1300000,61650000,30175000.0
2018-10-09,23960000,230000,47750000,23760000.0
2018-10-21,17340000,260000,34520000,17130000.0
2018-11-02,10750000,120000,21400000,10640000.0
2018-11-14,6430000,110000,12760000,6325000.0
2018-11-26,2790000,20000,5580000,2780000.0
2018-12-08,1050000,0,2110000,1055000.0
2018-12-20,230000,0,470000,235000.0
2019-01-01,50000,0,110000,55000.0
2019-01-13,20000,20000,50000,15000.0
2019-01-25,10000,10000,30000,10000.0
2019-02-06,20000,20000,50000,15000.0
2019-02-18,30000,0,70000,35000.0
2019-03-02,40000,10000,90000,40000.0
2019-03-14,10000,10000,30000,10000.0
2019-03-26,20000,20000,50000,15000.0
2019-04-07,10000,10000,30000,10000.0
2019-04-19,0,0,0,0.0
2019-05-01,0,0,0,0.0
2019-05-13,110000,20000,230000,105000.0
2019-05-25,54700000,48460000,60920000,6230000.0
2019-06-06,63310000,58050000,68520000,5235000.0
2019-06-18,78340000,76350000,80360000,2005000.0
2019-06-30,84020000,83870000,84170000,150000.0
2019-07-12,84040000,83920000,84160000,120000.0
2019-07-24,83280000,82390000,84170000,890000.0
2019-08-05,84060000,83950000,84170000,110000.0
2019-08-17,83630000,83090000,84170000,540000.0
2019-08-29,83520000,82990000,84060000,535000.0
2019-09-10,84050000,83990000,84120000,65000.0
2019-09-22,36580000,8960000,64180000,27610000.0
2019-10-04,22360000,910000,43860000,21475000.0
2019-10-16,10790000,30000,21570000,10770000.0
2019-10-28,19580000,3080000,36120000,16520000.0
2019-11-09,3390000,20000,6780000,3380000.0
2019-11-21,1580000,20000,3150000,1565000.0
2019-12-03,650000,0,1310000,655000.0
2019-12-15,300000,10000,610000,300000.0
2019-12-27,210000,0,430000,215000.0
2020-01-08,70000,0,150000,75000.0
2020-01-20,40000,10000,90000,40000.0
2020-02-01,20000,20000,50000,15000.0
2020-02-13,40000,10000,90000,40000.0
2020-02-25,40000,10000,90000,40000.0
2020-03-08,50000,0,110000,55000.0
2020-03-20,30000,0,70000,35000.0
2020-04-01,20000,20000,50000,15000.0
2020-04-13,30000,0,70000,35000.0
2020-04-25,0,0,0,0.0
2020-05-07,20000,20000,50000,15000.0
2020-05-19,19210000,6870000,31560000,12345000.0
2020-05-31,57330000,52250000,62390000,5070000.0
2020-06-12,66830000,62350000,71300000,4475000.0
2020-06-24,74330000,71100000,77570000,3235000.0
2020-07-06,81180000,79730000,82640000,1455000.0
2020-07-18,80840000,79290000,82400000,1555000.0
2020-07-30,83520000,83060000,83980000,460000.0
2020-08-11,80550000,79070000,82040000,1485000.0
2020-08-23,78840000,76710000,80950000,2120000.0
2020-09-04,75710000,72230000,79190000,3480000.0
2020-09-16,73150000,69430000,76890000,3730000.0
2020-09-28,27270000,580000,53970000,26695000.0
2020-10-10,22410000,420000,44500000,22040000.0
2020-10-22,17390000,60000,34770000,17355000.0
2020-11-03,13350000,30000,26700000,13335000.0
2020-11-15,9920000,0,19850000,9925000.0
2020-11-27,6060000,10000,12130000,6060000.0
2020-12-09,2770000,0,5550000,2775000.0
2020-12-21,940000,0,1890000,945000.0
2021-01-02,60000,10000,130000,60000.0
2021-01-14,0,0,0,0.0
2021-01-26,0,0,10000,5000.0
2021-02-07,20000,20000,50000,15000.0
2021-02-19,20000,20000,50000,15000.0
2021-03-03,30000,0,70000,35000.0
2021-03-15,20000,20000,50000,15000.0
2021-03-27,0,0,0,0.0
2021-04-08,10000,10000,30000,10000.0
2021-04-20,0,0,10000,5000.0
2021-05-02,0,0,0,0.0
2021-05-14,1570000,110000,3070000,1480000.0
2021-05-26,7700000,1950000,13480000,5765000.0
2021-06-07,27950000,25510000,30390000,2440000.0
2021-06-19,80430000,78850000,82010000,1580000.0
2021-07-01,82880000,82200000,83560000,680000.0
2021-07-13,81100000,79890000,82290000,1200000.0
2021-07-25,83850000,83530000,84170000,320000.0
2021-08-06,84020000,83870000,84170000,150000.0
2021-08-18,83200000,82470000,83940000,735000.0
2021-08-30,82990000,82580000,83400000,410000.0
2021-09-11,77920000,73980000,81840000,3930000.0
2021-09-23,79170000,77000000,81360000,2180000.0
2021-10-05,29780000,130000,59490000,29680000.0
2021-10-17,25720000,200000,51320000,25560000.0
2021-10-29,22010000,80000,43960000,21940000.0
2021-11-10,17720000,80000,35420000,17670000.0
2021-11-22,14070000,80000,28140000,14030000.0
2021-12-16,5300000,20000,10590000,5285000.0
2021-12-28,2010000,10000,4030000,2010000.0
2022-01-09,380000,10000,770000,380000.0
2022-01-21,30000,0,70000,35000.0
2022-02-02,10000,10000,30000,10000.0
2022-02-14,0,0,0,0.0
2022-02-26,0,0,10000,5000.0
2022-03-10,0,0,0,0.0
2022-03-22,0,0,0,0.0
2022-04-03,0,0,0,0.0
2022-04-15,0,0,0,0.0
2022-04-27,0,0,10000,5000.0
2022-05-09,10000,10000,30000,10000.0
2022-05-21,1880000,130000,3620000,1745000.0
2022-06-02,60950000,52800000,69080000,8140000.0
2022-06-14,76860000,74040000,79690000,2825000.0
2022-06-26,83300000,82670000,83930000,630000.0
2022-07-08,84000000,83830000,84170000,170000.0
2022-07-20,83980000,83810000,84150000,170000.0
2022-08-01,83970000,83790000,84150000,180000.0
2022-08-13,83740000,83480000,84000000,260000.0
2022-08-25,82160000,81250000,83070000,910000.0
2022-09-06,79260000,76620000,81890000,2635000.0
2022-09-18,34690000,1570000,67850000,33140000.0
2022-09-30,30120000,1370000,58910000,28770000.0
2022-10-12,25380000,490000,50330000,24920000.0
2022-10-24,20960000,130000,41810000,20840000.0
2022-11-05,19890000,240000,39610000,19685000.0
2022-11-17,17370000,180000,34590000,17205000.0
2022-11-29,14270000,70000,28480000,14205000.0
2022-12-11,11430000,80000,22810000,11365000.0
2022-12-23,8120000,30000,16220000,8095000.0
2023-01-04,3980000,40000,7970000,3965000.0
2023-01-16,1360000,40000,2710000,1335000.0
2023-01-28,200000,20000,410000,195000.0
2023-02-09,40000,10000,90000,40000.0
2023-02-21,30000,0,70000,35000.0
2023-03-05,20000,20000,50000,15000.0
2023-03-17,0,0,0,0.0
2023-03-29,0,0,0,0.0
2023-04-10,0,0,0,0.0
2023-04-22,0,0,10000,5000.0
2023-05-04,0,0,10000,5000.0
2023-05-16,740000,60000,1430000,685000.0
2023-05-28,14330000,6120000,22480000,8180000.0
2023-06-09,66910000,62180000,71610000,4715000.0
2023-06-21,80550000,78940000,82160000,1610000.0
2023-07-03,82340000,81430000,83240000,905000.0
2023-07-15,84080000,83990000,84170000,90000.0
2023-07-27,83980000,83790000,84170000,190000.0
2023-08-08,84070000,83980000,84160000,90000.0
2023-09-01,83780000,83440000,84120000,340000.0
2023-09-13,76570000,69980000,83170000,6595000.0
2023-09-25,83340000,83010000,83680000,335000.0
2023-10-07,32210000,2990000,61450000,29230000.0
2023-10-19,23970000,680000,47260000,23290000.0
2023-10-31,20500000,510000,40530000,20010000.0
2023-11-12,13820000,160000,27520000,13680000.0
2023-11-24,9610000,100000,19140000,9520000.0
2023-12-06,4870000,50000,9700000,4825000.0
2023-12-18,1710000,0,3430000,1715000.0
2023-12-30,960000,0,1930000,965000.0
2024-01-11,430000,10000,870000,430000.0
2024-02-16,130000,40000,270000,115000.0
2024-02-28,130000,40000,270000,115000.0
2024-03-11,110000,20000,230000,105000.0
2024-03-23,80000,10000,170000,80000.0
2024-04-04,40000,10000,90000,40000.0
2024-04-16,60000,10000,130000,60000.0
2024-04-28,140000,0,290000,145000.0
2024-05-10,330000,0,670000,335000.0
2024-05-22,1930000,220000,3650000,1715000.0
2024-06-03,25490000,14400000,36620000,11110000.0
2024-06-15,78290000,76170000,80410000,2120000.0
2024-06-27,82540000,81320000,83760000,1220000.0
2024-07-09,83680000,83330000,84030000,350000.0
2024-07-21,83690000,83330000,84050000,360000.0
2024-08-02,83580000,83150000,84010000,430000.0
2024-08-14,83760000,83390000,84130000,370000.0
2024-08-26,83130000,82360000,83890000,765000.0
2024-09-07,83510000,83300000,83730000,215000.0
2024-09-19,82260000,81490000,83040000,775000.0
2024-10-01,33710000,2110000,65340000,31615000.0
2024-10-25,20620000,290000,40990000,20350000.0
2024-11-06,15800000,340000,31320000,15490000.0
2024-11-18,9330000,260000,18430000,9085000.0
2024-11-30,5360000,220000,10530000,5155000.0
2024-12-12,2940000,90000,5810000,2860000.0
2024-12-24,1480000,50000,2940000,1445000.0
