Elev_m,area_m2
1075,100000.0
1085,80000.0
1095,60000.0
1105,80000.0
1115,130000.0
1125,230000.0
1135,270000.0
1145,410000.0
1155,310000.0
1165,350000.0
1175,210000.0
1185,330000.0
1195,360000.0
1205,300000.0
1215,300000.0
1225,370000.0
1235,320000.0
1245,320000.0
1255,290000.0
1265,280000.0
1275,260000.0
1285,280000.0
1295,330000.0
1305,350000.0
1315,440000.0
1325,390000.0
1335,430000.0
1345,330000.0
1355,340000.0
1365,350000.0
1375,370000.0
1385,490000.0
1395,410000.0
1405,340000.0
1415,330000.0
1425,410000.0
1435,410000.0
1445,390000.0
1455,520000.0
1465,410000.0
1475,370000.0
1485,470000.0
1495,410000.0
1505,440000.0
1515,560000.0
1525,570000.0
1535,830000.0
1545,680000.0
1555,680000.0
1565,680000.0
1575,630000.0
1585,540000.0
1595,470000.0
1605,520000.0
1615,460000.0
1625,480000.0
1635,490000.0
1645,480000.0
1655,470000.0
1665,420000.0
1675,480000.0
1685,550000.0
1695,430000.0
1705,550000.0
1715,690000.0
1725,590000.0
1735,450000.0
1745,590000.0
1755,590000.0
1765,500000.0
1775,550000.0
1785,720000.0
1795,650000.0
1805,700000.0
1815,780000.0
1825,680000.0
1835,680000.0
1845,600000.0
1855,480000.0
1865,510000.0
1875,630000.0
1885,600000.0
1895,500000.0
1905,500000.0
1915,470000.0
1925,450000.0
1935,560000.0
1945,470000.0
1955,420000.0
1965,490000.0
1975,410000.0
1985,390000.0
1995,520000.0
2005,550000.0
2015,600000.0
2025,580000.0
2035,610000.0
2045,860000.0
2055,540000.0
2065,560000.0
2075,450000.0
2085,650000.0
2095,570000.0
2105,590000.0
2115,850000.0
2125,630000.0
2135,660000.0
2145,670000.0
2155,600000.0
2165,600000.0
2175,850000.0
2185,510000.0
2195,710000.0
2205,800000.0
2215,860000.0
2225,660000.0
2235,780000.0
2245,660000.0
2255,820000.0
2265,820000.0
2275,820000.0
2285,930000.0
2295,880000.0
2305,880000.0
2315,920000.0
2325,830000.0
2335,910000.0
2345,1180000.0
2355,960000.0
2365,780000.0
2375,1050000.0
2385,960000.0
2395,740000.0
2405,850000.0
2415,870000.0
2425,810000.0
2435,880000.0
2445,950000.0
2455,930000.0
2465,830000.0
2475,900000.0
2485,840000.0
2495,950000.0
2505,810000.0
2515,910000.0
2525,850000.0
2535,970000.0
2545,950000.0
2555,1080000.0
2565,1170000.0
2575,1470000.0
2585,1320000.0
2595,1400000.0
2605,1730000.0
2615,2060000.0
2625,1300000.0
2635,1010000.0
2645,1000000.0
2655,770000.0
2665,880000.0
2675,780000.0
2685,720000.0
2695,760000.0
2705,790000.0
2715,700000.0
2725,670000.0
2735,710000.0
2745,740000.0
2755,670000.0
2765,720000.0
2775,730000.0
2785,750000.0
2795,630000.0
2805,610000.0
2815,690000.0
2825,640000.0
2835,620000.0
2845,680000.0
2855,670000.0
2865,600000.0
2875,710000.0
2885,660000.0
2895,590000.0
2905,660000.0
2915,590000.0
2925,510000.0
2935,540000.0
2945,580000.0
2955,460000.0
2965,590000.0
2975,580000.0
2985,410000.0
2995,550000.0
3005,460000.0
3015,460000.0
3025,520000.0
3035,410000.0
3045,460000.0
3055,420000.0
3065,370000.0
3075,490000.0
3085,500000.0
3095,480000.0
3105,460000.0
3115,490000.0
3125,410000.0
3135,460000.0
3145,470000.0
3155,410000.0
3165,490000.0
3175,440000.0
3185,490000.0
3195,500000.0
3205,430000.0
3215,360000.0
3225,400000.0
3235,260000.0
3245,430000.0
3255,250000.0
3265,450000.0
3275,260000.0
3285,360000.0
3295,340000.0
3305,250000.0
3315,240000.0
3325,350000.0
3335,270000.0
3345,220000.0
3355,240000.0
3365,290000.0
3375,210000.0
3385,250000.0
3395,250000.0
3405,410000.0
3415,280000.0
3425,190000.0
3435,250000.0
3445,220000.0
3455,210000.0
3465,200000.0
3475,240000.0
3485,150000.0
3495,200000.0
3505,180000.0
3515,140000.0
3525,160000.0
3535,140000.0
3545,80000.0
3555,140000.0
3565,120000.0
3575,100000.0
3585,120000.0
3595,140000.0
3605,80000.0
3615,120000.0
3625,100000.0
3635,60000.0
3645,90000.0
3655,110000.0
3665,140000.0
3675,110000.0
3685,60000.0
3695,110000.0
3705,50000.0
3715,80000.0
3725,90000.0
3735,60000.0
3745,90000.0
3755,90000.0
3765,70000.0
3775,90000.0
3785,60000.0
3795,70000.0
3805,120000.0
3815,60000.0
3825,90000.0
3835,60000.0
3845,50000.0
3855,50000.0
3865,100000.0
3875,60000.0
3885,90000.0
3895,60000.0
3905,50000.0
3915,100000.0
3925,50000.0
3935,90000.0
3945,10000.0
3955,120000.0
3965,70000.0
3975,60000.0
3985,20000.0
3995,50000.0
4005,150000.0
4015,20000.0
4025,40000.0
4035,40000.0
4045,50000.0
4055,70000.0
4065,50000.0
4075,30000.0
4085,0.0
4095,50000.0
4105,50000.0
4115,0.0
4125,40000.0
4135,10000.0
4145,20000.0
4155,20000.0
4165,30000.0
4175,0.0
4185,20000.0
4195,0.0
4205,50000.0
4215,20000.0
4225,10000.0
4235,10000.0
4245,10000.0
4255,40000.0
4265,20000.0
4275,10000.0
4285,20000.0
4295,30000.0
4305,0.0
4315,30000.0
4325,30000.0
4335,10000.0
4345,10000.0
4355,10000.0
4365,40000.0
4375,20000.0
4385,0.0
4395,20000.0
4405,0.0
4415,40000.0
4425,20000.0
4435,10000.0
4445,20000.0
4455,30000.0
4465,10000.0
4475,10000.0
4485,10000.0
4495,50000.0
4505,10000.0
4515,0.0
4525,30000.0
4535,30000.0
4545,10000.0
4555,10000.0
4565,20000.0
4575,30000.0
4585,10000.0
4595,0.0
4605,30000.0
4615,20000.0
4625,10000.0
4635,20000.0
4645,0.0
4655,20000.0
4665,30000.0
4675,0.0
4685,0.0
4695,10000.0
4705,20000.0
4715,30000.0
4725,0.0
4735,10000.0
4745,10000.0
4755,10000.0
4765,10000.0
4775,20000.0
4785,20000.0
4795,0.0
4805,10000.0
4815,30000.0
4825,20000.0
4835,20000.0
4845,30000.0
4855,20000.0
4865,10000.0
4875,0.0
4885,20000.0
4895,0.0
4905,10000.0
4915,0.0
4925,10000.0
4935,10000.0
