,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,26840000,23570000,56110000,16270000.0
2017-06-16,50970000,41700000,138960000,48630000.0
2017-06-28,35240000,32110000,48530000,8210000.0
2017-07-10,34640000,32370000,43090000,5360000.0
2017-07-22,45370000,37180000,55350000,9085000.0
2017-08-03,48560000,40090000,60090000,10000000.0
2017-08-15,51950000,39750000,68790000,14520000.0
2017-08-27,71590000,55480000,106970000,25745000.0
2017-09-08,85110000,81860000,121840000,19990000.0
2017-09-20,41420000,40220000,144820000,52300000.0
2017-10-02,52600000,51960000,144940000,46490000.0
2017-10-14,3530000,2990000,5350000,1180000.0
2017-10-26,70000,70000,70000,0.0
2017-11-07,0,0,0,0.0
2017-11-19,0,0,0,0.0
2017-12-01,0,0,0,0.0
2017-12-13,0,0,0,0.0
2017-12-25,0,0,0,0.0
2018-01-06,0,0,0,0.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,0,0,0,0.0
2018-05-06,140000,140000,140000,0.0
2018-05-18,10720000,8990000,14710000,2860000.0
2018-05-30,16440000,14750000,23690000,4470000.0
2018-06-11,15210000,11050000,32470000,10710000.0
2018-06-23,30610000,27770000,54010000,13120000.0
2018-07-05,36670000,33120000,48530000,7705000.0
2018-07-17,35610000,32700000,54540000,10920000.0
2018-07-29,42190000,36910000,48570000,5830000.0
2018-08-10,38470000,33520000,44490000,5485000.0
2018-08-22,40940000,34860000,49780000,7460000.0
2018-09-03,64090000,49490000,91740000,21125000.0
2018-09-15,85310000,81480000,113280000,15900000.0
2018-09-27,91020000,90300000,117790000,13745000.0
2018-10-09,18430000,18410000,114490000,48040000.0
2018-10-21,19850000,19060000,110060000,45500000.0
2018-11-02,30000,30000,30000,0.0
2018-11-14,30000,30000,30000,0.0
2018-11-26,0,0,0,0.0
2018-12-08,0,0,0,0.0
2018-12-20,10000,10000,10000,0.0
2019-01-01,0,0,0,0.0
2019-01-13,0,0,0,0.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,0,0.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,0,0.0
2019-04-07,0,0,0,0.0
2019-04-19,0,0,0,0.0
2019-05-01,0,0,0,0.0
2019-05-13,0,0,0,0.0
2019-05-25,27460000,25140000,45860000,10360000.0
2019-06-06,32610000,30400000,58110000,13855000.0
2019-06-18,28910000,26150000,49350000,11600000.0
2019-06-30,42110000,35680000,56420000,10370000.0
2019-07-12,37840000,30510000,48680000,9085000.0
2019-07-24,39020000,31610000,47270000,7830000.0
2019-08-05,42850000,33240000,54310000,10535000.0
2019-08-17,39470000,28510000,56070000,13780000.0
2019-08-29,55970000,49410000,135370000,42980000.0
2019-09-10,89660000,79600000,123280000,21840000.0
2019-09-22,21030000,16370000,73780000,28705000.0
2019-10-04,23280000,22920000,23640000,360000.0
2019-10-16,70000,70000,70000,0.0
2019-10-28,22300000,8690000,56370000,23840000.0
2019-11-09,30000,30000,30000,0.0
2019-11-21,0,0,0,0.0
2019-12-03,30000,30000,30000,0.0
2019-12-15,0,0,0,0.0
2019-12-27,10000,10000,10000,0.0
2020-01-08,10000,10000,10000,0.0
2020-01-20,0,0,0,0.0
2020-02-01,0,0,0,0.0
2020-02-13,0,0,0,0.0
2020-02-25,0,0,0,0.0
2020-03-08,0,0,0,0.0
2020-03-20,0,0,0,0.0
2020-04-01,0,0,0,0.0
2020-04-13,20000,10000,250000,120000.0
2020-04-25,4580000,3860000,5880000,1010000.0
2020-05-07,7680000,5970000,9410000,1720000.0
2020-05-19,9940000,8710000,21080000,6185000.0
2020-05-31,18180000,15900000,32440000,8270000.0
2020-06-12,25170000,23090000,55560000,16235000.0
2020-06-24,29790000,28670000,41470000,6400000.0
2020-07-06,35460000,32830000,42220000,4695000.0
2020-07-18,37690000,34670000,46100000,5715000.0
2020-07-30,39500000,35420000,45440000,5010000.0
2020-08-11,38180000,34330000,47350000,6510000.0
2020-08-23,40500000,35380000,52570000,8595000.0
2020-09-04,42540000,36440000,59230000,11395000.0
2020-09-16,56610000,54730000,88820000,17045000.0
2020-09-28,74750000,73830000,98460000,12315000.0
2020-10-10,23980000,23790000,97770000,36990000.0
2020-10-22,10000,10000,10000,0.0
2020-11-03,30000,30000,30000,0.0
2020-11-15,10000,10000,10000,0.0
2020-11-27,30000,30000,30000,0.0
2020-12-09,0,0,0,0.0
2020-12-21,0,0,0,0.0
2021-01-02,10000,10000,10000,0.0
2021-01-14,0,0,0,0.0
2021-01-26,0,0,0,0.0
2021-02-07,0,0,0,0.0
2021-02-19,0,0,0,0.0
2021-03-03,0,0,0,0.0
2021-03-15,0,0,0,0.0
2021-03-27,0,0,0,0.0
2021-04-08,0,0,0,0.0
2021-04-20,70000,70000,70000,0.0
2021-05-02,350000,350000,350000,0.0
2021-05-14,5000000,4940000,5060000,60000.0
2021-05-26,4100000,4090000,4100000,5000.0
2021-06-07,16430000,14640000,25800000,5580000.0
2021-06-19,27900000,24910000,41160000,8125000.0
2021-07-01,35960000,33310000,44430000,5560000.0
2021-07-13,36640000,33750000,47870000,7060000.0
2021-07-25,36790000,32400000,42520000,5060000.0
2021-08-06,40050000,33310000,48380000,7535000.0
2021-08-18,35460000,33610000,42960000,4675000.0
2021-08-30,41260000,35450000,59820000,12185000.0
2021-09-11,38490000,32860000,67080000,17110000.0
2021-09-23,59770000,57630000,103000000,22685000.0
2021-10-05,62750000,62660000,115240000,26290000.0
2021-10-17,23010000,22950000,109400000,43225000.0
2021-10-29,30000,30000,30000,0.0
2021-11-10,30000,30000,30000,0.0
2021-11-22,30000,30000,30000,0.0
2021-12-16,0,0,0,0.0
2021-12-28,10000,10000,10000,0.0
2022-01-09,0,0,0,0.0
2022-01-21,0,0,0,0.0
2022-02-02,0,0,0,0.0
2022-02-14,0,0,0,0.0
2022-02-26,0,0,0,0.0
2022-03-10,0,0,0,0.0
2022-03-22,0,0,0,0.0
2022-04-03,0,0,0,0.0
2022-04-15,0,0,0,0.0
2022-04-27,10000,10000,10000,0.0
2022-05-09,4200000,3530000,5640000,1055000.0
2022-05-21,7210000,6430000,10750000,2160000.0
2022-06-02,12560000,10950000,43960000,16505000.0
2022-06-14,22140000,19440000,42280000,11420000.0
2022-06-26,33350000,30550000,51760000,10605000.0
2022-07-08,39800000,36090000,45690000,4800000.0
2022-07-20,31060000,27520000,37670000,5075000.0
2022-08-01,41630000,37220000,54110000,8445000.0
2022-08-13,35950000,33100000,47000000,6950000.0
2022-08-25,38770000,34000000,56400000,11200000.0
2022-09-06,52520000,46380000,86880000,20250000.0
2022-09-18,56910000,52070000,100260000,24095000.0
2022-09-30,31540000,26420000,98530000,36055000.0
2022-10-12,23930000,17540000,70240000,26350000.0
2022-10-24,33690000,30670000,111150000,40240000.0
2022-11-05,18770000,18600000,110420000,45910000.0
2022-11-17,31010000,30910000,107250000,38170000.0
2022-11-29,30000,30000,30000,0.0
2022-12-11,30000,30000,30000,0.0
2022-12-23,70000,70000,70000,0.0
2023-01-04,0,0,0,0.0
2023-01-16,0,0,0,0.0
2023-01-28,10000,10000,10000,0.0
2023-02-09,0,0,0,0.0
2023-02-21,0,0,0,0.0
2023-03-05,0,0,0,0.0
2023-03-17,0,0,0,0.0
