,melt_extent_area_m2,melt_extent_area_min_m2,melt_extent_area_max_m2,melt_extent_area_diff_mean_m2
2017-06-04,94160000,89280000,99050000,4885000.0
2017-06-16,145110000,145090000,145130000,20000.0
2017-06-28,124490000,120590000,128400000,3905000.0
2017-07-10,136870000,133780000,139950000,3085000.0
2017-07-22,140840000,138430000,143260000,2415000.0
2017-08-03,139820000,137230000,142410000,2590000.0
2017-08-15,137910000,135060000,140750000,2845000.0
2017-08-27,132650000,128550000,136750000,4100000.0
2017-09-08,127200000,122520000,131860000,4670000.0
2017-09-20,145130000,145130000,145130000,0.0
2017-10-02,145130000,145130000,145130000,0.0
2017-10-14,34110000,8620000,59600000,25490000.0
2017-10-26,16390000,90000,32760000,16335000.0
2017-11-07,4970000,10000,9950000,4970000.0
2017-11-19,670000,0,1350000,675000.0
2017-12-01,160000,10000,330000,160000.0
2017-12-13,50000,10000,110000,50000.0
2017-12-25,30000,10000,70000,30000.0
2018-01-06,30000,10000,70000,30000.0
2018-01-18,10000,0,30000,15000.0
2018-01-30,0,0,0,0.0
2018-02-11,20000,0,50000,25000.0
2018-02-23,10000,0,30000,15000.0
2018-03-07,0,0,10000,5000.0
2018-03-19,20000,0,50000,25000.0
2018-03-31,30000,10000,70000,30000.0
2018-04-12,20000,0,50000,25000.0
2018-04-24,90000,10000,190000,90000.0
2018-05-06,2370000,150000,4620000,2235000.0
2018-05-18,33060000,28440000,37690000,4625000.0
2018-05-30,47140000,44230000,50040000,2905000.0
2018-06-11,83020000,78470000,87610000,4570000.0
2018-06-23,115670000,111740000,119640000,3950000.0
2018-07-05,131120000,125610000,136600000,5495000.0
2018-07-17,117110000,113330000,120890000,3780000.0
2018-07-29,139680000,137700000,141660000,1980000.0
2018-08-10,138910000,137590000,140230000,1320000.0
2018-08-22,136130000,134770000,137490000,1360000.0
2018-09-03,129580000,125760000,133400000,3820000.0
2018-09-15,129070000,126080000,132060000,2990000.0
2018-09-27,123610000,119450000,127750000,4150000.0
2018-10-09,119550000,114600000,124530000,4965000.0
2018-10-21,115990000,110260000,121700000,5720000.0
2018-11-02,28040000,60000,56030000,27985000.0
2018-11-14,20590000,60000,41190000,20565000.0
2018-11-26,11500000,0,23010000,11505000.0
2018-12-08,3010000,10000,6030000,3010000.0
2018-12-20,810000,20000,1630000,805000.0
2019-01-01,140000,10000,290000,140000.0
2019-01-13,30000,10000,70000,30000.0
2019-01-25,0,0,10000,5000.0
2019-02-06,40000,0,90000,45000.0
2019-02-18,10000,0,30000,15000.0
2019-03-02,110000,0,230000,115000.0
2019-03-14,110000,0,230000,115000.0
2019-03-26,120000,10000,250000,120000.0
2019-04-07,110000,0,230000,115000.0
2019-04-19,210000,0,430000,215000.0
2019-05-01,610000,10000,1230000,610000.0
2019-05-13,1500000,10000,3010000,1500000.0
2019-05-25,75350000,67420000,83330000,7955000.0
2019-06-06,87690000,80970000,94500000,6765000.0
2019-06-18,118040000,112760000,123340000,5290000.0
2019-06-30,142800000,141940000,143660000,860000.0
2019-07-12,142720000,141520000,143920000,1200000.0
2019-07-24,143040000,141940000,144140000,1100000.0
2019-08-05,143730000,143090000,144380000,645000.0
2019-08-17,142580000,141600000,143570000,985000.0
2019-08-29,140420000,138760000,142080000,1660000.0
2019-09-10,131540000,123930000,139160000,7615000.0
2019-09-22,116550000,101530000,131560000,15015000.0
2019-10-04,65270000,23720000,106810000,41545000.0
2019-10-16,23870000,90000,47670000,23790000.0
2019-10-28,94870000,81070000,108730000,13830000.0
2019-11-09,7850000,70000,15700000,7815000.0
2019-11-21,4890000,10000,9780000,4885000.0
2019-12-03,3100000,40000,6210000,3085000.0
2019-12-15,2240000,0,4490000,2245000.0
2019-12-27,1640000,20000,3290000,1635000.0
2020-01-08,760000,30000,1530000,750000.0
2020-01-20,210000,0,430000,215000.0
2020-02-01,80000,0,170000,85000.0
2020-02-13,40000,0,90000,45000.0
2020-02-25,50000,10000,110000,50000.0
2020-03-08,50000,10000,110000,50000.0
2020-03-20,20000,0,50000,25000.0
2020-04-01,0,0,10000,5000.0
2020-04-13,2230000,1800000,2670000,435000.0
2020-04-25,23690000,22030000,25330000,1650000.0
2020-05-07,16960000,13950000,19980000,3015000.0
2020-05-19,61030000,56000000,66080000,5040000.0
2020-05-31,78460000,75170000,81800000,3315000.0
2020-06-12,101040000,94640000,107500000,6430000.0
2020-06-24,111070000,107010000,115130000,4060000.0
2020-07-06,128590000,124820000,132330000,3755000.0
2020-07-18,116950000,112570000,121380000,4405000.0
2020-07-30,135640000,132680000,138600000,2960000.0
2020-08-11,119030000,114960000,123100000,4070000.0
2020-08-23,114460000,110580000,118450000,3935000.0
2020-09-04,110440000,106840000,114050000,3605000.0
2020-09-16,107830000,104500000,111150000,3325000.0
2020-09-28,103530000,100070000,106940000,3435000.0
2020-10-10,101030000,98090000,104010000,2960000.0
2020-10-22,31440000,30000,62880000,31425000.0
2020-11-03,23520000,60000,47030000,23485000.0
2020-11-15,17090000,30000,34180000,17075000.0
2020-11-27,11850000,50000,23710000,11830000.0
2020-12-09,5420000,10000,10850000,5420000.0
2020-12-21,1160000,10000,2330000,1160000.0
2021-01-02,60000,20000,130000,55000.0
2021-01-14,20000,0,50000,25000.0
2021-01-26,0,0,10000,5000.0
2021-02-07,20000,0,50000,25000.0
2021-02-19,30000,10000,70000,30000.0
2021-03-03,20000,0,50000,25000.0
2021-03-15,10000,0,30000,15000.0
2021-03-27,10000,0,30000,15000.0
2021-04-08,10000,0,30000,15000.0
2021-04-20,1880000,80000,3700000,1810000.0
2021-05-02,6760000,360000,13140000,6390000.0
2021-05-14,15940000,5080000,26810000,10865000.0
2021-05-26,21050000,4150000,37910000,16880000.0
2021-06-07,56930000,53260000,60610000,3675000.0
2021-06-19,114880000,111530000,118260000,3365000.0
2021-07-01,125770000,120750000,130800000,5025000.0
2021-07-13,121310000,117810000,124810000,3500000.0
2021-07-25,140730000,139170000,142270000,1550000.0
2021-08-06,141170000,139450000,142890000,1720000.0
2021-08-18,137290000,134730000,139840000,2555000.0
2021-08-30,133930000,130890000,136940000,3025000.0
2021-09-11,129750000,125920000,133570000,3825000.0
2021-09-23,126160000,122190000,130170000,3990000.0
2021-10-05,120560000,115590000,125560000,4985000.0
2021-10-17,114980000,109470000,120480000,5505000.0
2021-10-29,109350000,104010000,114720000,5355000.0
2021-11-10,20570000,40000,41150000,20555000.0
2021-11-22,14770000,50000,29550000,14750000.0
2021-12-16,2820000,0,5650000,2825000.0
2021-12-28,750000,20000,1510000,745000.0
2022-01-09,10000,0,30000,15000.0
2022-01-21,10000,0,30000,15000.0
2022-02-02,0,0,10000,5000.0
2022-02-14,0,0,10000,5000.0
2022-02-26,0,0,10000,5000.0
2022-03-10,0,0,10000,5000.0
2022-03-22,0,0,10000,5000.0
2022-04-03,10000,0,30000,15000.0
2022-04-15,0,0,10000,5000.0
2022-04-27,410000,30000,800000,385000.0
2022-05-09,13420000,11080000,15770000,2345000.0
2022-05-21,32640000,26220000,39100000,6440000.0
2022-06-02,93320000,83240000,103390000,10075000.0
2022-06-14,111520000,103260000,119830000,8285000.0
2022-06-26,128400000,124980000,131820000,3420000.0
2022-07-08,140780000,138420000,143130000,2355000.0
2022-07-20,139130000,136730000,141550000,2410000.0
2022-08-01,138340000,136090000,140600000,2255000.0
2022-08-13,137190000,135110000,139260000,2075000.0
2022-08-25,132920000,129900000,135940000,3020000.0
2022-09-06,128500000,124310000,132700000,4195000.0
2022-09-18,122650000,116880000,128400000,5760000.0
2022-09-30,117170000,108520000,125810000,8645000.0
2022-10-12,98950000,77100000,120770000,21835000.0
2022-10-24,116770000,111720000,121830000,5055000.0
2022-11-05,115490000,110620000,120320000,4850000.0
2022-11-17,112640000,107380000,117870000,5245000.0
2022-11-29,31530000,50000,63020000,31485000.0
2022-12-11,26040000,40000,52060000,26010000.0
2022-12-23,14630000,80000,29270000,14595000.0
2023-01-04,8200000,0,16410000,8205000.0
2023-01-16,4030000,10000,8070000,4030000.0
2023-01-28,1130000,30000,2270000,1120000.0
2023-02-09,140000,10000,290000,140000.0
2023-02-21,40000,0,90000,45000.0
2023-03-05,80000,0,170000,85000.0
2023-03-17,10000,0,30000,15000.0
2023-03-29,0,0,0,0.0
2023-04-10,20000,0,50000,25000.0
2023-04-22,140000,10000,290000,140000.0
2023-05-04,620000,30000,1240000,605000.0
2023-05-16,20460000,16600000,24310000,3855000.0
2023-05-28,50980000,47200000,54780000,3790000.0
2023-06-09,97160000,92750000,101540000,4395000.0
2023-06-21,119550000,118200000,120980000,1390000.0
2023-07-03,123020000,120670000,125390000,2360000.0
2023-07-15,140180000,139180000,141180000,1000000.0
2023-07-27,141590000,139930000,143260000,1665000.0
2023-08-08,141500000,139680000,143320000,1820000.0
2023-09-01,140430000,139190000,141660000,1235000.0
2023-09-13,136560000,133470000,139640000,3085000.0
2023-09-25,135290000,132540000,138040000,2750000.0
2023-10-07,91300000,54190000,128250000,37030000.0
2023-10-19,123570000,116110000,131010000,7450000.0
2023-10-31,41760000,1570000,82030000,40230000.0
2023-11-12,33840000,340000,67370000,33515000.0
2023-11-24,24200000,120000,48300000,24090000.0
2023-12-06,14860000,50000,29700000,14825000.0
2023-12-18,8480000,20000,16970000,8475000.0
2023-12-30,5090000,20000,10190000,5085000.0
2024-01-11,2640000,0,5290000,2645000.0
2024-02-16,270000,0,550000,275000.0
2024-02-28,250000,0,510000,255000.0
2024-03-11,220000,0,450000,225000.0
2024-03-23,200000,0,410000,205000.0
2024-04-04,180000,0,370000,185000.0
2024-04-16,220000,0,450000,225000.0
2024-04-28,2810000,50000,5630000,2790000.0
2024-05-10,8010000,160000,15900000,7870000.0
2024-05-22,41950000,38960000,44940000,2990000.0
2024-06-03,59900000,54710000,65040000,5165000.0
2024-06-15,97150000,90500000,103770000,6635000.0
2024-06-27,133960000,129920000,138000000,4040000.0
2024-07-09,137150000,134650000,139640000,2495000.0
2024-07-21,135390000,132540000,138220000,2840000.0
2024-08-02,136700000,134990000,138420000,1715000.0
2024-08-14,139790000,138670000,140910000,1120000.0
2024-08-26,137280000,135510000,139060000,1775000.0
2024-09-07,131790000,128520000,135060000,3270000.0
2024-09-19,120290000,109450000,131110000,10830000.0
2024-10-01,124580000,119150000,130020000,5435000.0
2024-10-25,33480000,490000,66520000,33015000.0
2024-11-06,24910000,270000,49600000,24665000.0
2024-11-18,13000000,10000,26000000,12995000.0
2024-11-30,6610000,10000,13230000,6610000.0
2024-12-12,3380000,10000,6770000,3380000.0
2024-12-24,1710000,40000,3430000,1695000.0
