,snowline_elev_m,snowline_elev_min_m,snowline_elev_max_m,snowline_elev_diff_mean_m
2017-06-04,1655.0,1613.0,1976.0,181.5
2017-06-16,1779.0,1730.0,2287.0,278.5
2017-06-28,1690.0,1651.0,1842.0,95.5
2017-07-10,1793.0,1765.0,2060.0,147.5
2017-07-22,1870.0,1786.0,2021.0,117.5
2017-08-03,1936.0,1813.0,2072.0,129.5
2017-08-15,1813.0,1760.0,2039.0,139.5
2017-08-27,1965.0,1762.0,2552.0,395.0
2017-09-08,2268.0,2202.0,2945.0,371.5
2017-09-20,2364.0,2320.0,2609.0,144.5
2017-10-02,1829.0,1775.0,2392.0,308.5
2017-10-14,1352.0,1228.0,1426.0,99.0
2017-10-26,1180.0,1180.0,1180.0,0.0
2017-11-07,1180.0,1180.0,1180.0,0.0
2017-11-19,1180.0,1180.0,1180.0,0.0
2017-12-01,1180.0,1180.0,1180.0,0.0
2017-12-13,1180.0,1180.0,1180.0,0.0
2017-12-25,1180.0,1180.0,1180.0,0.0
2018-01-06,1958.0,1958.0,4148.0,1095.0
2018-01-18,1180.0,1180.0,1180.0,0.0
2018-01-30,1180.0,1180.0,1180.0,0.0
2018-02-11,1180.0,1180.0,1180.0,0.0
2018-02-23,1180.0,1180.0,1180.0,0.0
2018-03-07,1180.0,1180.0,1180.0,0.0
2018-03-19,1180.0,1180.0,1180.0,0.0
2018-03-31,1180.0,1180.0,1180.0,0.0
2018-04-12,1180.0,1180.0,1180.0,0.0
2018-04-24,1194.0,1194.0,1194.0,0.0
2018-05-06,1228.0,1192.0,1277.0,42.5
2018-05-18,1493.0,1437.0,1581.0,72.0
2018-05-30,1432.0,1412.0,1495.0,41.5
2018-06-11,1490.0,1483.0,1650.0,83.5
2018-06-23,1761.0,1713.0,2111.0,199.0
2018-07-05,1836.0,1786.0,2160.0,187.0
2018-07-17,1802.0,1769.0,2199.0,215.0
2018-07-29,1939.0,1846.0,2042.0,98.0
2018-08-10,1781.0,1726.0,1873.0,73.5
2018-08-22,1809.0,1785.0,2041.0,128.0
2018-09-03,2100.0,1859.0,2426.0,283.5
2018-09-15,2279.0,2230.0,2791.0,280.5
2018-09-27,2366.0,2348.0,2568.0,110.0
2018-10-09,2432.0,2420.0,3071.0,325.5
2018-10-21,1838.0,1769.0,3072.0,651.5
2018-11-02,1958.0,1958.0,3020.0,531.0
2018-11-14,1180.0,1180.0,1180.0,0.0
2018-11-26,1191.0,1191.0,1191.0,0.0
2018-12-08,1180.0,1180.0,1180.0,0.0
2018-12-20,1180.0,1180.0,1180.0,0.0
2019-01-01,1180.0,1180.0,1180.0,0.0
2019-01-13,1180.0,1180.0,1180.0,0.0
2019-01-25,1180.0,1180.0,1180.0,0.0
2019-02-06,1180.0,1180.0,1180.0,0.0
2019-02-18,1180.0,1180.0,1180.0,0.0
2019-03-02,1180.0,1180.0,1180.0,0.0
2019-03-14,1180.0,1180.0,1180.0,0.0
2019-03-26,1180.0,1180.0,1180.0,0.0
2019-04-07,1180.0,1180.0,1180.0,0.0
2019-04-19,1180.0,1180.0,1180.0,0.0
2019-05-01,1180.0,1180.0,1180.0,0.0
2019-05-13,1180.0,1180.0,1180.0,0.0
2019-05-25,1682.0,1639.0,2356.0,358.5
2019-06-06,2016.0,1738.0,2381.0,321.5
2019-06-18,1664.0,1638.0,1846.0,104.0
2019-06-30,1864.0,1809.0,2277.0,234.0
2019-07-12,1786.0,1727.0,1904.0,88.5
2019-07-24,1813.0,1759.0,1921.0,81.0
2019-08-05,1896.0,1781.0,2090.0,154.5
2019-08-17,1772.0,1722.0,2157.0,217.5
2019-08-29,1818.0,1769.0,3342.0,786.5
2019-09-10,1845.0,1750.0,3209.0,729.5
2019-09-22,1517.0,1475.0,2289.0,407.0
2019-10-04,1812.0,1754.0,2449.0,347.5
2019-10-16,1750.0,1741.0,2106.0,182.5
2019-10-28,1501.0,1353.0,1772.0,209.5
2019-11-09,1191.0,1191.0,1191.0,0.0
2019-11-21,1180.0,1180.0,1180.0,0.0
2019-12-03,1180.0,1180.0,1180.0,0.0
2019-12-15,1180.0,1180.0,1180.0,0.0
2019-12-27,1180.0,1180.0,1180.0,0.0
2020-01-08,1180.0,1180.0,1180.0,0.0
2020-01-20,1180.0,1180.0,1180.0,0.0
2020-02-01,1180.0,1180.0,1180.0,0.0
2020-02-13,1180.0,1180.0,1180.0,0.0
2020-02-25,1180.0,1180.0,1180.0,0.0
2020-03-08,1180.0,1180.0,1180.0,0.0
2020-03-20,1180.0,1180.0,1180.0,0.0
2020-04-01,1180.0,1180.0,1180.0,0.0
2020-04-13,1180.0,1180.0,1180.0,0.0
2020-04-25,1180.0,1180.0,1256.0,38.0
2020-05-07,1214.0,1204.0,1311.0,53.5
2020-05-19,1442.0,1412.0,1703.0,145.5
2020-05-31,1538.0,1512.0,1723.0,105.5
2020-06-12,1672.0,1634.0,1971.0,168.5
2020-06-24,1706.0,1663.0,1892.0,114.5
2020-07-06,1781.0,1751.0,1845.0,47.0
2020-07-18,1841.0,1790.0,2061.0,135.5
2020-07-30,1892.0,1838.0,1982.0,72.0
2020-08-11,1829.0,1779.0,2111.0,166.0
2020-08-23,1875.0,1797.0,2188.0,195.5
2020-09-04,1714.0,1651.0,2249.0,299.0
2020-09-16,2251.0,2192.0,2466.0,137.0
2020-09-28,1833.0,1758.0,2432.0,337.0
2020-10-10,1904.0,1856.0,2542.0,343.0
2020-10-22,1946.0,1939.0,2780.0,420.5
2020-11-03,1191.0,1191.0,1191.0,0.0
2020-11-15,1180.0,1180.0,1180.0,0.0
2020-11-27,1180.0,1180.0,1180.0,0.0
2020-12-09,1180.0,1180.0,1180.0,0.0
2020-12-21,1192.0,1192.0,1192.0,0.0
2021-01-02,1180.0,1180.0,1180.0,0.0
2021-01-14,1180.0,1180.0,1180.0,0.0
2021-01-26,1180.0,1180.0,1180.0,0.0
2021-02-07,1180.0,1180.0,1180.0,0.0
2021-02-19,1180.0,1180.0,1180.0,0.0
2021-03-03,1180.0,1180.0,1180.0,0.0
2021-03-15,1180.0,1180.0,1180.0,0.0
2021-03-27,1180.0,1180.0,1180.0,0.0
2021-04-08,1180.0,1180.0,1180.0,0.0
2021-04-20,1293.0,1229.0,1343.0,57.0
2021-05-02,1295.0,1293.0,1298.0,2.5
2021-05-14,1288.0,1286.0,1288.0,1.0
2021-05-26,1707.0,1607.0,1841.0,117.0
2021-06-07,1538.0,1509.0,1754.0,122.5
2021-06-19,1630.0,1587.0,1723.0,68.0
2021-07-01,1775.0,1730.0,1959.0,114.5
2021-07-13,1762.0,1708.0,1969.0,130.5
2021-07-25,1785.0,1744.0,1901.0,78.5
2021-08-06,1907.0,1812.0,2041.0,114.5
2021-08-18,1817.0,1775.0,1987.0,106.0
2021-08-30,1841.0,1769.0,2184.0,207.5
2021-09-11,1767.0,1688.0,2217.0,264.5
2021-09-23,1962.0,1687.0,2503.0,408.0
2021-10-05,2361.0,2335.0,2836.0,250.5
2021-10-17,1942.0,1936.0,2969.0,516.5
2021-10-29,1191.0,1191.0,1191.0,0.0
2021-11-10,1180.0,1180.0,1180.0,0.0
2021-11-22,1180.0,1180.0,1180.0,0.0
2021-12-16,1180.0,1180.0,1180.0,0.0
2021-12-28,1180.0,1180.0,1180.0,0.0
2022-01-09,1180.0,1180.0,1180.0,0.0
2022-01-21,1180.0,1180.0,1180.0,0.0
2022-02-02,1180.0,1180.0,1180.0,0.0
2022-02-14,1180.0,1180.0,1180.0,0.0
2022-02-26,1180.0,1180.0,1180.0,0.0
