,snowline_area_m2,snowline_area_min_m2,snowline_area_max_m2,snowline_area_diff_mean_m2
2017-06-04,6560000,5740000,10610000,2435000.0
2017-06-16,8580000,7790000,15120000,3665000.0
2017-06-28,7120000,6500000,9460000,1480000.0
2017-07-10,8860000,8300000,11470000,1585000.0
2017-07-22,9710000,8770000,11090000,1160000.0
2017-08-03,10270000,9120000,11610000,1245000.0
2017-08-15,9130000,8210000,11220000,1505000.0
2017-08-27,10510000,8250000,20300000,6025000.0
2017-09-08,14710000,13240000,23600000,5180000.0
2017-09-20,16870000,15860000,20950000,2545000.0
2017-10-02,9230000,8490000,17510000,4510000.0
2017-10-14,1220000,140000,2310000,1085000.0
2017-10-26,0,0,0,0.0
2017-11-07,0,0,0,0.0
2017-11-19,0,0,0,0.0
2017-12-01,0,0,0,0.0
2017-12-13,0,0,0,0.0
2017-12-25,0,0,0,0.0
2018-01-06,10440000,10440000,37580000,13570000.0
2018-01-18,0,0,0,0.0
2018-01-30,0,0,0,0.0
2018-02-11,0,0,0,0.0
2018-02-23,0,0,0,0.0
2018-03-07,0,0,0,0.0
2018-03-19,0,0,0,0.0
2018-03-31,0,0,0,0.0
2018-04-12,0,0,0,0.0
2018-04-24,30000,30000,30000,0.0
2018-05-06,140000,20000,480000,230000.0
2018-05-18,3470000,2480000,5250000,1385000.0
2018-05-30,2390000,2040000,3510000,735000.0
2018-06-11,3390000,3240000,6480000,1620000.0
2018-06-23,8240000,7560000,12000000,2220000.0
2018-07-05,9340000,8780000,12630000,1925000.0
2018-07-17,8980000,8360000,13190000,2415000.0
2018-07-29,10290000,9530000,11310000,890000.0
2018-08-10,8610000,7730000,9740000,1005000.0
2018-08-22,9050000,8750000,11270000,1260000.0
2018-09-03,11920000,9640000,18320000,4340000.0
2018-09-15,14930000,13790000,22500000,4355000.0
2018-09-27,16950000,16480000,20520000,2020000.0
2018-10-09,18420000,18190000,24670000,3240000.0
2018-10-21,9360000,8360000,24700000,8170000.0
2018-11-02,10440000,10440000,24170000,6865000.0
2018-11-14,0,0,0,0.0
2018-11-26,10000,10000,10000,0.0
2018-12-08,0,0,0,0.0
2018-12-20,0,0,0,0.0
2019-01-01,0,0,0,0.0
2019-01-13,0,0,0,0.0
2019-01-25,0,0,0,0.0
2019-02-06,0,0,0,0.0
2019-02-18,0,0,0,0.0
2019-03-02,0,0,0,0.0
2019-03-14,0,0,0,0.0
2019-03-26,0,0,0,0.0
2019-04-07,0,0,0,0.0
2019-04-19,0,0,0,0.0
2019-05-01,0,0,0,0.0
2019-05-13,0,0,0,0.0
2019-05-25,7030000,6240000,16690000,5225000.0
2019-06-06,11010000,7880000,17290000,4705000.0
2019-06-18,6730000,6190000,9550000,1680000.0
2019-06-30,9680000,9050000,14910000,2930000.0
2019-07-12,8770000,7750000,10030000,1140000.0
