Elev_m,area_m2
1075,30000.0
1085,40000.0
1095,40000.0
1105,60000.0
1115,80000.0
1125,50000.0
1135,100000.0
1145,60000.0
1155,130000.0
1165,80000.0
1175,90000.0
1185,100000.0
1195,90000.0
1205,80000.0
1215,80000.0
1225,70000.0
1235,90000.0
1245,70000.0
1255,80000.0
1265,80000.0
1275,80000.0
1285,70000.0
1295,40000.0
1305,80000.0
1315,80000.0
1325,60000.0
1335,60000.0
1345,70000.0
1355,60000.0
1365,90000.0
1375,50000.0
1385,100000.0
1395,120000.0
1405,80000.0
1415,120000.0
1425,40000.0
1435,70000.0
1445,80000.0
1455,70000.0
1465,100000.0
1475,50000.0
1485,80000.0
1495,90000.0
1505,70000.0
1515,80000.0
1525,80000.0
1535,50000.0
1545,80000.0
1555,80000.0
1565,80000.0
1575,60000.0
1585,80000.0
1595,60000.0
1605,80000.0
1615,70000.0
1625,90000.0
1635,60000.0
1645,80000.0
1655,90000.0
1665,80000.0
1675,70000.0
1685,70000.0
1695,90000.0
1705,60000.0
1715,90000.0
1725,90000.0
1735,80000.0
1745,60000.0
1755,40000.0
1765,120000.0
1775,60000.0
1785,100000.0
1795,60000.0
1805,120000.0
1815,90000.0
1825,110000.0
1835,140000.0
1845,130000.0
1855,100000.0
1865,10000.0
1875,80000.0
1885,80000.0
1895,110000.0
1905,120000.0
1915,80000.0
1925,80000.0
1935,70000.0
1945,70000.0
1955,100000.0
1965,130000.0
1975,110000.0
1985,120000.0
1995,140000.0
2005,130000.0
2015,160000.0
2025,160000.0
2035,140000.0
2045,160000.0
2055,160000.0
2065,220000.0
2075,180000.0
2085,140000.0
2095,160000.0
2105,150000.0
2115,210000.0
2125,200000.0
2135,190000.0
2145,140000.0
2155,220000.0
2165,200000.0
2175,160000.0
2185,260000.0
2195,190000.0
2205,240000.0
2215,240000.0
2225,270000.0
2235,300000.0
2245,240000.0
2255,320000.0
2265,260000.0
2275,280000.0
2285,210000.0
2295,250000.0
2305,230000.0
2315,200000.0
2325,230000.0
2335,270000.0
2345,220000.0
2355,250000.0
2365,220000.0
2375,190000.0
2385,330000.0
2395,200000.0
2405,280000.0
2415,200000.0
2425,270000.0
2435,230000.0
2445,280000.0
2455,230000.0
2465,290000.0
2475,260000.0
2485,210000.0
2495,330000.0
2505,170000.0
2515,290000.0
2525,320000.0
2535,250000.0
2545,240000.0
2555,210000.0
2565,290000.0
2575,190000.0
2585,260000.0
2595,260000.0
2605,210000.0
2615,290000.0
2625,300000.0
2635,210000.0
2645,220000.0
2655,140000.0
2665,220000.0
2675,160000.0
2685,120000.0
2695,130000.0
2705,150000.0
2715,150000.0
2725,130000.0
2735,130000.0
2745,170000.0
2755,150000.0
2765,140000.0
2775,110000.0
2785,130000.0
2795,140000.0
2805,100000.0
2815,100000.0
2825,140000.0
2835,80000.0
2845,120000.0
2855,100000.0
2865,80000.0
2875,90000.0
2885,110000.0
2895,70000.0
2905,50000.0
2915,110000.0
2925,80000.0
2935,70000.0
2945,120000.0
2955,60000.0
2965,100000.0
2975,100000.0
2985,80000.0
2995,110000.0
3005,70000.0
3015,110000.0
3025,60000.0
3035,100000.0
3045,90000.0
3055,80000.0
3065,90000.0
3075,90000.0
3085,100000.0
3095,100000.0
3105,90000.0
3115,110000.0
3125,110000.0
3135,160000.0
3145,140000.0
3155,120000.0
3165,150000.0
3175,130000.0
3185,130000.0
3195,140000.0
3205,110000.0
3215,100000.0
3225,100000.0
3235,60000.0
3245,60000.0
3255,70000.0
3265,60000.0
3275,70000.0
3285,40000.0
3295,70000.0
3305,30000.0
3315,40000.0
3325,30000.0
3335,10000.0
3345,10000.0
3355,0.0
3365,10000.0
