,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2678.0,2621.0,2765.0,72.0
2017-06-16,2633.0,2540.0,2782.0,121.0
2017-06-28,3109.0,3089.0,3123.0,17.0
2017-07-10,3268.0,3222.0,3329.0,53.5
2017-07-22,3228.0,3179.0,3364.0,92.5
2017-08-03,3224.0,3178.0,3364.0,93.0
2017-08-15,3234.0,3187.0,3364.0,88.5
2017-08-27,3233.0,3185.0,3340.0,77.5
2017-09-08,3185.0,3120.0,3283.0,81.5
2017-09-20,3070.0,2861.0,3219.0,179.0
2017-10-02,2969.0,2774.0,3161.0,193.5
2017-10-14,2597.0,2372.0,3031.0,329.5
2017-10-26,2167.0,1332.0,2510.0,589.0
2017-11-07,1511.0,1133.0,1892.0,379.5
2017-11-19,1182.0,1071.0,1285.0,107.0
2017-12-01,1112.0,1071.0,1137.0,33.0
2017-12-13,1085.0,1071.0,1102.0,15.5
2017-12-25,1071.0,1071.0,1071.0,0.0
2018-01-06,1071.0,1071.0,1071.0,0.0
2018-01-18,1071.0,1071.0,1071.0,0.0
2018-01-30,1071.0,1071.0,1071.0,0.0
2018-02-11,1071.0,1071.0,1071.0,0.0
2018-02-23,1071.0,1071.0,1071.0,0.0
2018-03-07,1071.0,1071.0,1071.0,0.0
2018-03-19,1071.0,1071.0,1071.0,0.0
2018-03-31,1071.0,1071.0,1071.0,0.0
2018-04-12,1071.0,1071.0,1071.0,0.0
2018-04-24,1072.0,1071.0,1085.0,7.0
2018-05-06,1209.0,1183.0,1234.0,25.5
2018-05-18,2027.0,2001.0,2054.0,26.5
2018-05-30,2245.0,2209.0,2279.0,35.0
2018-06-11,2656.0,2623.0,2701.0,39.0
2018-06-23,2923.0,2911.0,2941.0,15.0
2018-07-05,3234.0,3199.0,3288.0,44.5
2018-07-17,3029.0,3006.0,3050.0,22.0
2018-07-29,3297.0,3268.0,3364.0,48.0
2018-08-10,3298.0,3271.0,3344.0,36.5
2018-08-22,3283.0,3244.0,3364.0,60.0
2018-09-03,3298.0,3271.0,3344.0,36.5
2018-09-15,3259.0,3213.0,3340.0,63.5
2018-09-27,3205.0,3149.0,3319.0,85.0
2018-10-09,3085.0,2842.0,3293.0,225.5
2018-10-21,2776.0,2529.0,3256.0,363.5
2018-11-02,3193.0,3165.0,3228.0,31.5
2018-11-14,3167.0,3148.0,3189.0,20.5
2018-11-26,3134.0,3109.0,3150.0,20.5
2018-12-08,1397.0,1071.0,1711.0,320.0
2018-12-20,1171.0,1071.0,1251.0,90.0
2019-01-01,1085.0,1071.0,1102.0,15.5
2019-01-13,1072.0,1071.0,1085.0,7.0
2019-01-25,1071.0,1071.0,1071.0,0.0
2019-02-06,1071.0,1071.0,1071.0,0.0
2019-02-18,1071.0,1071.0,1071.0,0.0
2019-03-02,1071.0,1071.0,1071.0,0.0
2019-03-14,1071.0,1071.0,1071.0,0.0
2019-03-26,1085.0,1071.0,1096.0,12.5
2019-04-07,1071.0,1071.0,1071.0,0.0
2019-04-19,1297.0,1247.0,1345.0,49.0
2019-05-01,1400.0,1201.0,1590.0,194.5
2019-05-13,1960.0,1892.0,2006.0,57.0
2019-05-25,2658.0,2603.0,2741.0,69.0
2019-06-06,2748.0,2704.0,2800.0,48.0
2019-06-18,2984.0,2969.0,3000.0,15.5
2019-06-30,3283.0,3244.0,3364.0,60.0
2019-07-12,3268.0,3223.0,3364.0,70.5
2019-07-24,3276.0,3234.0,3344.0,55.0
2019-08-05,3268.0,3223.0,3364.0,70.5
2019-08-17,3279.0,3239.0,3364.0,62.5
2019-08-29,3213.0,3157.0,3344.0,93.5
2019-09-10,3221.0,3168.0,3364.0,98.0
2019-09-22,3124.0,2917.0,3364.0,223.5
2019-10-04,2686.0,2540.0,2984.0,222.0
2019-10-16,2307.0,2111.0,2493.0,191.0
2019-10-28,2461.0,2340.0,2578.0,119.0
2019-11-09,2004.0,1739.0,2153.0,207.0
2019-11-21,3221.0,3211.0,3230.0,9.5
2019-12-03,3202.0,3195.0,3209.0,7.0
2019-12-15,3188.0,3185.0,3191.0,3.0
2019-12-27,1166.0,1071.0,1242.0,85.5
2020-01-08,1112.0,1071.0,1137.0,33.0
2020-01-20,1085.0,1071.0,1102.0,15.5
2020-02-01,1082.0,1071.0,1094.0,11.5
2020-02-13,1071.0,1071.0,1071.0,0.0
2020-02-25,1071.0,1071.0,1071.0,0.0
2020-03-08,1071.0,1071.0,1071.0,0.0
2020-03-20,1071.0,1071.0,1071.0,0.0
2020-04-01,1071.0,1071.0,1071.0,0.0
2020-04-13,1251.0,1232.0,1273.0,20.5
2020-04-25,1881.0,1844.0,1910.0,33.0
2020-05-07,1838.0,1738.0,1941.0,101.5
2020-05-19,2497.0,2448.0,2548.0,50.0
2020-05-31,2576.0,2538.0,2612.0,37.0
2020-06-12,2741.0,2660.0,2842.0,91.0
2020-06-24,2921.0,2899.0,2948.0,24.5
2020-07-06,3327.0,3309.0,3364.0,27.5
