,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2862.0,2788.0,2923.0,67.5
2017-06-16,3100.0,3014.0,3223.0,104.5
2017-06-28,3193.0,3132.0,3238.0,53.0
2017-07-10,3383.0,3348.0,3416.0,34.0
2017-07-22,3443.0,3404.0,3476.0,36.0
2017-08-03,3426.0,3388.0,3457.0,34.5
2017-08-15,3401.0,3365.0,3431.0,33.0
2017-08-27,3327.0,3284.0,3371.0,43.5
2017-09-08,3253.0,3200.0,3316.0,58.0
2017-09-20,3177.0,3095.0,3250.0,77.5
2017-10-02,3120.0,3055.0,3216.0,80.5
2017-10-14,2961.0,2750.0,3096.0,173.0
2017-10-26,1039.0,779.0,1858.0,539.5
2017-11-07,775.0,640.0,900.0,130.0
2017-11-19,667.0,593.0,701.0,54.0
2017-12-01,636.0,599.0,659.0,30.0
2017-12-13,685.0,600.0,736.0,68.0
2017-12-25,616.0,594.0,622.0,14.0
2018-01-06,616.0,594.0,622.0,14.0
2018-01-18,616.0,594.0,622.0,14.0
2018-01-30,616.0,597.0,623.0,13.0
2018-02-11,603.0,593.0,616.0,11.5
2018-02-23,613.0,593.0,621.0,14.0
2018-03-07,616.0,593.0,622.0,14.5
2018-03-19,620.0,599.0,627.0,14.0
2018-03-31,621.0,597.0,630.0,16.5
2018-04-12,627.0,603.0,643.0,20.0
2018-04-24,806.0,753.0,869.0,58.0
2018-05-06,1154.0,1100.0,1213.0,56.5
2018-05-18,2131.0,2047.0,2226.0,89.5
2018-05-30,2383.0,2280.0,2462.0,91.0
2018-06-11,2962.0,2851.0,3048.0,98.5
2018-06-23,3118.0,3020.0,3253.0,116.5
2018-07-05,3453.0,3301.0,3569.0,134.0
2018-07-17,3314.0,3156.0,3455.0,149.5
2018-07-29,3704.0,3675.0,3773.0,49.0
2018-08-10,3642.0,3631.0,3657.0,13.0
2018-08-22,3714.0,3682.0,3781.0,49.5
2018-09-03,3534.0,3511.0,3562.0,25.5
2018-09-15,3458.0,3429.0,3486.0,28.5
2018-09-27,3354.0,3288.0,3420.0,66.0
2018-10-09,3246.0,3143.0,3351.0,104.0
2018-10-21,3099.0,2953.0,3281.0,164.0
2018-11-02,2828.0,2279.0,3119.0,420.0
2018-11-14,940.0,652.0,1365.0,356.5
2018-11-26,825.0,623.0,975.0,176.0
2018-12-08,751.0,628.0,885.0,128.5
2018-12-20,673.0,594.0,711.0,58.5
2019-01-01,621.0,599.0,630.0,15.5
2019-01-13,616.0,594.0,622.0,14.0
2019-01-25,808.0,763.0,860.0,48.5
2019-02-06,599.0,594.0,603.0,4.5
2019-02-18,599.0,593.0,600.0,3.5
2019-03-02,593.0,593.0,594.0,0.5
2019-03-14,597.0,593.0,599.0,3.0
2019-03-26,775.0,695.0,863.0,84.0
2019-04-07,638.0,594.0,662.0,34.0
2019-04-19,781.0,666.0,896.0,115.0
2019-05-01,1900.0,1792.0,2008.0,108.0
2019-05-13,1986.0,1900.0,2070.0,85.0
2019-05-25,2870.0,2804.0,2924.0,60.0
2019-06-06,2896.0,2823.0,2963.0,70.0
2019-06-18,3014.0,2940.0,3068.0,64.0
2019-06-30,3633.0,3582.0,3691.0,54.5
2019-07-12,3753.0,3701.0,3828.0,63.5
2019-07-24,3675.0,3647.0,3734.0,43.5
2019-08-05,3681.0,3657.0,3727.0,35.0
2019-08-17,3637.0,3608.0,3670.0,31.0
2019-08-29,3503.0,3473.0,3530.0,28.5
2019-09-10,3448.0,3422.0,3472.0,25.0
2019-09-22,3321.0,3230.0,3404.0,87.0
2019-10-04,3100.0,2927.0,3306.0,189.5
2019-10-16,2618.0,2186.0,2979.0,396.5
2019-10-28,2546.0,2230.0,2891.0,330.5
2019-11-09,2047.0,1691.0,2319.0,314.0
2019-11-21,1827.0,1499.0,2061.0,281.0
2019-12-03,696.0,604.0,774.0,85.0
2019-12-15,662.0,593.0,696.0,51.5
2019-12-27,642.0,593.0,670.0,38.5
2020-01-08,621.0,599.0,631.0,16.0
2020-01-20,616.0,594.0,622.0,14.0
2020-02-01,603.0,593.0,616.0,11.5
2020-02-13,599.0,594.0,603.0,4.5
2020-02-25,593.0,593.0,593.0,0.0
2020-03-08,593.0,593.0,594.0,0.5
2020-03-20,594.0,593.0,599.0,3.0
2020-04-01,593.0,593.0,593.0,0.0
2020-04-13,952.0,926.0,1010.0,42.0
2020-04-25,1944.0,1862.0,2026.0,82.0
2020-05-07,2040.0,1954.0,2115.0,80.5
2020-05-19,2619.0,2519.0,2739.0,110.0
2020-05-31,2739.0,2651.0,2799.0,74.0
2020-06-12,2914.0,2856.0,2972.0,58.0
2020-06-24,2998.0,2944.0,3047.0,51.5
2020-07-06,3244.0,3206.0,3289.0,41.5
2020-07-18,3100.0,3059.0,3158.0,49.5
2020-07-30,3379.0,3342.0,3413.0,35.5
2020-08-11,3076.0,3033.0,3129.0,48.0
2020-08-23,3046.0,2997.0,3085.0,44.0
