,melt_extent_elev_m,melt_extent_elev_min_m,melt_extent_elev_max_m,melt_extent_elev_diff_mean_m
2017-06-04,2638.0,2585.0,2694.0,54.5
2017-06-16,2785.0,2721.0,2919.0,99.0
2017-06-28,3039.0,2931.0,3152.0,110.5
2017-07-10,3543.0,3474.0,3643.0,84.5
2017-07-22,3772.0,3543.0,4006.0,231.5
2017-08-03,3399.0,3182.0,3825.0,321.5
2017-08-15,3227.0,3058.0,3804.0,373.0
2017-08-27,2891.0,2743.0,3165.0,211.0
2017-09-08,2983.0,2924.0,3047.0,61.5
2017-09-20,3561.0,3561.0,3561.0,0.0
2017-10-02,2129.0,1531.0,2510.0,489.5
2017-10-14,1953.0,1437.0,2349.0,456.0
2017-10-26,1819.0,1428.0,2072.0,322.0
2017-11-07,1631.0,1428.0,1715.0,143.5
2017-11-19,1535.0,1428.0,1590.0,81.0
2017-12-01,1467.0,1428.0,1498.0,35.0
2017-12-13,1456.0,1428.0,1480.0,26.0
2017-12-25,1456.0,1428.0,1480.0,26.0
2018-01-06,1437.0,1428.0,1450.0,11.0
2018-01-18,1428.0,1428.0,1437.0,4.5
2018-01-30,1428.0,1428.0,1437.0,4.5
2018-02-11,1428.0,1428.0,1428.0,0.0
2018-02-23,1428.0,1428.0,1437.0,4.5
2018-03-07,1441.0,1428.0,1464.0,18.0
2018-03-19,1428.0,1428.0,1428.0,0.0
2018-03-31,1428.0,1428.0,1428.0,0.0
2018-04-12,1428.0,1428.0,1428.0,0.0
2018-04-24,1428.0,1428.0,1428.0,0.0
2018-05-06,1428.0,1428.0,1428.0,0.0
2018-05-18,1694.0,1621.0,1748.0,63.5
2018-05-30,1802.0,1695.0,1911.0,108.0
2018-06-11,2661.0,2584.0,2809.0,112.5
2018-06-23,2820.0,2771.0,2908.0,68.5
2018-07-05,3158.0,3060.0,3336.0,138.0
2018-07-17,2820.0,2754.0,2950.0,98.0
2018-07-29,3586.0,3465.0,3744.0,139.5
2018-08-10,3532.0,3418.0,3654.0,118.0
2018-08-22,3209.0,3135.0,3399.0,132.0
2018-09-03,2776.0,2679.0,3056.0,188.5
2018-09-15,2983.0,2908.0,3064.0,78.0
2018-09-27,2690.0,2623.0,2827.0,102.0
2018-10-09,2683.0,2624.0,2782.0,79.0
2018-10-21,2091.0,1471.0,2493.0,511.0
2018-11-02,1978.0,1467.0,2387.0,460.0
2018-11-14,1854.0,1428.0,2149.0,360.5
2018-11-26,1691.0,1428.0,1809.0,190.5
2018-12-08,1533.0,1437.0,1587.0,75.0
2018-12-20,1466.0,1428.0,1491.0,31.5
2019-01-01,1450.0,1428.0,1467.0,19.5
2019-01-13,1450.0,1428.0,1467.0,19.5
2019-01-25,1428.0,1428.0,1437.0,4.5
2019-02-06,1428.0,1428.0,1437.0,4.5
2019-02-18,1428.0,1428.0,1428.0,0.0
2019-03-02,1428.0,1428.0,1428.0,0.0
2019-03-14,1428.0,1428.0,1437.0,4.5
2019-03-26,1428.0,1428.0,1428.0,0.0
2019-04-07,1428.0,1428.0,1428.0,0.0
2019-04-19,1428.0,1428.0,1428.0,0.0
2019-05-01,1471.0,1428.0,1503.0,37.5
2019-05-13,1466.0,1428.0,1491.0,31.5
2019-05-25,2570.0,2528.0,2633.0,52.5
2019-06-06,2648.0,2604.0,2711.0,53.5
2019-06-18,3022.0,2880.0,3156.0,138.0
2019-06-30,3847.0,3657.0,4043.0,193.0
2019-07-12,3825.0,3586.0,4059.0,236.5
2019-07-24,3721.0,3454.0,4043.0,294.5
2019-08-05,3744.0,3484.0,4043.0,279.5
2019-08-17,2999.0,2723.0,4027.0,652.0
2019-08-29,3063.0,2774.0,3938.0,582.0
2019-09-10,3184.0,3050.0,3611.0,280.5
2019-09-22,2556.0,2422.0,2775.0,176.5
2019-10-04,2679.0,2609.0,2820.0,105.5
2019-10-16,3300.0,3277.0,3312.0,17.5
2019-10-28,2495.0,2456.0,2526.0,35.0
2019-11-09,1628.0,1428.0,1710.0,141.0
2019-11-21,1603.0,1428.0,1674.0,123.0
2019-12-03,1545.0,1428.0,1600.0,86.0
2019-12-15,1533.0,1428.0,1586.0,79.0
2019-12-27,1513.0,1428.0,1552.0,62.0
2020-01-08,1498.0,1428.0,1533.0,52.5
2020-01-20,1491.0,1428.0,1527.0,49.5
2020-02-01,1450.0,1428.0,1467.0,19.5
2020-02-13,1437.0,1428.0,1450.0,11.0
2020-02-25,1428.0,1428.0,1437.0,4.5
2020-03-08,1437.0,1428.0,1450.0,11.0
2020-03-20,1450.0,1428.0,1467.0,19.5
2020-04-01,1428.0,1428.0,1428.0,0.0
2020-04-13,1428.0,1428.0,1428.0,0.0
2020-04-25,1437.0,1428.0,1450.0,11.0
2020-05-07,1437.0,1428.0,1450.0,11.0
2020-05-19,2007.0,1794.0,2255.0,230.5
2020-05-31,2510.0,2477.0,2549.0,36.0
2020-06-12,2744.0,2679.0,2864.0,92.5
2020-06-24,2832.0,2759.0,2965.0,103.0
2020-07-06,3094.0,2996.0,3182.0,93.0
2020-07-18,3000.0,2912.0,3092.0,90.0
2020-07-30,3170.0,3109.0,3283.0,87.0
2020-08-11,2998.0,2875.0,3117.0,121.0
2020-08-23,2952.0,2832.0,3074.0,121.0
2020-09-04,2834.0,2757.0,2976.0,109.5
2020-09-16,2757.0,2694.0,2885.0,95.5
2020-09-28,2722.0,2661.0,2827.0,83.0
2020-10-10,2678.0,2624.0,2770.0,73.0
2020-10-22,2659.0,2599.0,2752.0,76.5
2020-11-03,2638.0,2572.0,2718.0,73.0
2020-11-15,2046.0,1441.0,2465.0,512.0
2020-11-27,1911.0,1428.0,2278.0,425.0
2020-12-09,1729.0,1428.0,1888.0,230.0
2020-12-21,1567.0,1428.0,1628.0,100.0
2021-01-02,1428.0,1428.0,1428.0,0.0
2021-01-14,1428.0,1428.0,1437.0,4.5
2021-01-26,1428.0,1428.0,1428.0,0.0
2021-02-07,1428.0,1428.0,1428.0,0.0
2021-02-19,1428.0,1428.0,1437.0,4.5
2021-03-03,1428.0,1428.0,1428.0,0.0
2021-03-15,1428.0,1428.0,1428.0,0.0
2021-03-27,1428.0,1428.0,1428.0,0.0
2021-04-08,1428.0,1428.0,1437.0,4.5
2021-04-20,1428.0,1428.0,1428.0,0.0
2021-05-02,1428.0,1428.0,1428.0,0.0
2021-05-14,1690.0,1604.0,1752.0,74.0
2021-05-26,1687.0,1570.0,1764.0,97.0
2021-06-07,2153.0,2113.0,2203.0,45.0
2021-06-19,2875.0,2808.0,2980.0,86.0
2021-07-01,3075.0,2982.0,3168.0,93.0
2021-07-13,2923.0,2849.0,2996.0,73.5
2021-07-25,3757.0,3604.0,3896.0,146.0
2021-08-06,3744.0,3604.0,3869.0,132.5
2021-08-18,3424.0,3269.0,3643.0,187.0
2021-08-30,3064.0,2880.0,3277.0,198.5
2021-09-11,2856.0,2732.0,3108.0,188.0
2021-09-23,2776.0,2696.0,2977.0,140.5
2021-10-05,2696.0,2636.0,2820.0,92.0
2021-10-17,2204.0,1487.0,2560.0,536.5
2021-10-29,2109.0,1441.0,2504.0,531.5
2021-11-10,1979.0,1428.0,2391.0,481.5
2021-11-22,1875.0,1428.0,2199.0,385.5
2021-12-16,1498.0,1428.0,1533.0,52.5
2021-12-28,1428.0,1428.0,1437.0,4.5
2022-01-09,1428.0,1428.0,1428.0,0.0
2022-01-21,1428.0,1428.0,1428.0,0.0
2022-02-02,1428.0,1428.0,1428.0,0.0
2022-02-14,1428.0,1428.0,1428.0,0.0
2022-02-26,1428.0,1428.0,1428.0,0.0
2022-03-10,1428.0,1428.0,1428.0,0.0
2022-03-22,1428.0,1428.0,1428.0,0.0
2022-04-03,1428.0,1428.0,1437.0,4.5
2022-04-15,1428.0,1428.0,1428.0,0.0
2022-04-27,1428.0,1428.0,1428.0,0.0
2022-05-09,1450.0,1428.0,1467.0,19.5
2022-05-21,1653.0,1577.0,1709.0,66.0
2022-06-02,2684.0,2594.0,2902.0,154.0
2022-06-14,3116.0,2963.0,3336.0,186.5
2022-06-26,3611.0,3532.0,3744.0,106.0
2022-07-08,3869.0,3703.0,4043.0,170.0
2022-07-20,3721.0,3561.0,3876.0,157.5
2022-08-01,3496.0,3311.0,3757.0,223.0
2022-08-13,3465.0,3310.0,3654.0,172.0
2022-08-25,3092.0,2923.0,3306.0,191.5
2022-09-06,2787.0,2687.0,3056.0,184.5
2022-09-18,2765.0,2687.0,2962.0,137.5
2022-09-30,3561.0,3561.0,3586.0,12.5
2022-10-12,3561.0,3561.0,3586.0,12.5
2022-10-24,2163.0,1437.0,2537.0,550.0
2022-11-05,2122.0,1428.0,2513.0,542.5
2022-11-17,2064.0,1437.0,2481.0,522.0
2022-11-29,1992.0,1428.0,2411.0,491.5
2022-12-11,1917.0,1437.0,2291.0,427.0
2022-12-23,1752.0,1437.0,1929.0,246.0
2023-01-04,1621.0,1428.0,1702.0,137.0
2023-01-16,1498.0,1428.0,1533.0,52.5
2023-01-28,1441.0,1428.0,1464.0,18.0
2023-02-09,1428.0,1428.0,1437.0,4.5
2023-02-21,1428.0,1428.0,1428.0,0.0
2023-03-05,3496.0,3496.0,3496.0,0.0
2023-03-17,1428.0,1428.0,1428.0,0.0
2023-03-29,1428.0,1428.0,1428.0,0.0
2023-04-10,1428.0,1428.0,1428.0,0.0
2023-04-22,1428.0,1428.0,1428.0,0.0
2023-05-04,1428.0,1428.0,1428.0,0.0
2023-05-16,1596.0,1494.0,1650.0,78.0
2023-05-28,2198.0,2132.0,2263.0,65.5
2023-06-09,2687.0,2634.0,2776.0,71.0
2023-06-21,2898.0,2832.0,2979.0,73.5
2023-07-03,3000.0,2938.0,3075.0,68.5
2023-07-15,3532.0,3380.0,3700.0,160.0
2023-07-27,3693.0,3488.0,3919.0,215.5
2023-08-08,3939.0,3803.0,4095.0,146.0
2023-09-01,3847.0,3782.0,3938.0,78.0
2023-09-13,3072.0,2841.0,3488.0,323.5
2023-09-25,2861.0,2715.0,3167.0,226.0
2023-10-07,3108.0,2999.0,3217.0,109.0
2023-10-19,3057.0,2963.0,3151.0,94.0
2023-10-31,3306.0,3283.0,3336.0,26.5
2023-11-12,3553.0,3553.0,3553.0,0.0
2023-11-24,1723.0,1441.0,1874.0,216.5
2023-12-06,1598.0,1437.0,1669.0,116.0
2023-12-18,1537.0,1428.0,1595.0,83.5
2023-12-30,1467.0,1428.0,1498.0,35.0
2024-01-11,1464.0,1428.0,1483.0,27.5
2024-02-16,1428.0,1428.0,1428.0,0.0
2024-02-28,1428.0,1428.0,1428.0,0.0
2024-03-11,1437.0,1428.0,1450.0,11.0
2024-03-23,1428.0,1428.0,1428.0,0.0
2024-04-04,1428.0,1428.0,1437.0,4.5
2024-04-16,1428.0,1428.0,1428.0,0.0
2024-04-28,1532.0,1464.0,1573.0,54.5
2024-05-10,1483.0,1428.0,1514.0,43.0
2024-05-22,1661.0,1554.0,1731.0,88.5
2024-06-03,2292.0,2163.0,2377.0,107.0
2024-06-15,2833.0,2773.0,2941.0,84.0
2024-06-27,3624.0,3553.0,3721.0,84.0
2024-07-09,3604.0,3532.0,3741.0,104.5
2024-07-21,3520.0,3362.0,3703.0,170.5
2024-08-02,3474.0,3336.0,3654.0,159.0
2024-08-14,3586.0,3515.0,3670.0,77.5
2024-08-26,3192.0,3069.0,3586.0,258.5
2024-09-07,2833.0,2700.0,3156.0,228.0
2024-09-19,2689.0,2590.0,2977.0,193.5
2024-10-01,2996.0,2924.0,3069.0,72.5
2024-10-25,1914.0,1450.0,2282.0,416.0
2024-11-06,1744.0,1441.0,1914.0,236.5
2024-11-18,1587.0,1428.0,1651.0,111.5
2024-11-30,1531.0,1428.0,1577.0,74.5
2024-12-12,1508.0,1428.0,1547.0,59.5
2024-12-24,1487.0,1428.0,1525.0,48.5
