Elev_m,area_m2
714.875244140625,2000000.0
792.6253356933594,2000000.0
840.969482421875,2000000.0
890.5074462890625,2000000.0
930.6791381835938,2000000.0
955.72021484375,2000000.0
973.58447265625,2000000.0
993.7686157226562,2000000.0
1022.8410034179688,2000000.0
1055.94189453125,2000000.0
1084.5274658203125,2000000.0
1110.2188720703125,2000000.0
1138.7967529296875,2000000.0
1171.1182861328125,2000000.0
1196.6071166992188,2000000.0
1218.6541748046875,2000000.0
1247.0535278320312,2000000.0
1274.7257690429688,2000000.0
1296.591796875,2000000.0
1320.654052734375,2000000.0
1350.8701782226562,2000000.0
1377.1524658203125,2000000.0
1399.1234741210938,2000000.0
1426.7285766601562,2000000.0
1456.3705444335938,2000000.0
1486.238525390625,2000000.0
1512.61181640625,2000000.0
1535.591796875,2000000.0
1559.2590942382812,2000000.0
1580.7941284179688,2000000.0
1599.0811767578125,2000000.0
1614.5789184570312,2000000.0
1628.97412109375,2000000.0
1642.5850219726562,2000000.0
1658.15478515625,2000000.0
1675.08544921875,2000000.0
1692.9501953125,2000000.0
1712.2730102539062,2000000.0
1729.7084350585938,2000000.0
1745.4862060546875,2000000.0
1759.8948974609375,2000000.0
1771.7353515625,2000000.0
1782.804443359375,2000000.0
1795.5878295898438,2000000.0
1809.5830078125,2000000.0
1823.3004150390625,2000000.0
1838.1077880859375,2000000.0
1853.843505859375,2000000.0
1868.5612182617188,2000000.0
1882.7315063476562,2000000.0
1895.6465454101562,2000000.0
1908.1323852539062,2000000.0
1920.4765014648438,2000000.0
1932.5657958984375,2000000.0
1945.3377685546875,2000000.0
1958.3097534179688,2000000.0
1970.1557006835938,2000000.0
1982.3143310546875,2000000.0
1994.8423461914062,2000000.0
2005.9346923828125,2000000.0
2016.3959350585938,2000000.0
2026.5651245117188,2000000.0
2035.7701416015625,2000000.0
2043.7648315429688,2000000.0
2051.657470703125,2000000.0
2060.2274169921875,2000000.0
2068.366455078125,2000000.0
2076.897216796875,2000000.0
2086.810546875,2000000.0
2096.2470703125,2000000.0
2104.84326171875,2000000.0
2113.7518310546875,2000000.0
2123.7236328125,2000000.0
2133.7777099609375,2000000.0
2143.40380859375,2000000.0
2152.660400390625,2000000.0
2161.3701171875,2000000.0
2169.564697265625,2000000.0
2177.3486328125,2000000.0
2185.0537109375,2000000.0
2193.0294189453125,2000000.0
2200.8150634765625,2000000.0
2208.00634765625,2000000.0
2214.9659423828125,2000000.0
2221.608642578125,2000000.0
2227.8798828125,2000000.0
2234.3563232421875,2000000.0
2241.0150146484375,2000000.0
2247.029296875,2000000.0
2252.1458740234375,2000000.0
2257.2950439453125,2000000.0
2262.7152099609375,2000000.0
2268.3251953125,2000000.0
2274.217041015625,2000000.0
2280.09765625,2000000.0
2286.181640625,2000000.0
2292.82666015625,2000000.0
2299.803466796875,2000000.0
2306.971923828125,2000000.0
2314.219970703125,2000000.0
2320.915771484375,2000000.0
2327.588623046875,2000000.0
2334.676513671875,2000000.0
2341.7547607421875,2000000.0
2348.5908203125,2000000.0
2354.952392578125,2000000.0
2360.6038818359375,2000000.0
2365.47119140625,2000000.0
2370.671142578125,2000000.0
2377.07373046875,2000000.0
2384.13330078125,2000000.0
2391.34033203125,2000000.0
2398.41748046875,2000000.0
2404.6038818359375,2000000.0
2410.3074951171875,2000000.0
2415.9110107421875,2000000.0
2421.5042724609375,2000000.0
2428.0960693359375,2000000.0
2434.88671875,2000000.0
2441.6307373046875,2000000.0
2448.887451171875,2000000.0
2456.01171875,2000000.0
2463.569091796875,2000000.0
2472.285888671875,2000000.0
2480.8194580078125,2000000.0
2488.992431640625,2000000.0
2497.4617919921875,2000000.0
2505.922607421875,2000000.0
2514.451171875,2000000.0
2523.1226806640625,2000000.0
2531.6519775390625,2000000.0
2539.332275390625,2000000.0
2546.848876953125,2000000.0
2555.71875,2000000.0
2566.909912109375,2000000.0
2579.82958984375,2000000.0
2592.8724365234375,2000000.0
2606.0484619140625,2000000.0
2621.515625,2000000.0
2638.2725830078125,2000000.0
2654.850341796875,2000000.0
2671.56298828125,2000000.0
2689.021240234375,2000000.0
2708.4359130859375,2000000.0
2729.443603515625,2000000.0
2753.665283203125,2000000.0
2781.3826904296875,2000000.0
2811.327880859375,2000000.0
2845.4805908203125,2000000.0
2883.8343505859375,2000000.0
2932.9127197265625,2000000.0
3120.13623046875,1820000.0
